method,aceticanhydride_vacuum_forward,aceticanhydride_vacuum_reverse,amide11_vacuum_forward,amide11_vacuum_reverse,amide12_vacuum_forward,amide12_vacuum_reverse,amide21_vacuum_forward,amide21_vacuum_reverse,amide22_vacuum_forward,amide22_vacuum_reverse,basicepoxide1_vacuum_forward,basicepoxide1_vacuum_reverse,basicepoxide2_vacuum_forward,basicepoxide2_vacuum_reverse,borohydride_vacuum_forward,borohydride_vacuum_reverse,carbonate_vacuum_forward,carbonate_vacuum_reverse,cl2co_vacuum_forward,cl2co_vacuum_reverse,diazonium_vacuum_forward,diazonium_vacuum_reverse,enamine_vacuum_forward,enamine_vacuum_reverse,epoxide1_vacuum_forward,epoxide1_vacuum_reverse,epoxide2_vacuum_forward,epoxide2_vacuum_reverse,ester_vacuum_forward,ester_vacuum_reverse,furan1_vacuum_forward,furan1_vacuum_reverse,furan2_vacuum_forward,furan2_vacuum_reverse,furan3_vacuum_forward,furan3_vacuum_reverse,imine_vacuum_forward,imine_vacuum_reverse,iminium_vacuum_forward,iminium_vacuum_reverse,lactone_vacuum_forward,lactone_vacuum_reverse,Average
wB97M-V,0.047953206753289214,0.01511631249134474,None,None,None,None,0.0002541312221079352,0.017184855048104807,0.015521953822073295,0.02920180420930278,0.07205228470879924,0.022553560267327796,0.08207218356707997,0.04818573089366565,0.030929971858779597,0.023859389096955914,0.03136274600946427,0.03745274631045044,0.07908633995307174,0.02237762138889116,0.07886551438368565,0.010870095031259542,None,None,0.030320521215477632,0.007015899771168291,0.0015841339006694285,0.008038528482374182,0.013077884731729841,0.028204971873788634,0.006222971405527688,0.01177436619776497,0.02925183947563229,0.01740531144226477,0.03230064670310799,0.022421164548188995,0.03084354283657195,0.04999405567312273,0.08938289504011401,0.05706492271620461,0.0013910137230329724,0.0038646486504622887,0.030696104594523807
CAM-B3LYP-D3(0),0.06223910739711138,0.011388992495998923,None,None,None,None,0.08986184038947798,0.0375144157967072,0.0775546939460526,0.05102810352401771,0.0673575562893997,0.0382336614820293,0.08121423533616194,0.0726841842459081,0.007803042390312584,0.041738231296430985,0.025288198245130285,0.05937662570532518,0.031649906355542365,0.0017118065289613241,0.07025887065287367,0.06664505276347352,None,None,0.06380208357063044,0.018925881610907788,0.029181293592161435,0.036143042004829776,0.021721683902957773,0.08100597787603458,0.016079214477100742,0.021758326378641425,0.029162977927400403,0.006042445779508046,0.05235200898304733,0.02159647229177025,0.07638297994228052,0.003032607947494114,0.0540252236645419,0.026212093168791997,0.0056579144095385,0.12622518249162562,0.043968220412782706
wM06-D3,0.0014964760744710817,0.024170110884169767,None,None,None,None,0.0794241732122332,0.041002405702701986,0.023103653955919755,0.10866822707697911,0.1327467899497679,0.023454315645836415,0.15242665689587317,0.020035047788925283,0.00453520230025602,0.0419927259149613,0.0709480893352479,0.11544649637365191,0.020937084708422437,0.015425255631292066,0.009491266434073702,0.05459865850289928,None,None,0.013328855583925645,0.01940271785777495,0.05427237489916321,0.046970136969880075,0.03395895525116744,0.10125755619415518,0.0017842850912683048,0.0813460024804644,0.000429928425498963,0.022837621185433886,0.002235488015660212,0.05223532135330668,0.003644738993625822,0.04301210568015591,0.03489017806841963,0.032348865240225594,0.006280405116814518,0.11831997146614724,0.0446793928961325
wB97XV,0.0357301969002745,0.012486216008893075,None,None,None,None,0.03151951849691942,0.029923991389252013,0.01056489934499233,0.03376528116065328,0.10171296649447083,0.048508686121454696,0.12857875192385296,0.0950397452897508,0.030134520050723836,0.009221609675379733,0.05401389360829875,0.08555990554292316,0.08117891293662137,0.013013356737623008,0.02338199867967068,0.07043895322902417,None,None,0.0029268347688048493,0.04060492371492635,0.01832490187098789,0.04821167614470584,0.050347020900781456,0.023364348203788587,0.06143384620274127,0.043655378053051516,0.03439690295942144,0.03278166679305093,0.05253027358714096,0.05799332162108969,0.014276115964368638,0.14825669866674884,0.13114317481772175,0.016864264329386952,0.007518103978028864,0.0036801637086188977,0.04675230610767065
CAM-B3LYP,0.05597359819255022,0.05966563249056506,None,None,None,None,0.17295789394119412,0.012018253741608783,0.08302616905821043,0.08184925900191647,0.08025703338236276,0.027004292227282303,0.09860174577522551,0.06805184068102647,0.00943971830291273,0.04604065840317384,0.025754430209265104,0.051553606713628554,0.03344038382325552,0.002482343705305766,0.08999067041501942,0.09106018208914736,None,None,0.04889336840389381,0.00979029897202115,0.015198021812493596,0.028878664891966742,0.003844730176635767,0.06976327503553781,0.02772096790101258,0.021353298294070136,0.008781704636339795,0.045291311981018656,0.03847433103961722,0.008338533983090224,0.06642900900491205,0.00281465115586372,0.04894785942333881,0.03335555642604639,0.0005408833272567336,0.1180965005642786,0.046824463310640115
M06-SX-D3(BJ),0.02263977741269731,0.005730431230124805,None,None,None,None,0.14944121132326751,0.08895401096633673,0.012690284190528076,0.061331096042193806,0.07953221964794953,0.11506064929876501,0.0798082086924743,0.1492035880026712,0.03234090743924004,0.014608607884983684,0.029327711527516374,0.11659622972294523,0.008024514447125103,0.014211341347128792,0.016006378643655853,0.09870869831711503,None,None,0.05123146168928153,0.007313441151921211,0.007895477026566688,0.05390674460873734,0.053708510096989084,0.03195632187210384,0.0011698933387555485,0.025721819612371143,0.03765457829612301,0.01128471249615742,0.09277289739377381,0.05358920915484513,0.010057842832398097,0.09321886660442508,0.0759779063256546,0.008318755455772596,0.002040926140954548,0.05026371583784609,0.048952748501983195
wB97XD3,0.0063356614565248945,0.08303349571050274,None,None,None,None,0.10320130949510671,0.01652691332887579,0.026571752326965372,0.13276394898758032,0.10650258650922786,0.0334280248383239,0.13567524286405125,0.08616766968504677,0.0036218856075327893,0.032038795794261186,0.07188889627838443,0.11203485077124004,0.0006056164348667608,0.02529212819207114,0.052033189228694994,0.051614860464763275,None,None,0.02308853383195932,0.007013027295813481,0.017995448008717562,0.029425314707423243,0.02341316085405682,0.06127451281582834,0.06544233032531517,0.047868059241907714,0.018497390783487163,0.018216945869837707,0.05235870298780784,0.032107503202986866,0.023498492085302747,0.09018764998049594,0.06750299198821255,0.003376483851604286,0.0028098732630556585,0.10051611572152441,0.04899803791081547
wB97XD,0.0038037606128398806,0.0812195348069969,None,None,None,None,0.11345559088341753,0.04030913270072313,0.04674485024753807,0.12779975695935045,0.08657673136998392,0.04055814090349899,0.11245979341471486,0.08754358963521686,0.015609182150594399,0.043123577275954283,0.05281932403204737,0.10124194420830487,0.021512320097352086,0.024505530977691616,0.08592587229862798,0.0444539846316432,None,None,0.04376095549951292,0.0014264441936279468,0.0018060374257683862,0.020822593865553872,0.0040666088572096784,0.08580400621263722,0.05663606277078906,0.038597099887357454,0.018591561276636675,0.027802820035643754,0.06354369316908809,0.004889425526774585,0.03666756612494902,0.06087670543236928,0.06373841180776614,0.009904972189047704,0.0013108143463779357,0.12940163996226267,0.04998083432749636
M11,0.0505146893056621,0.0314671094090755,None,None,None,None,0.05369539722410964,0.05571104360916717,0.03464947546677813,0.06008331457294832,0.15762147900277776,0.02831733024836565,0.1841397884593868,0.03564390955697943,0.0575133381883665,0.10953263706383488,0.11720300666565422,0.1404144062408576,0.019293929755290765,0.0017511625025723335,0.009488096305469719,0.012298048621817999,None,None,0.025787097104638588,0.03155300796695341,0.10164793387437124,0.06872629618111213,0.015224559070731175,0.11080035743534933,0.06894925664570171,0.07852403063904698,0.0047170219104083685,0.007043896048965178,0.019230132356036076,0.014302638837468443,0.0419935908608131,0.018530063523402914,0.025398322200232047,0.02798871895223036,0.014272776977449018,0.08437739085133765,0.053289034823204504
M06-SX,0.05989941388579581,0.08587772647992863,None,None,None,None,0.010716062804275157,0.06304538123093492,0.030511941632860362,0.1943485853815746,0.10186192986294025,0.0516425713584414,0.11634577453462855,0.09886585044691752,0.004786763528560209,0.026086738317208386,0.049414851355849033,0.11610349113627592,0.05882778367530491,0.03433733088967051,0.006395034606115815,0.11374648259657007,None,None,0.01680745426409328,0.044297204877373285,0.04312446297043383,0.007421114132446235,0.08162618470448342,0.0365884803992568,0.12375600133587507,0.027735898594363574,0.010451410846149565,0.09561875274332048,0.034586292738273385,0.03837524374349939,0.03756326365189326,0.09044917602420795,0.013168384324107428,0.012047367609266696,0.002283196615885004,0.028469406245104474,0.05464397248733014
