method,aceticanhydride_vacuum,amide11_vacuum,amide12_vacuum,amide21_vacuum,amide22_vacuum,basicepoxide1_vacuum,basicepoxide2_vacuum,borohydride_vacuum,carbonate_vacuum,cl2co_vacuum,diazonium_vacuum,enamine_vacuum,epoxide1_vacuum,epoxide2_vacuum,ester_vacuum,furan1_vacuum,furan2_vacuum,furan3_vacuum,imine_vacuum,iminium_vacuum,lactone_vacuum,Average
M06-HF,0.21334573040217342,None,None,-0.12498482078664257,-0.3538238962573991,0.06285353252646363,0.05511479733847588,0.3321662974232128,0.037805184775821454,-6.178063642289172,0.5094579543924811,None,0.8182375860962002,1.062879162744737,0.20537199457007235,-0.3048559166622259,-3.6495655702651115,-0.6542153197681109,0.793827701063932,1.4221325886924256,-0.0030644956016624967,-0.3197433962002405
M06-HF-D3(0),0.20642893251355043,None,None,-0.11904932976664898,-0.3512968875909449,0.06060703013530142,0.05290634234144671,0.32851985139708034,0.0392719079944252,-6.114632688102337,0.513632496698378,None,0.8091510647490242,1.0480234700333895,0.22443074149135547,-0.3090917127797677,-3.6390179262430267,-0.6557502511317788,0.7790564491011165,1.3868940674014567,-0.0016099709743461251,-0.31897368959624034
rCAM-B3LYP-D3(0),0.09903812588006596,None,None,-0.16293878071557336,-0.06047422694698561,0.0444757732235212,0.06394279802338323,0.11840320484707886,0.03687150048319244,-3.4325976659045208,0.20504919710059985,None,0.679732091334559,0.9792728799547656,-0.8425499070434634,-0.1441291853750144,-1.6771842194757398,0.0531956411464906,1.2860809693115076,1.2149061609604743,0.049333121159130196,-0.08275402900202936
revM11-D3(0),-0.08081696487478639,None,None,-0.22852702555370535,-0.07205595544519092,-0.03812014292713027,-0.03014052665691429,0.1244344669849215,0.048311767213537825,-2.4475334849818884,0.06829255649936035,None,0.34332082675353576,0.5478527295197121,-0.44228311994370256,-0.11048715028355736,-1.8408530302209056,-0.008999519564590528,1.4271890594035888,1.3469002771293241,0.009247979989282003,-0.07690373649772829
SCAN0-D3(BJ),0.21905160805133553,None,None,-0.1781357056722397,-0.1220389320008461,0.15074099945481745,0.1753272241030633,0.18314201395273058,0.07766593710384488,-4.018344726492659,-0.12689465181629483,None,0.6134511895369363,0.9229228113132474,-0.5598043805071287,-0.11276433334554745,-2.0753523855504765,-0.013818181022284465,1.5650377619036229,1.976234533610715,0.04242747851510774,-0.07117509660344754
rCAM-B3LYP,0.2644406789072215,None,None,0.003218084267101985,0.0022013167677721597,-1.365537729780102e-05,0.023973383788128088,0.08572228123735243,0.03019022049120973,-3.42604388228645,0.22327213871444504,None,0.5255903668394922,0.7649608062645186,-0.6827101089696095,-0.056768174044066685,-0.8432385830053495,0.04958340849978663,1.108389066337424,0.9881580972696108,0.03636272048711978,-0.05015065743397725
revM11,0.08458558815236916,None,None,-0.062370160571030016,-0.009380409139313864,-0.08260957152923196,-0.07010994089346208,0.09175354337519508,0.0416304892873007,-2.4409796564033512,0.086515502071547,None,0.18917911069319,0.33354065582199627,-0.28244332186984855,-0.023126138952609662,-1.0069074132509535,-0.012611752211294493,1.2494971564295054,1.1201521930041403,-0.0037224206839673074,-0.04430036370387882
MN15-D3(0),-0.08802936017340388,None,None,-0.29071554820376627,-0.09314133596176351,0.01530742318057062,0.032967297056560936,0.24105079995157777,-0.0035596089709419142,-2.0777229617045405,-0.07780706946473619,None,0.2951567685524579,0.4184601395121372,0.581860686903655,-0.02381200963709547,-1.170357804294174,-0.08692883334756484,0.9320961696396993,0.6315040535609266,-0.023040843447175746,-0.04370622426930983
SCAN-D3(BJ),0.19302683276107235,None,None,0.08065221554458875,-0.007432216975214132,0.051203625472239125,0.06825212487668124,-0.056788561933743015,0.0013885016845745983,-1.6034984579322331,-0.34380650864292633,None,0.07612755418240048,0.07704109838474806,-0.06495052824373974,0.0031928885778703957,-0.799247981158788,0.01709134914266756,0.9190077898156355,0.7597244626865349,0.018868738613671276,-0.033897059619108896
SCAN,0.21178544564384166,None,None,0.09172624572999516,0.00026332254023749436,0.04732850525858966,0.06444564784041944,-0.05780834682593086,0.0005288133300542866,-1.6032038325045948,-0.3411305866763806,None,0.06401772906201753,0.057425717603191366,-0.059907172901250694,0.016483625087378537,-0.7110061686106529,0.02150935395323032,0.9131015066233169,0.7444697160686975,0.017308249321270366,-0.029036790525364977
