method,aceticanhydride_vacuum,amide11_vacuum,amide12_vacuum,amide21_vacuum,amide22_vacuum,basicepoxide1_vacuum,basicepoxide2_vacuum,borohydride_vacuum,carbonate_vacuum,cl2co_vacuum,diazonium_vacuum,enamine_vacuum,epoxide1_vacuum,epoxide2_vacuum,ester_vacuum,furan1_vacuum,furan2_vacuum,furan3_vacuum,imine_vacuum,iminium_vacuum,lactone_vacuum,Average
SCAN0-D3(BJ),-0.10042941321077886,None,None,-0.11929207523319985,0.12807398989409793,-0.18177881464871953,-0.209797250759631,-0.07218827386164947,-0.1022941199321744,-0.2427571148606262,0.08722218863339734,None,-0.19788196227659594,-0.19113761767307386,-0.050850916860169064,-0.09379091407667715,-0.28939927055158804,0.00925932497530373,-0.291902906964587,-0.26313293121850423,-0.05297159611522874,-0.1241694263744669
rCAM-B3LYP-D3(0),-0.045406381428157866,None,None,-0.10911515585365937,0.06346479278274839,-0.053633406746651145,-0.07651420536549625,-0.04667046513862186,-0.048563602438271396,-0.20737083614516602,-0.14094242344056424,None,-0.2192623021192432,-0.20280773541621236,-0.07653465525724792,-0.11987840162213147,-0.2338763735143563,-0.03564548241556936,-0.23987330061431522,-0.16176309737127662,-0.06159343568377631,-0.1119992482104427
M06-HF,-0.09781341806125432,None,None,-0.08369854088501058,0.37132116260445724,-0.07579517636520591,-0.0659505847819126,-0.13092851349874263,-0.04979336179701416,-0.37323052333951895,-0.3501805408090461,None,-0.26394024806994393,-0.22012262407113434,0.018655363525074905,-0.253561691335645,-0.508916760940705,0.43837841173061465,-0.14806071726200723,-0.1893550134256031,0.003826086983942662,-0.10995370498881413
M06-HF-D3(0),-0.0946422477629328,None,None,-0.0797237227056286,0.36866918854090597,-0.07308611550420649,-0.06330793878569967,-0.1294912100713373,-0.05172518888139666,-0.36939851875073076,-0.35304995028573666,None,-0.2610091938881033,-0.2170460052261739,0.020386601773470195,-0.25708478394764395,-0.5074459357896214,0.43940694278604564,-0.14530565825166897,-0.18466305240508749,0.002010082503015974,-0.10869481703625167
LRC-wPBEh-D3(BJ),-0.13510867445102512,None,None,-0.008666765317466253,0.06621336187244124,-0.05525201973130683,-0.08429546302303959,-0.03628752824897337,-0.07336425743618452,-0.16323792636559925,0.04879828228280386,None,-0.15032102019639876,-0.15075739942192892,-0.031103598437687823,-0.06496535287671983,-0.2503382609717729,0.042980987119032636,-0.2287401671965535,-0.25179570141650354,-0.04413841376220398,-0.0872433287543937
rCAM-B3LYP,-0.12123911094726304,None,None,0.0021550533569291703,-0.002310176079444921,1.6467041533178416e-05,-0.02868664598943425,-0.03378877069466162,-0.03976366153385035,-0.20697490754500028,-0.153468127464712,None,-0.16954055174688418,-0.15842363449075927,-0.062015297128187596,-0.04721651586181391,-0.11758611815601352,-0.033224987568360884,-0.20673110795621982,-0.13157190212984685,-0.04539961861294154,-0.08643164519482954
SCAN0,-0.10949838234314103,None,None,-0.006475556448062503,0.012878155273153993,-0.09603102377260332,-0.1229219473601763,-0.056112257662392466,-0.08171423879482378,-0.19603080900308656,0.09264862887531235,None,-0.1118473088205664,-0.09458077026876806,-0.018301081003173115,0.03080927018163294,-0.13438981617138437,-0.024518520543644923,-0.2415121099000785,-0.1702580284144747,-0.026853163762553995,-0.07526160888549059
revM11-D3(0),0.03705245732753907,None,None,-0.15303761265768726,0.07561925983941722,0.04596914190960047,0.03606627357170088,-0.04904778093602461,-0.06363162402674818,-0.14786092477873986,-0.04694150746295873,None,-0.11074556549428997,-0.11346048041340207,-0.04017564517901625,-0.09189688362779844,-0.25669930940296853,0.006030422972152621,-0.2661920660120257,-0.17933793380916008,-0.011546296834480167,-0.07387978194527164
mPW1PW91-D3(BJ),-0.1366629542457284,None,None,0.06773449742494925,0.002805080036154766,-0.08459626831112046,-0.10840001231156443,0.00244446557180932,-0.0758966265130105,-0.10215054021543811,0.13917050908982403,None,-0.13046559088195644,-0.12887749637080087,0.04091381796706029,-0.060562567403858805,-0.17695429894246517,0.054834561399687516,-0.16597255056151167,-0.18576520118188583,-0.10100585056304295,-0.06385594588960547
revM11,-0.0387802721915661,None,None,-0.04176740344709872,0.009844288257968846,0.09961901569933158,0.08389383294930966,-0.036166086492064375,-0.054831685843129,-0.14746499346241262,-0.05946721420790834,None,-0.06102381784273284,-0.06907637948640219,-0.025656287049955918,-0.01923499786748089,-0.14040905676388082,0.008450917819361099,-0.23304987335393032,-0.14914673584692842,0.004647520237901393,-0.048312179382867665
