method,aceticanhydride_forward,aceticanhydride_reverse,amide21_forward,amide21_reverse,amide22_forward,amide22_reverse,basicepoxide1_forward,basicepoxide1_reverse,basicepoxide2_forward,basicepoxide2_reverse,borohydride_forward,borohydride_reverse,carbonate_forward,carbonate_reverse,cl2co_forward,cl2co_reverse,diazonium_forward,diazonium_reverse,epoxide1_forward,epoxide1_reverse,epoxide2_forward,epoxide2_reverse,ester_forward,ester_reverse,furan1_forward,furan1_reverse,furan2_forward,furan2_reverse,furan3_forward,furan3_reverse,imine_forward,imine_reverse,iminium_forward,iminium_reverse,lactone_forward,lactone_reverse,Average
wB97M-V,0.0409256490910494,0.009085490409306136,0.0004730400028136288,0.07553668067243009,0.01689897490636802,0.019950320419858263,0.3253030696801013,0.024391830376179976,0.25171866302668583,0.03694883853694925,0.0256111548801265,0.014986611148107773,0.12123714588159845,0.02421881674245393,0.04182418221619401,0.013204657978115023,0.04910084591480603,0.004404603423975502,0.19576513089519565,0.03204230998313193,0.029804603436149543,0.003762543550121448,0.43605704912331616,0.03784085148119787,0.0008458144830558612,0.0371321211399094,0.17224252367643406,0.7518234357711019,0.18087508009935957,0.008264724163157716,0.013984139238429638,0.020566767494545463,0.0627010420921941,0.035329389731740476,0.008380753989110847,0.005332066791401832,0.0869047478457409
HSE-HJS,0.13515566040923332,0.0179880288360274,0.1703651640871953,0.032955461946443804,0.157473143370763,0.02320659601370742,0.07756429660604855,0.023540149976031155,0.13631685730980223,0.048309896131752086,0.048965141931985305,0.03731208296857493,0.13336263939065676,0.021546595900567723,0.08140114853725997,0.04209354256333773,0.21166852913026735,0.05988632710581684,0.20577057994252565,0.02509725791227495,0.13432887934760163,0.011498327949987387,0.5323267404671703,0.024712055201543612,0.04313733613738612,0.010322219537638776,0.282523290391705,0.03610644271279523,0.5953839073401235,0.19499101132695953,0.03977895077189079,0.02313050031632831,0.13438914935952873,0.04639304051031807,0.5822435288682739,0.01617710513168335,0.12215059959558905
MN15,0.005383004930125669,0.017479179896044746,0.06988055567305745,0.12043900907319777,0.11489512195078135,0.029863396495341823,0.5012177004606027,0.054801571519110574,0.3405087223589901,0.06541728409465342,0.03418977320810868,0.02503412433472516,0.23485698180557574,0.041042192655830576,0.0704460214352248,0.005426914089044136,0.04429503469875206,0.010378758742134035,0.02953200855439774,0.04955600300204574,0.09795018830657772,0.12125456426572728,0.18225530431692077,0.03253765809288981,0.06427508896642621,0.06396335685734535,0.1930438330471454,0.9256943459538409,0.0982044457175675,0.07996173854258537,0.02614085975166287,0.03565313418375726,0.12067090333527274,0.07367672119240837,0.42915893216099965,0.02749108772194961,0.12323820892752281
PBE0,0.1319278231564564,0.015455854337229829,0.1701899517140169,0.05462285081893477,0.15090289747106841,0.02233573869457563,0.10718430147250359,0.026935002098286788,0.1589943974803615,0.05232530150266639,0.0487780958644458,0.03449431681226267,0.11274957210059773,0.02514672762012177,0.08294415908112969,0.040631014362254934,0.20890665228344776,0.06367567092191963,0.1807015450296712,0.03702748641225619,0.1163520728212658,0.026005139990078002,0.5611562551390396,0.03311919530328699,0.04924463150980471,0.006304716393210021,0.2910466028059455,0.12250354033699071,0.5939073371351883,0.19251040554780582,0.03728515058842939,0.027835378303199213,0.13797341687578343,0.046177534993193,0.458712478420275,0.01531912307651691,0.12337173162428389
wB97XD3,0.002265729582815639,0.04858227109141535,0.10696718296669445,0.068979316916131,0.03722183262942699,0.07411992975867397,0.4868177579888821,0.03858307746452517,0.41390462350273666,0.06548448483157869,0.0025411586223880963,0.020856028926216835,0.2705699235823736,0.06750581977595917,0.005725126037331427,0.010568517640269543,0.045564122415495296,0.027046634636403787,0.13171839145817055,0.007192878497856156,0.0655709637156891,0.06199747852314446,1.2170867160104026,0.0675670256043766,0.05146377810122331,0.12900462069723556,0.060347650465503354,0.437733149922447,0.2842047459855343,0.010196126374099179,0.012191445543629732,0.03689576231520133,0.049553113405364876,0.0005663885828661937,0.20572059726619984,0.055561822507886834,0.12994100537072636
M08-SO,0.07633905963560604,0.06928668076761586,0.06508122534345084,0.030447736998176808,0.10097237372595924,0.07253800546692003,0.7287127516134497,0.0775893238313465,0.5191482966261768,0.08732292458702706,0.06309413868486508,0.02657771191081482,0.44976479282175513,0.08853224595602252,0.016779725815264615,0.04036767819023256,0.05230880581154043,0.05055904513756901,0.18100457564752204,0.03608818279647555,0.2523545287720859,0.1726388800254461,0.5930595449930948,0.11220092854500618,0.027172542739170892,0.1267766534265947,0.30163781115479,0.04110807280450101,0.08285031412015985,0.0690032377731826,0.0044861752003589,0.030284667307234586,0.010950251702995812,0.0059184995418000794,0.08381993441654151,0.030023387631738712,0.13268890865340258
CAM-B3LYP-D3(0),0.05246280692412209,0.004210667649493653,0.08858838460416406,0.1881194849008208,0.10782871668265663,0.029452745583271583,0.27874912118675427,0.029264355152514226,0.23545016367258192,0.04871295113089538,0.0013173096118899634,0.02873804321168464,0.11141946002115358,0.0475551684274182,0.015535601324069906,0.0028832704297582505,0.06264520408828833,0.037392531592332266,0.40415021911574284,0.01083704691864812,0.16566831514781574,0.05991939618615812,0.9291411549429933,0.10869255931592084,0.016364123231144487,0.05061346609999241,0.15112366393736248,0.22773143099686272,0.269343567979252,0.03947160398084249,0.03778213315606676,0.0003049855894144367,0.0419845069316333,0.016900950007397223,0.8681046338221988,0.06206154451537943,0.1341811468907971
mPW1PW91,0.11624416011812884,0.0024061898243420365,0.2055020019628542,0.0054146047409746505,0.15971814639368062,0.0001387481116663961,0.05940426160801293,0.013847277168534587,0.13702080078867543,0.0404137857153472,0.03821548974568582,0.03857524235644792,0.13278659317957206,0.020319577255237274,0.05927786563362542,0.03475157233489404,0.18545455685844156,0.055157612751950504,0.22891072047730954,0.006716813863528142,0.128464050996251,0.014401875365883565,0.4918593711372433,0.0002473270934696468,0.042471575827758484,0.029624001542038862,0.2083762068088009,0.7185859784381853,0.5181361584806355,0.17211220867984015,0.02973557589044175,0.021802590600489717,0.10820999605101299,0.03836269462822939,0.7927215179242532,0.004599413240636107,0.1349996267665022
BMK-D3(BJ),0.040106553220002165,0.051307458989860145,0.031907711450255706,0.16147883937418167,0.010118903103330173,0.08619505606664057,0.21145085121756949,0.05293043119528115,0.19223115837506863,0.06906667162218737,0.029744046243588028,0.05430833303351368,0.2614705621250032,0.06899940017276293,0.017076668077439978,0.023828753264759018,0.10970158491650171,0.02646773664614105,0.10264668716922523,0.0682540850515984,0.014750773870645327,0.12453626614544708,1.3688944605480649,0.08950914729816065,0.08666828306812113,0.2181384608117853,0.05646020362519986,0.7093718557428317,0.35160532543242273,0.07266965667364653,0.0032992196029683505,0.046297320374127066,0.041279733401663736,0.01572381612293962,0.09750409567056156,0.0651616504982603,0.13975449333893766
HSE-HJS-D3(BJ),0.14253349852995173,0.03809986505258336,0.1259908220588315,0.011246565206596046,0.16013257648290255,0.03735809697508512,0.062358392308429406,0.02684029110982084,0.10952549384976683,0.04934156397050107,0.051565611928512854,0.03837548098543214,0.14386194827481497,0.02407889033393666,0.08416232964144539,0.04309391537088289,0.20989039296738687,0.053051405363285176,0.2516864383669363,0.02643726912726757,0.1554210508977064,0.02070504001214839,0.41106540514272205,0.015258932060206665,0.019877781232648592,0.01733133024268552,0.3685743602452246,0.46215718114328697,0.6363074041112481,0.20347479162068877,0.0432593761799354,0.02150170560972714,0.1386864449818485,0.046712164345092955,0.7792936235884312,0.01785505410265753,0.1401975692616841
BMK,0.054648109064211726,0.08620434084992266,0.10513876193519886,0.08867989463495005,0.008192018453909515,0.11302446186326892,0.23877471099433378,0.04624633691463545,0.240483438031307,0.06675082716951335,0.03581703942347339,0.056017219851158644,0.27866238348519096,0.06533160208445993,0.009062451845371548,0.025379875591561886,0.1079708432812101,0.03673063165745162,0.01926159991782352,0.06386848111832415,0.05502659514641968,0.10663234759788168,1.6233560475907827,0.07565557151518011,0.12388871850054778,0.2351572190542808,0.197410779158626,0.14444021596547144,0.27375772628335476,0.08795710357609433,0.003226445143007609,0.048681179663849536,0.032611228559426914,0.016302203663787734,0.23045243034724464,0.06954799654822089,0.14084302323559594
SCAN0,0.13070526738718363,0.0321154911183733,0.009638126988598414,0.07674505284616068,0.07112255011246636,0.03292913643452735,0.021696399335121064,0.06504292481097092,0.05578054674628533,0.08190660560245089,0.04350815854861269,0.005553490801747419,0.10612865777704085,0.04413873795372018,0.08066954461807735,0.015419672716456266,0.17844009546385584,0.07304802218507282,0.2266103701367568,0.12052512561485364,0.13359068687492895,0.13622686428670516,0.3234478228462017,0.11139078495711849,0.04066108108463081,0.04315902127709696,0.5619893099436132,1.3695048246040509,0.5224769115964217,0.10100177732107647,0.03162614640961739,0.07469114819079498,0.1242068953997155,0.0031901626516947427,0.050141571311629045,0.015014890640552846,0.14205677434983835
M06-SX-D3(BJ),0.024554602820032672,0.0007497551181959598,0.2065511055052297,0.3985234871420105,0.05876186827268393,0.051654420379480516,0.4085566311598462,0.07859517880140007,0.25025928455748936,0.08729610779832483,0.02049321460184018,0.010605385764810763,0.12676892286654354,0.07667600217838237,0.006739040406736953,0.0011518150295529174,0.0054986756728134575,0.051747885037747,0.28178426663103767,0.016094573399872688,0.03434196349733482,0.07859822829941368,0.4257555991272417,0.0554519103511504,0.0020841321977872283,0.06522393934025805,0.13414352370441612,0.28907802173401653,0.5064069242606573,0.0561534789501757,0.006306529764071744,0.03784000264911623,0.059579863719874185,0.007625511425454276,1.2493483746835505,0.002783382817927717,0.14371621137962437
wB97XV,0.0319487994176891,0.004975609764393239,0.03336102114126879,0.11962609780241992,0.01264278584763876,0.02085489002079835,0.4596710092894029,0.04835904557612454,0.38622914426729393,0.07055739507498839,0.02671013663199591,0.005024070165898489,0.1998466771070251,0.05103337750614007,0.042430409586888276,0.006365746564119788,0.02739102576118706,0.035746381928130094,0.025840100736361723,0.06107895597155351,0.06816956347183528,0.10358753287097318,0.7270434085649299,0.042454849262622864,0.04815273779070976,0.10849216251176139,0.2639006415031918,0.7923001572771492,0.27449206710914154,0.04395067675753174,0.006620414353655492,0.06273237025967078,0.08995609244525637,0.010675657483624836,1.0285653305243638,0.015544459743624627,0.14878696672476002
