method,aceticanhydride_forward,aceticanhydride_reverse,amide21_forward,amide21_reverse,amide22_forward,amide22_reverse,basicepoxide1_forward,basicepoxide1_reverse,basicepoxide2_forward,basicepoxide2_reverse,borohydride_forward,borohydride_reverse,carbonate_forward,carbonate_reverse,cl2co_forward,cl2co_reverse,diazonium_forward,diazonium_reverse,epoxide1_forward,epoxide1_reverse,epoxide2_forward,epoxide2_reverse,ester_forward,ester_reverse,furan1_forward,furan1_reverse,furan2_forward,furan2_reverse,furan3_forward,furan3_reverse,imine_forward,imine_reverse,iminium_forward,iminium_reverse,lactone_forward,lactone_reverse,Average
VV10,-0.3802342974774389,-0.3286704828055448,0.03459141389836507,-0.2605725007896944,-0.2951998864682953,-0.12020939367326289,-0.17195196628832402,-0.29957686572633974,-0.18806274513124838,-0.304399681410933,-0.0775073430987905,-0.23864910525981034,-0.23682890512916738,-0.2765208408161925,-0.09355298409742605,-0.3024656861800237,0.0724839856199307,-0.2533176116945275,-0.17905289352921927,-0.27525954710861356,-0.1598712996643805,-0.28535311547166403,-0.011138616811090457,-0.27196720814980996,-0.29073736441075126,-0.2675535614246119,-0.025445956162473443,-0.1619690876996614,-0.1697895953432861,-0.14470764555623705,-0.41368494762085606,-0.503269438573384,-0.03976175022390437,-0.14939431468827744,-0.13505088683596006,-0.09673288516277656,-0.20281625030460226
rVV10,-0.37193245852837603,-0.3197359951352106,0.04373872192956346,-0.263287422984902,-0.2961888385418101,-0.10722346052099373,-0.1695646503019956,-0.30226989090813733,-0.1841071980651041,-0.3063944185295585,-0.07392995830165976,-0.2392634842489936,-0.2343782627733198,-0.27638144769891,-0.08294337624075047,-0.3014303631524035,0.06835992107620277,-0.2573030831372625,-0.17795588498442108,-0.2792401068914538,-0.1573259834051668,-0.2879494966451526,-0.009387114233033617,-0.278114007624375,-0.28804725629204836,-0.26794330758490537,-0.019469853801567603,-0.1668010758631803,-0.16467126978267255,-0.1398059064133992,-0.4095387221119079,-0.5067964605105147,-0.03071647950007122,-0.14749776990602403,-0.13655788409965797,-0.09227273806054326,-0.2009535273270477
BLYP-D3(BJ),-0.32314420339503025,-0.2833711890266559,0.11480753804634362,-0.3039997101137352,-0.3399604897686747,-0.04231371893957903,-0.18442728296293467,-0.306501815999119,-0.18836959176110823,-0.31356861706212735,-0.038044968090017194,-0.2721087107354048,-0.2222869669788088,-0.2843983261452219,-0.005603110671119385,-0.3063408398836099,0.012989865031149498,-0.2937862370643084,-0.20646534495811125,-0.3144912265894289,-0.16008671327115423,-0.2968198797022801,0.0010700825645618011,-0.3534900454970714,-0.3166645768114455,-0.28513201697909146,0.017885713934932972,-0.18808845884344197,-0.13453520211540862,-0.13668428263320362,-0.36034862263047107,-0.5570777017570708,0.037861342474541135,-0.14282455754059625,-0.1680764432703007,-0.04422894329345621,-0.19968403478995717
mPW91-D3(BJ),-0.4826837055240905,-0.35182902233275615,0.031123914176428846,-0.18954203369925537,-0.3243352685057803,-0.2507077495634196,-0.17696914979675474,-0.1894424739565433,-0.18058325101459105,-0.18463825551108848,-0.13075133164540778,-0.24599643632610485,-0.2526815973691913,-0.20130608491178295,-0.27286287991498326,-0.36096011435235625,0.21758834345853117,-0.07510703466870784,-0.1599925813208932,-0.15829256055696542,-0.16080116490513688,-0.18339431808321593,-0.02123975244338453,-0.16875874626520737,-0.2616608651242297,-0.19272460602900615,-0.09897921081594602,-0.056977533522400065,-0.2787768878248203,-0.33761006561433915,-0.3744438529962152,-0.3531157387930089,-0.27309201392540833,-0.19685814744349522,-0.1219859208922121,-0.11191718106504996,-0.1981195910855219
TPSS-D3(BJ),-0.4033650187901104,-0.31831396818738583,0.049385639820066184,-0.18840420533530514,-0.2981234221403223,-0.13276296489257125,-0.17678624837242432,-0.31841076820019387,-0.1722821984762617,-0.32010099663115615,-0.10983490807525864,-0.1707813321149731,-0.26483771071671147,-0.3005228276191738,-0.20174491184584487,-0.3141041108057151,0.11066600983553566,-0.13190204832868999,-0.11321535749558125,-0.2383109911640898,-0.1355693752059426,-0.28101691085261155,-0.034385821964050774,-0.17858080721926903,-0.24767272250133535,-0.26010268554033084,-0.0903570120551486,-0.10272982636171729,-0.15991646403334586,-0.17319168736116264,-0.344657925297763,-0.35104675536889896,-0.16909125675425105,-0.15914221641411527,-0.10628006680835327,-0.13079062170260522,-0.1927301248604741
PBE-D3(BJ),-0.4378607418595036,-0.3341780592817344,0.0856926489152658,-0.16072003447132105,-0.3024850666961011,-0.2165283045956166,-0.14466943296596715,-0.20472637446614395,-0.14162053989634188,-0.19472457997660536,-0.12585554907567092,-0.2293958414785491,-0.22146648068454863,-0.2129534892988639,-0.2705400358949703,-0.353901294875308,0.2243302644138245,-0.10244924803132874,-0.12775509968505308,-0.17169950305078321,-0.13073083997952537,-0.1983099503883082,-0.007251408456403533,-0.15400318229918478,-0.18678579728781872,-0.19209545396968558,-0.0724225688016584,-0.07709637462903861,-0.2440416908286194,-0.29960918496696254,-0.36315803913291983,-0.3485621640677958,-0.24468977775476936,-0.2131302680404218,-0.1005571719673763,-0.1372646246532358,-0.18370042389386235
TPSS,-0.3749059189563918,-0.2509061683859057,0.1378137291083856,-0.16667315680355724,-0.29646940712433434,-0.07121627207439617,-0.1660440910705312,-0.3342349292858755,-0.14704314877591346,-0.32757290692792745,-0.09951385807383539,-0.16769128716539852,-0.25631089063203655,-0.3108136566387067,-0.17776778809844218,-0.30976698371727435,0.10586245486511757,-0.11745060168950981,-0.09264148463430096,-0.2456193799957641,-0.12090984299201679,-0.29384535258536254,-0.025182205382185373,-0.169898234525565,-0.19107676567408854,-0.25478921886501066,-0.05862740942999714,-0.13149426803624964,-0.13150430930789134,-0.1537788950051713,-0.3240844497230523,-0.34641777241272714,-0.14489150293948447,-0.1590480214314288,-0.09601527365540104,-0.12437893557716519,-0.17763633898942766
BLYP,-0.2698290515958187,-0.1718397857511728,0.26028522268811594,-0.26849325768662047,-0.3392600247933225,0.06558362635811969,-0.16579767007500054,-0.33627359649152244,-0.14526338443847514,-0.3286495069220038,-0.01760948152481283,-0.26719710473762726,-0.207260676794118,-0.3003234442484513,0.043833676473046444,-0.29910665382149654,-0.002368132121271492,-0.27756703719977366,-0.17080432905778056,-0.33017830752711613,-0.13326509480715576,-0.32061215640762614,0.018000449648422602,-0.34213223843452495,-0.22296991697699603,-0.2747278116601501,0.07042706059633809,-0.23650696274964828,-0.0832454900566477,-0.10106252734075441,-0.32363940999725077,-0.5511407048997787,0.08355170760973818,-0.14313387496713398,-0.15101169813035065,-0.03198610449321596,-0.17421038034260658
PBE,-0.4136208811622938,-0.28142397389589535,0.15650180024650784,-0.1436111333930462,-0.3011668349132904,-0.16657686007567588,-0.13584162214713044,-0.2181158717306067,-0.1212458953015163,-0.20139456759415558,-0.11690572777886293,-0.22698900403272887,-0.21429492709776513,-0.22097353515297796,-0.25011808972043265,-0.35035277593213887,0.21979649414552657,-0.09347280854441531,-0.11112484441117004,-0.178561418115419,-0.1184831711573673,-0.20923928130555533,0.0002678006961843835,-0.1478368532042691,-0.1410941042358051,-0.18798169438336187,-0.04681354474366912,-0.10033454287603627,-0.22050684485205824,-0.2831809308000219,-0.34605899130325524,-0.34529835800269865,-0.22369771465611393,-0.2132345720572562,-0.09241793746026633,-0.13215134136492773,-0.17159873773094347
mPW91,-0.3944495110685446,-0.25645038500986145,0.19882942955089625,-0.15495248844420828,-0.30983334471977403,-0.1212726845718998,-0.15363601104495833,-0.2415093191098778,-0.13272514140171668,-0.2224740772485125,-0.10224895752221731,-0.23557795318561056,-0.22497339611863415,-0.22950434170735762,-0.1996036984794656,-0.3392799484179564,0.18843278688867368,-0.10707750988606599,-0.12004437397750521,-0.20311354595420383,-0.12093084475024432,-0.22783560104500994,-0.0030052572452915456,-0.17031880575923536,-0.1471696778692789,-0.2009303451966449,-0.032322606200606695,-0.12327868378240624,-0.20055103268350757,-0.26767720299700587,-0.3239317638366883,-0.3575533058754907,-0.17619416414107011,-0.20043105324468544,-0.10282242305737595,-0.11465994868436284,-0.17030769966104736
