method,aceticanhydride_IEF-PCM_forward,aceticanhydride_IEF-PCM_reverse,amide21_IEF-PCM_forward,amide21_IEF-PCM_reverse,amide22_IEF-PCM_forward,amide22_IEF-PCM_reverse,basicepoxide1_IEF-PCM_forward,basicepoxide1_IEF-PCM_reverse,basicepoxide2_IEF-PCM_forward,basicepoxide2_IEF-PCM_reverse,borohydride_IEF-PCM_forward,borohydride_IEF-PCM_reverse,carbonate_IEF-PCM_forward,carbonate_IEF-PCM_reverse,cl2co_IEF-PCM_forward,cl2co_IEF-PCM_reverse,diazonium_IEF-PCM_forward,diazonium_IEF-PCM_reverse,epoxide1_IEF-PCM_forward,epoxide1_IEF-PCM_reverse,epoxide2_IEF-PCM_forward,epoxide2_IEF-PCM_reverse,ester_IEF-PCM_forward,ester_IEF-PCM_reverse,furan1_IEF-PCM_forward,furan1_IEF-PCM_reverse,furan2_IEF-PCM_forward,furan2_IEF-PCM_reverse,furan3_IEF-PCM_forward,furan3_IEF-PCM_reverse,imine_IEF-PCM_forward,imine_IEF-PCM_reverse,iminium_IEF-PCM_forward,iminium_IEF-PCM_reverse,lactone_IEF-PCM_forward,lactone_IEF-PCM_reverse,Average
CAM-B3LYP-D4,0.004042338384233949,0.07411081561802069,0.12305077074071216,0.02677060898973521,0.08600169622990604,0.03977196572431314,0.04100643827290636,0.06661364482596906,0.05211625486261303,0.09600736431376831,0.010494018157881056,0.04665093642159599,0.009606011414376281,0.05274758740410275,0.03672977903530723,0.0018323515024603694,0.08333631912977849,0.0658392681929343,0.06778377084664829,0.004243950858891242,0.03452603962660297,0.02561222597310738,0.017256072952621652,0.04072008912330882,0.02005339160060589,0.014976114548805607,0.016363511108836975,0.021704706329791407,0.03929185435435092,0.011495767389170863,0.043836008116718186,0.021811097091834313,0.0651964701436614,0.033432850980121484,0.0057992564948921655,0.12063391109979907,0.04226292382945508
wB97X-D4,0.0044121875695213135,0.060662593432304485,0.06574713791912669,0.025889639915025953,0.016337848510286166,0.1688413013381032,0.1043223210792483,0.05823692010409726,0.13098766781481183,0.10084989145304087,0.01579184916137083,0.013160440564872493,0.06898065600471434,0.13007063632112445,0.019169805413032738,0.05080274115441248,0.02587330641706857,0.04005666533634925,0.015758164573184217,0.009558571296506762,0.022179391382939288,0.033565437907903686,0.04825091259947699,0.05568794554812188,0.05064737400520411,0.06237696107882083,0.01229505917209125,0.03440016323024844,0.02164406415273503,0.11767088163216691,0.02008288589560656,0.09831196444312384,0.04981719639876853,0.024086565522148242,0.0034444125471919736,0.10832250501444936,0.052452612941922196
B97-D4,0.0058725581005367195,0.03349960795519342,0.09406200644969255,0.10267819707053708,0.16726449871617202,0.015169518935001179,0.03081099066885937,0.01043684968378616,0.03718478429964041,0.017097956084327723,0.027283377982070808,0.09357005409355583,0.09626911487467822,0.04461826308754678,0.049243003913766056,0.07757438814784728,0.1435788022003847,0.08417174589154937,0.09904179719077626,0.10050348168657137,0.06903502009001299,0.08414721719452307,0.04838652136597438,0.060144903474591345,0.06497736942267335,0.09516957267092349,0.030128291674311608,0.07201716449469027,0.09222573906524377,0.04148517105169732,0.05383787928136127,0.023677090062644117,0.07700940147816714,0.052974211758643086,0.02282607982853151,0.09760632371530867,0.06432163760171641
mPW1PW91-D4,0.004905064937193993,0.08542753346800112,0.11271892869879943,0.014290165687133708,0.12419284986956458,0.07132738854754656,0.023372759903821372,0.07729676427417775,0.03098620003364938,0.10717372829383272,0.04861809519244027,0.05689048011715429,0.06727010549008255,0.02087767191462924,0.12747515848788443,0.05421521352637665,0.2301727125107152,0.06316854819432362,0.06065238128842786,0.000748741768410855,0.0471033772822209,0.0007644163404379924,0.09545322550741954,0.03017363523878355,0.0040321982078095064,0.01834208960792356,0.04780099663447551,0.02360286515698565,0.11620119747308852,0.13795672704374662,0.028974980927641895,0.09742962935573155,0.17451984246289903,0.06482017228981807,0.006589285070430867,0.07632909602978721,0.06532983963426016
PBE0-D4,0.004985912727801178,0.09783570873401358,0.10843730198542408,0.001702480224962426,0.11755519483833278,0.08733997497366579,0.034968198681388105,0.09120271214094172,0.04390492375108655,0.1235629395448833,0.05854298258617593,0.051422270374813436,0.0611784934566051,0.027739094453802706,0.1678047989101599,0.06548489102765348,0.25633555658802587,0.08449621493235154,0.04722838269096577,0.020756089608737035,0.04037334226820441,0.016295785482670806,0.10157681365731419,0.050000783746684534,0.015932601886083093,0.002050197209117971,0.04712958255004012,0.04237259498830572,0.12408247063008476,0.1517643220267202,0.03710577718021879,0.1114921869931608,0.21065558572492396,0.0772507588649847,0.002839069788797974,0.06249718766127047,0.0734973106358437
B3LYP-D4,0.005746621019009035,0.0353628514265617,0.12832200532437837,0.14344093685743292,0.17946058016822555,0.04073235943392021,0.03148375988122356,0.04544094115398905,0.03891828381590116,0.03758943668462955,0.010957958922236322,0.11614260156331907,0.10349651441548692,0.06387455723735021,0.03721487116796325,0.07023108709104794,0.08465048824960465,0.11673194929057963,0.1198426022408113,0.13544113421776366,0.07747864131737936,0.10894016320174332,0.027595047104079572,0.13428162534446095,0.1223644868213393,0.11328318394609532,0.017361611655111985,0.12557870191591458,0.05152771887320919,0.020140755699305568,0.08557096768757617,0.1349382678104205,0.02396626435585282,0.04499159790540585,0.02921758053684481,0.16201128838376452,0.07845359563110939
SCAN-D4,0.00565083417156269,0.08054698656117644,0.04010720267492286,0.10880425873559127,0.19075304993809475,0.17803513851197203,0.09844505598220431,0.020615961884231707,0.13331945771689477,0.033761497479627804,0.08106755091535633,0.09676863987592375,0.2008008589783494,0.15486350865633103,0.23467376401207027,0.13395925797847477,0.155775368015495,0.0788762904419777,0.1026456369082455,0.08734599426132707,0.11296479132051286,0.11210640823616065,0.04831863708720645,0.03392984247322238,0.1554681399737612,0.14762569050624894,0.08807063047695302,0.0005967906965394719,0.14427798802144384,0.12496546317705133,0.20482016891400395,0.04425847327055911,0.19885429542859143,0.09792788266207396,0.02387684803782212,0.031642262835787825,0.10518112852271577
M06-L-D4,0.0015350053991793403,0.014118516880601556,0.04731902096921921,0.24383732096434987,0.12380656227844894,0.23367279109562208,0.05691626084784862,0.14467585291065124,0.0075837456818764965,0.15047133085676387,0.02512163139996278,0.02197699402964301,0.06122433922479822,0.05196249477459313,0.13180004856344077,0.10841109222108922,0.09970009316335783,0.2588249902018323,0.06254985398012643,0.2159395848059153,0.020420294777735798,0.19831747047584672,0.09513621466403407,0.2312978256719592,0.13730857680829597,0.17044770120621788,0.008134321824787571,0.2284276603893024,0.06323439513232398,0.1575011656547455,0.10126667191829852,0.09830279535011935,0.01087181894230344,0.06053127196895926,0.030265224877350297,0.17631013621306796,0.10692280767012967
TPSSh-D4,0.0076980566378238,0.06730317641293208,0.06034281237951947,0.11726504491569123,0.21564910266238382,0.08471393065459486,0.05729866538911933,0.15189033520098633,0.06997470905736462,0.15021257493351103,0.07839436012238796,0.09873577647122742,0.18480567696337005,0.19840631745177936,0.16017009641599872,0.18900230647303898,0.11343464458530989,0.09621163662669549,0.07451660047220772,0.15837290482134683,0.09505097702899103,0.18478096090379123,0.003996616247792667,0.04253533440616103,0.1573685651020723,0.17862411464946884,0.07432797277928532,0.050002594945352336,0.0988113223633143,0.10311530218713402,0.16010396917662825,0.1125681813195726,0.1544128491970305,0.11495278214826903,0.02705443750279285,0.04715315812341364,0.1094238296313433
PBE-D4,0.010882598617761585,0.08430460878737225,0.11053290632276148,0.14901240297873328,0.30522322726931883,0.21687503369822356,0.08182262126735851,0.1344318302199258,0.10377629108070877,0.13778864154566317,0.12146881718454766,0.22716822110541013,0.22525431556085584,0.23178828064120865,0.267197710942801,0.33758261044819415,0.2005249860713837,0.17302332075273846,0.11133695807043194,0.17818045295722115,0.12013543060186055,0.19015034428326577,0.047217225738974085,0.0784153041142332,0.18703691506022166,0.19412846831425326,0.07009988721614628,0.06077079355542985,0.17800745167240978,0.24814211569849057,0.2540454472931779,0.24820364680126872,0.22923837051531554,0.22361064253626797,0.0379333565817393,0.06236498651581457,0.16215767283393026
