method,aceticanhydride_IEF-PCM_forward,aceticanhydride_IEF-PCM_reverse,amide21_IEF-PCM_forward,amide21_IEF-PCM_reverse,amide22_IEF-PCM_forward,amide22_IEF-PCM_reverse,basicepoxide1_IEF-PCM_forward,basicepoxide1_IEF-PCM_reverse,basicepoxide2_IEF-PCM_forward,basicepoxide2_IEF-PCM_reverse,borohydride_IEF-PCM_forward,borohydride_IEF-PCM_reverse,carbonate_IEF-PCM_forward,carbonate_IEF-PCM_reverse,cl2co_IEF-PCM_forward,cl2co_IEF-PCM_reverse,diazonium_IEF-PCM_forward,diazonium_IEF-PCM_reverse,epoxide1_IEF-PCM_forward,epoxide1_IEF-PCM_reverse,epoxide2_IEF-PCM_forward,epoxide2_IEF-PCM_reverse,ester_IEF-PCM_forward,ester_IEF-PCM_reverse,furan1_IEF-PCM_forward,furan1_IEF-PCM_reverse,furan2_IEF-PCM_forward,furan2_IEF-PCM_reverse,furan3_IEF-PCM_forward,furan3_IEF-PCM_reverse,imine_IEF-PCM_forward,imine_IEF-PCM_reverse,iminium_IEF-PCM_forward,iminium_IEF-PCM_reverse,lactone_IEF-PCM_forward,lactone_IEF-PCM_reverse,Average
CAM-B3LYP-D4,0.11798043505022866,0.1475505550905443,0.1449605862560364,0.09557585143524555,0.13793534634371568,0.02650387539132239,0.10426161277545083,0.04752285246851521,0.09253859985346072,0.06131117606224287,0.009713160574480071,0.02816180293314431,0.02035957806030825,0.02905828286390059,0.019200170493656965,0.0009686182198562436,0.0639986831643341,0.029013722723777984,0.34742314196917073,0.005135847464869784,0.17947037109389627,0.03385686923368907,0.047826922074789134,0.08393857179079839,0.017605766766981168,0.023052932688086582,0.2637967784980109,0.1668076754040309,0.18525687697286639,0.01463309578375321,0.022908389021437214,0.010648553588767163,0.04821685677999684,0.01920534875267159,0.03867527833521643,0.10325928769285567,0.07745370760200301
wB97X-D4,0.12877492171501712,0.1207758848627766,0.07745375018817152,0.09243063462543215,0.026203748199955055,0.1125151530752277,0.2652464808529184,0.04154681176143645,0.23258416034703455,0.064403657937402,0.014616781138039832,0.007944572223629078,0.1462018927520129,0.07165501833383935,0.01002084798568073,0.026855360794438423,0.01986957855939209,0.017651972951800363,0.08076787377422288,0.011567373372878017,0.11529105698719624,0.04437024111893427,0.1337322021799895,0.11479264205729399,0.044465588258334666,0.09601768738822422,0.19820911169171535,0.26437636035097223,0.10204943991125358,0.14978463147264295,0.010495174687090846,0.047997595782630735,0.03684292445047241,0.01383641770131957,0.022970809116874286,0.0927210649718913,0.08491776176605949
mPW1PW91-D4,0.14316013164480235,0.17008151749654515,0.1327891071951181,0.051018441650775626,0.19918890569758932,0.04753228017837074,0.05942680577054399,0.05514429865671156,0.05501967809183829,0.06844211766084099,0.045000433420717786,0.034343115331112416,0.14257644559955315,0.011501365766499915,0.06663652330498838,0.02865926299868378,0.1767626726842666,0.027836803058063127,0.31087147575207086,0.0009060952025584126,0.24484883560471504,0.0010104839815750035,0.2645581060456197,0.062198583112388656,0.003540046622477005,0.0282342229496393,0.7706016659443653,0.1813956388024261,0.5478761768337856,0.17560671963021018,0.015142120906898806,0.04756682458291589,0.12906831045851225,0.03723565231617263,0.04394398391474124,0.06533559274021195,0.12347390115578626
PBE0-D4,0.14551977020101223,0.19478551154779555,0.12774511507085712,0.006078158218770566,0.18854298491021898,0.058203002321511016,0.0889089846357806,0.06506494345303801,0.07795840628435353,0.0789084170298192,0.05418681212605565,0.031042117388236937,0.12966550417353256,0.0152812762193624,0.08771848982896945,0.03461664341667856,0.19685460362465504,0.037235373638601445,0.24206728099767658,0.025118130190954213,0.20986533056031398,0.021541441916307476,0.2815302395123259,0.10306938089963165,0.013987941710023155,0.003155895883747026,0.759777774217571,0.325647072272721,0.5850355340498578,0.19318256760008592,0.019391217747836705,0.05443240763757821,0.15579294683321926,0.044376346076279986,0.018933774422906863,0.05349586216574442,0.1313532571884453
B97-D4,0.17139756588941918,0.06669587573534269,0.11081022505822617,0.36657948695210407,0.2682701338790604,0.010108905413085921,0.07833900513293625,0.007445754830777253,0.06602600060216884,0.01091891026572405,0.025253227826279843,0.05648549902647853,0.20403874975148115,0.024579894048254114,0.02574134927017311,0.041007397136036274,0.11026230060422204,0.037092388228212356,0.5076349683191802,0.12162500669609948,0.3588520666726769,0.11123442889833886,0.1341080553608225,0.12398001592935602,0.05704653028134137,0.14649579138747554,0.48569932409186517,0.5534751595353397,0.4348344631856148,0.05280695590419884,0.028135296429882436,0.011559563523859794,0.05695325642023376,0.030430794320458508,0.15222727110757686,0.08354831049805735,0.1425472202281211
B3LYP-D4,0.16772194295652906,0.07040549094031115,0.15117039096462676,0.5121097422951845,0.28783103549927963,0.027143877833808536,0.08004956586586157,0.032418030091781395,0.0691040348643065,0.024004956152320345,0.010142579608584319,0.07011188431053131,0.2193569498635393,0.03518805396329773,0.01945374815997437,0.03712557905257645,0.0650079081217399,0.051440857449968666,0.6142487042578427,0.1639050566181911,0.402742992230328,0.14400828977890992,0.07648241700881538,0.27680214095379263,0.10742923982358923,0.17437831459493894,0.27988719497239833,0.9651128667010512,0.24294766518011168,0.02563740177821819,0.04471878487448796,0.06587918846561032,0.017724547562948816,0.02584521820251143,0.194852229857284,0.13867717695789117,0.16364072382814285
M06-L-D4,0.044800951228121465,0.02810919007456494,0.055744413297609846,0.8705427497668407,0.19856935149104932,0.15571859285182046,0.14471340109208555,0.1032132265332693,0.013465841106495676,0.09609236046026959,0.02325233633195938,0.013266867128506006,0.12976267254612742,0.0286257807377298,0.06889732173607026,0.0573083052126532,0.07656535278309802,0.11405771518746033,0.32059689993719065,0.2613208319476714,0.1061470681619437,0.26215638858203144,0.2636794789706712,0.47678700030418086,0.1205493228546905,0.26237241775500514,0.13113370830824916,1.7555403168584203,0.29814338752849845,0.20048506246305509,0.052921249330773044,0.0479931192733654,0.00804038831740443,0.03477191308925136,0.20183897660681147,0.15091659478179748,0.19939168207324284
TPSSh-D4,0.2246769035254495,0.13399692010231012,0.0710871570020897,0.4186571368513481,0.3458726393596844,0.056453017121201994,0.14568569022239716,0.10836011165591987,0.12424840615258925,0.0959271165742292,0.07256105302529077,0.05960389421350367,0.3916886461838695,0.10930067474612548,0.08372751592696659,0.09991045790003861,0.08711289332768242,0.04239806766545132,0.38193200439505975,0.19165610271540184,0.4940860378056877,0.24426244078761178,0.011077019341006899,0.08768043728699593,0.13816088115278546,0.27495847992239575,1.1982440468338402,0.3842860852512502,0.46588478175400067,0.13125666539637756,0.08366920637501195,0.054957726616158845,0.11419793461699129,0.06603410138609021,0.1804262152475612,0.04036179773914662,0.2004000073938756
SCAN-D4,0.16492629032688133,0.16036461721360834,0.04724849407971161,0.38845062032104893,0.3059426634911145,0.11864188858821158,0.25030314113517604,0.014707637116696742,0.23672453024237763,0.02156039935992263,0.07503533227921255,0.05841639150961641,0.42558982980472565,0.08531324106553859,0.12267365602958574,0.0708135845235731,0.11962873482456035,0.034758813139562146,0.5261063118599382,0.10570237924733317,0.5872041287705532,0.14819375746159563,0.13391990733202988,0.06994146082698045,0.13649241318320046,0.22724219257152223,1.4197899488430876,0.004586529173899146,0.6802552314210535,0.1590699890164329,0.1070375773365415,0.0216077495961911,0.1470651564669067,0.056254225529676856,0.1592348509578395,0.027084900851059388,0.20605246043047126
PBE-D4,0.31762153421103145,0.16784583625933347,0.1302138524178278,0.5320008706027283,0.4895376883380587,0.14452463598279516,0.20803948877672335,0.09590503644267571,0.18426712932289313,0.08799307971390599,0.11243034920990735,0.13713479655859495,0.47741800662646067,0.12769056851471336,0.1396752646043719,0.1784530242956623,0.15399450304650267,0.07624706031598925,0.5706533482421619,0.21562634866341773,0.6244779460609772,0.25136024287382214,0.1308672362597165,0.1616418032376597,0.16420804864083127,0.2988245381207199,1.1300829203279468,0.46704316803059637,0.839286033113309,0.31586298017996667,0.1327623610302599,0.12117729900346201,0.1695360754234245,0.12845211367919068,0.2529777955639572,0.053382701645725616,0.2719226579260367
