method,aceticanhydride_vacuum_forward,aceticanhydride_vacuum_reverse,amide21_vacuum_forward,amide21_vacuum_reverse,amide22_vacuum_forward,amide22_vacuum_reverse,basicepoxide1_vacuum_forward,basicepoxide1_vacuum_reverse,basicepoxide2_vacuum_forward,basicepoxide2_vacuum_reverse,borohydride_vacuum_forward,borohydride_vacuum_reverse,carbonate_vacuum_forward,carbonate_vacuum_reverse,cl2co_vacuum_forward,cl2co_vacuum_reverse,diazonium_vacuum_forward,diazonium_vacuum_reverse,epoxide1_vacuum_forward,epoxide1_vacuum_reverse,epoxide2_vacuum_forward,epoxide2_vacuum_reverse,ester_vacuum_forward,ester_vacuum_reverse,furan1_vacuum_forward,furan1_vacuum_reverse,furan2_vacuum_forward,furan2_vacuum_reverse,furan3_vacuum_forward,furan3_vacuum_reverse,imine_vacuum_forward,imine_vacuum_reverse,iminium_vacuum_forward,iminium_vacuum_reverse,lactone_vacuum_forward,lactone_vacuum_reverse,Average
SCAN-D4,-0.1807674712614186,0.1719095252053898,-0.04595601453525293,-0.4108617889020021,-0.2638616312124267,-0.11074464661611451,-0.3596488370369376,-0.02774798914000631,-0.34461160855954914,-0.03181770716182246,-0.07187748858053998,-0.06818722405172391,-0.5417205401101901,-0.1077377326834016,-0.12298682862685387,-0.07632120900106364,0.12594069284963064,-0.03541578134018739,-0.569501330367043,-0.15807789684721368,-0.4747597053001493,-0.22246677502327253,-0.010770640827585373,-0.002988448043747261,-0.12045679933172165,-0.4033232671595278,-0.8181731035748884,-0.3162599674061274,-0.6705688654951977,-0.15718089109197583,-0.13740528625686163,-0.05354560277063598,-0.12861357609451438,-0.05675691423368563,-0.15574182116373053,-0.0009456652340754182,-0.19333196769406732
PBE-D4,-0.3418235156165889,0.17672898272372403,0.12013103724050472,-0.5769145381476083,-0.42531269701148466,-0.13711415206711347,-0.3137955166770933,-0.10101168774318092,-0.2676478360425126,-0.09718718691681955,-0.10626025110812168,-0.150750530973372,-0.6029569124774716,-0.15795849137141998,-0.14035354058275756,-0.18355409588906887,0.1590093462934062,-0.08084701335170297,-0.6394286512129498,-0.33450705499565964,-0.5260058294308047,-0.38701517972717436,-0.045641760747765395,-0.1882697160984839,-0.15049830450203622,-0.525442926998356,-0.6388784398712885,2.776332673233099,-0.8201944155428115,-0.2930970299076765,-0.17206441515547347,-0.15193773785839743,-0.1488955721812837,-0.13244337357445896,-0.2475447366065874,0.012497300181090071,-0.16224038251988054
TPSS-D4,-0.30894186682522534,0.12731699757703574,0.058437011782600363,-0.699550719017931,-0.4061836813195146,-0.09109481283722541,-0.4152523644237874,-0.18038400859279446,-0.35667629553503677,-0.18005322146594693,-0.09275837451046715,-0.11040418312105107,-0.6935113010994881,-0.20073103760222474,-0.1052172960593735,-0.16141034836456153,0.06917371794590164,-0.09578874092669759,-0.5732445093800161,-0.47002379688105367,-0.5574208543951626,-0.5789101170797959,-0.1249460540582153,-0.19747096488104993,-0.19860094298852127,-0.6988237739189256,-0.772843591017444,4.420909934797531,-0.5522989228743309,-0.16482945110962763,-0.16420854888646208,-0.1504777964250526,-0.10183027382409701,-0.09955945235127203,-0.27546265797479713,0.0024781817631285364,-0.141683169885582
TPSSh-D4,-0.23502152639206245,0.14141400380104616,0.06764251788405624,-0.44498779160856067,-0.30094797472050383,-0.05889964868420845,-0.2072106228884893,-0.11386827153406634,-0.17087700011697554,-0.10534256301661986,-0.07045943071917933,-0.06740154589360951,-0.49059866399868746,-0.12963411233713182,-0.08420313612479727,-0.10414182969985535,0.09325114043013914,-0.04458651926178297,-0.4123851680820608,-0.29842091021898565,-0.3975721856246492,-0.3817190064843181,-0.06589031441312047,-0.10903942174732455,-0.12333047877330357,-0.47735788087031433,-0.6829046069996525,2.3588392623821735,-0.46540624028755984,-0.1279432205183422,-0.11123393302884464,-0.07857871056998506,-0.09860456395525447,-0.06721996504787343,-0.17188373583822222,0.011361983502481082,-0.11181005754045681
PBE0-D4,-0.15546632906221824,0.20473360568166368,0.11924660721779115,0.04041879702377126,-0.162853885691804,-0.05566436189541653,0.16329842203580744,0.04856216140464125,0.1574182592790263,0.06970567801425982,-0.05406527111769166,-0.037074753223529364,-0.11762089858048892,0.008020039672835903,-0.08787247554756587,-0.03764522861458432,0.2021392452127373,0.0428497097994964,-0.2501741634351659,0.060364990692181486,-0.1534455738092959,0.06613427250449291,0.07641732294512266,0.0338091780672781,0.022196555862636257,-0.0180803765452879,-0.4798525723420091,-2.4122448890829546,-0.5850993490278443,-0.18400824349037828,-0.04372893387892737,0.026907419297186028,-0.1379875688681426,-0.045385987925629194,0.005142426644881633,0.030018732520379985,-0.10113576217396512
mPW1PW91-D4,-0.1526015239824539,0.17910695592014234,0.12427036664130585,-0.0257688679772463,-0.17190253720824758,-0.04635219958939689,0.11700672357423418,0.03846640565208985,0.11943524507343482,0.058787935899300314,-0.045968405866385384,-0.04046020069050734,-0.14003516407342792,0.004611298815019587,-0.0674775829351063,-0.03161901404194454,0.18245590995128433,0.032210359105628215,-0.3223286005593558,0.02005473457319854,-0.17899935067024722,0.031009179163722405,0.07098052669132847,0.0065886735438602856,0.005894483660831766,-0.060247477594141514,-0.48200542859032053,-1.4184303677917645,-0.5511090050003585,-0.16845348892014275,-0.03927044305477034,0.021660263512034494,-0.11333990611846921,-0.03800007386796289,-0.021266984633793295,0.04008292144506971,-0.08508373999843215
B97-D4,-0.18039623383804548,0.0696876514316318,0.10319584931137821,-0.38885953916714555,-0.22971381839332447,-0.017310072939890418,-0.06813509748783078,-0.005244983332120074,-0.055179996123219256,0.0011187195220807944,-0.027751245777395454,-0.06391683813941931,-0.2256446364954495,-0.03679167690059987,-0.027696826625462963,-0.044018375449852896,0.11644253263431859,-0.03970067271681902,-0.5411857049337352,-0.18133594091224395,-0.2774428521011392,-0.15985198888652083,0.0007881104084676012,-0.13156973534875613,-0.045818318576061355,-0.2628956689089151,-0.32360035481069327,3.568768756697504,-0.44778810801696706,-0.06137840067905685,-0.05548067230617788,-0.03465765142546676,-0.047482907342006345,-0.030435247044585334,-0.13300717891670608,0.04950795401124701,-0.006521699154971618
CAM-B3LYP-D4,-0.12074516715276351,0.14754860534861666,0.1367410499343431,-0.0848995179903147,-0.11871747859778183,0.01909680932989909,0.26422639484677746,0.024381419264359085,0.2327429396331064,0.04630502512950297,0.003782348167101797,-0.02960149841192547,0.06814757408348047,0.029098577310586238,-0.02147357025116016,-0.001418976772365359,0.06870378367038305,0.034552783122225934,-0.3367527390527076,0.025504677575599464,-0.0981894403484358,0.07950100306815215,-0.021450698869987118,-0.10099666152127394,-0.0038576735988773863,0.034049943595494916,-0.21355477967885197,1.0086102606573597,-0.21539187695356718,-0.02561116368454333,-0.035912986526153094,-0.0010312312020261025,-0.039109375464932726,-0.021703369206598683,-0.00920016293548695,0.07646781234720171,0.022217851079567703
BLYP-D4,-0.32595193263604355,0.0072208217257143485,0.1265200993144298,-1.1366350425677725,-0.4684687459660745,-0.05118781902421941,-0.466267783711671,-0.1755460177016217,-0.4167930933609674,-0.18252946501659037,-0.03026341768616914,-0.17089697916255264,-0.6394872002634661,-0.18797263869622546,-0.013361048655012706,-0.15607950383651648,0.01437597600569096,-0.17095381843055318,-1.007979402327936,-0.6115259610448932,-0.617459994112471,-0.6200052495532178,-0.14133101409968993,-0.45046159792723095,-0.2473277820519511,-0.7709238401062646,-0.3300646058282182,11.407875843657868,-0.44251650483283056,-0.10419781854359281,-0.17244236623343556,-0.23458584750155617,0.030486881431461076,-0.09204623404325027,-0.4104763017852961,0.07779436523207744,0.022737082240554197
B3LYP-D4,-0.17427558576483201,0.06929771530968643,0.14160228300411287,-0.5545529990594964,-0.2470779184466891,0.014152291348630391,-0.04848398299231985,-0.044421321763358314,-0.044557516235450734,-0.03491010179852486,0.004351465063417545,-0.07566377100598744,-0.23125724679199744,-0.04617557735294325,0.015227631530919886,-0.03923695642505163,0.07128274962258108,-0.05448308807295724,-0.6446936940387236,-0.2496359944507331,-0.29975521695068336,-0.21582916268228922,-0.02687078246428287,-0.24589588576156374,-0.09168702160003799,-0.306838823565521,-0.20646249058162328,6.328463305508178,-0.26656934825519,-0.03647053969914224,-0.07034533518545957,-0.08192437231990761,0.02170183070749139,-0.026771384844929472,-0.17545014213561552,0.0948802709318565,0.061685091188376756
