method,aceticanhydride_vacuum_forward,aceticanhydride_vacuum_reverse,amide21_vacuum_forward,amide21_vacuum_reverse,amide22_vacuum_forward,amide22_vacuum_reverse,basicepoxide1_vacuum_forward,basicepoxide1_vacuum_reverse,basicepoxide2_vacuum_forward,basicepoxide2_vacuum_reverse,borohydride_vacuum_forward,borohydride_vacuum_reverse,carbonate_vacuum_forward,carbonate_vacuum_reverse,cl2co_vacuum_forward,cl2co_vacuum_reverse,diazonium_vacuum_forward,diazonium_vacuum_reverse,epoxide1_vacuum_forward,epoxide1_vacuum_reverse,epoxide2_vacuum_forward,epoxide2_vacuum_reverse,ester_vacuum_forward,ester_vacuum_reverse,furan1_vacuum_forward,furan1_vacuum_reverse,furan2_vacuum_forward,furan2_vacuum_reverse,furan3_vacuum_forward,furan3_vacuum_reverse,imine_vacuum_forward,imine_vacuum_reverse,iminium_vacuum_forward,iminium_vacuum_reverse,lactone_vacuum_forward,lactone_vacuum_reverse,Average
BLYP-D4,-0.011064389580608111,0.003555666961439306,0.11519716674347982,-0.2737417548044289,-0.345286795945119,-0.09144734463383968,-0.1292518346935509,-0.2603534877940716,-0.1554926093576162,-0.2865115774874469,-0.035223359339531315,-0.26626738400176697,-0.2108325319404213,-0.30955222114626013,-0.02635687000199937,-0.2984634299837464,0.018954162392700494,-0.3429025828469296,-0.17825274216625814,-0.30540419902022414,-0.1447386234987716,-0.2737385471460832,-0.10829157743227133,-0.3042370896588371,-0.30092798096735934,-0.29678604461771013,-0.03967360159072626,-0.2195598986615857,-0.10232636550233036,-0.09391559509283126,-0.37175805202364726,-0.5494831817562665,0.045367160466025416,-0.14922872088785832,-0.05944412547554756,0.10839387588711837,-0.17358462462791338
TPSS-D4,-0.010486985441903938,0.06269325834512682,0.053207183892426325,-0.16847645394255942,-0.2993793355387791,-0.16274142760291024,-0.11511009732510084,-0.26752874485158973,-0.1330648918424352,-0.28262468478289926,-0.10796075945600146,-0.1720161068179715,-0.2286437374819404,-0.3305626764285554,-0.20755845336723314,-0.3086573510524407,0.09120284304414868,-0.1921349693909479,-0.10137350574103808,-0.23473613607773666,-0.1306648656495291,-0.2555946332580045,-0.09573698578542689,-0.13336984090092904,-0.24164119491920166,-0.26902935537397643,-0.09289541556579382,-0.08508635179578783,-0.1277121662839033,-0.14856410821411858,-0.3540072639517316,-0.3524723219407392,-0.1515324020025789,-0.16140942517751464,-0.03989179578276021,0.003452945796998586,-0.15978078368514828
PBE-D4,-0.011603148089991727,0.08702463914345669,0.1093798946021162,-0.13894134188221327,-0.3134784544122131,-0.24495525219242792,-0.0869857358067131,-0.14981111822543994,-0.09985112776119519,-0.15255210567003213,-0.12367548989685785,-0.23487805177045906,-0.19878886153816722,-0.26012510220678875,-0.2768704851675107,-0.35100178883192756,0.20964760725875403,-0.1621645538442358,-0.11307761868461068,-0.16705727263484693,-0.12330087848618829,-0.1708710903630883,-0.03497192954884969,-0.12715541293700075,-0.18311388448587484,-0.20228214495831248,-0.07679287097372045,-0.053434252681211956,-0.1896596231580317,-0.2641742636119076,-0.3709432501882722,-0.3558920221166707,-0.22156970469462797,-0.21472204087461635,-0.03584879399773541,0.017412968159223125,-0.1468634600702275
TPSSh-D4,-0.007977770546722024,0.06963488648523429,0.061588842040607904,-0.10716873436023051,-0.22181492966649397,-0.10522457441463592,-0.05743985347461258,-0.16887880472097258,-0.06374892254843323,-0.16535337954186882,-0.08200719009388999,-0.10501550928934732,-0.16174547114440582,-0.2134806836176458,-0.16610456034596546,-0.1991454799187408,0.12294798337988905,-0.08943253069969047,-0.072926874169801,-0.14903537194167438,-0.09319478417613583,-0.16853277666336053,-0.05048690926587496,-0.07364409415394282,-0.15005832204160677,-0.18377062682490708,-0.08208479438318321,-0.04539903102956071,-0.10761932838803584,-0.11531780473932302,-0.23980249845188098,-0.18405918499415758,-0.14673226206154824,-0.10897946566186842,-0.02489176187744332,0.01583108784197136,-0.10114087459611826
SCAN-D4,-0.00613612476343559,0.08465144859521531,-0.04184317510000187,-0.09894999086253738,-0.194480289237458,-0.19784597309498375,-0.09969651272576764,-0.04115323062555536,-0.12856393036110683,-0.04994339664633767,-0.08365765674418445,-0.10623964132991112,-0.17859984223063252,-0.17742185609952113,-0.24261178428236774,-0.14594542690770917,0.16604788037877508,-0.0710376814427558,-0.10071155578259579,-0.07894620432292779,-0.11128828894671576,-0.09822131639535103,-0.008252751121936535,-0.0020183668033189064,-0.1465618666691933,-0.1552691860535389,-0.09834400044811785,0.006086848011499819,-0.15506060017143541,-0.14167030683035467,-0.29622373360067067,-0.12542277589559636,-0.19138831099883907,-0.09201638503379783,-0.022554131185603853,-0.0013176316781728474,-0.0953502152057484
M06-L-D4,0.000903156927762791,0.017933955750451754,-0.03826335216354958,-0.23127343167860043,-0.13365635569306786,0.21482054610784332,0.04920331295205958,-0.15997039101308552,0.005477787912314114,-0.15389017456247395,0.023535971816221378,-0.036062956404560406,-0.059854013807840674,-0.05405413601111409,0.12779908248819066,-0.12335846555696489,0.10464923934598223,-0.25789603322630067,-0.06598410587140749,-0.2103635708233076,-0.02514459669082678,-0.1867337827904911,-0.12553144425882323,-0.2482522029150332,-0.13912834893623327,-0.1802454008412918,-0.0009536814666573605,-0.2269901020464282,-0.07175761208646714,0.14659882923584747,-0.18264218263187934,-0.17554838698312836,-0.001984651120032868,-0.04710106587828333,-0.030810695807564355,0.14622644314025304,-0.06473063376634687
B3LYP-D4,-0.005915758681645435,0.034123484305451784,0.1289295684628172,-0.1335558956124247,-0.1821097854315021,0.02528315308187614,-0.013440010169957191,-0.06588156316465499,-0.016623030890639563,-0.054797445089939896,0.005064636756218744,-0.11788853418122695,-0.0762432005685809,-0.07604166559269326,0.030039012285777836,-0.07503097017152255,0.09398351886576294,-0.1092832660493229,-0.11400869755303743,-0.1246715361054743,-0.07026553606987974,-0.09529074385576526,-0.020589107340898864,-0.16607553005054426,-0.1115571815753985,-0.1181251325275009,-0.02481668876373691,-0.12179977947545857,-0.061640802689569785,-0.03287163289093911,-0.15165324710341613,-0.19189591036786316,0.032294232466075344,-0.04340274817683731,-0.02540823969240356,0.13220032428882356,-0.0533046030369453
B97-D4,-0.006123523164648054,0.03431549610667594,0.09396032349622115,-0.09365107412453282,-0.16931150481294632,-0.030924548768567126,-0.018887400470223917,-0.0077788703031718915,-0.020585949523188596,0.0017560238562482938,-0.03229946175522603,-0.09958613293485753,-0.07439277910724662,-0.060588314252913306,-0.0546365541870372,-0.0841742509178946,0.15352492742715326,-0.07963240213255657,-0.09570417381825913,-0.09056158089062218,-0.06503530090303726,-0.07057625919738626,0.0006038711309574865,-0.08886083420623861,-0.05574793897402611,-0.10120813712525635,-0.038896601830911946,-0.06868574985436497,-0.10354535731012063,-0.05532159028078154,-0.11960742079812556,-0.08118050078591697,-0.07065874158434646,-0.049342735567381855,-0.019261758591873242,0.06898133311469618,-0.04593404091782521
mPW1PW91-D4,-0.00518003589756803,0.08819559738766626,0.11314877418547178,-0.006206051085209663,-0.12670146471579305,-0.08280848161127018,0.03243486730535695,0.05704978674848436,0.04455759512706443,0.09227783717115765,-0.05350227442543921,-0.06303933426348435,-0.04616819256136695,0.007593859406662114,-0.13311065077234663,-0.06046354038610862,0.24056098489282104,0.06460818151443552,-0.05700112204239759,0.010015601199376169,-0.04195918742950384,0.01369086416379023,0.0543871651338718,0.004449921753418915,0.007171920000991247,-0.023193744496077206,-0.057936812977796605,0.0272995982844618,-0.12743701276994374,-0.15183052657460525,-0.0846607694560637,0.05073601258998765,-0.16865974696823638,-0.06160710946952712,-0.0030798301815703893,0.05584907337888408,-0.010847729106677957
PBE0-D4,-0.005277281277335146,0.1008146365151561,0.1085746167581092,0.009734270025122385,-0.12003211928636924,-0.09944471522930945,0.0452671648954021,0.07202287048178478,0.058727882697016585,0.1094151224619126,-0.06292615368547619,-0.057764611181046394,-0.03877843348016221,0.013207353536274696,-0.1733429369626721,-0.07198718459920164,0.26651269299443847,0.08594880359725675,-0.044241212219691434,0.030147079282960444,-0.035969133785032185,0.02919894579116648,0.05855298285089423,0.022834368093254672,0.027006932600759308,-0.006960484500434132,-0.057678040726639006,0.04642689407322285,-0.1352968515070783,-0.16585034054389142,-0.09427255976002061,0.06302671080006078,-0.20533763655792014,-0.07358142345281624,0.0007447130404303721,0.0418262525492141,-0.007187522936407193
