method,aceticanhydride_IEF-PCM,amide11_IEF-PCM,amide12_IEF-PCM,amide21_IEF-PCM,amide22_IEF-PCM,basicepoxide1_IEF-PCM,basicepoxide2_IEF-PCM,borohydride_IEF-PCM,carbonate_IEF-PCM,cl2co_IEF-PCM,diazonium_IEF-PCM,enamine_IEF-PCM,epoxide1_IEF-PCM,epoxide2_IEF-PCM,ester_IEF-PCM,furan1_IEF-PCM,furan2_IEF-PCM,furan3_IEF-PCM,imine_IEF-PCM,iminium_IEF-PCM,lactone_IEF-PCM,Average
wB97M-V,0.03220747518507782,None,None,0.019587407082495838,0.04971965749258532,0.005227476146914614,0.016621877063379056,0.00662735048217985,0.03467287291811665,0.05340636874051356,0.07169724062378258,None,0.018463887642931925,0.006824985945747142,0.022724220595250814,0.005722041587303273,0.0028731239621097872,0.057225093613572704,0.07465856849048208,0.03241032801669291,0.0073275010602919,0.028777637591634878
M08-SO,0.006037251377410041,None,None,0.043519932995609155,0.057009406514394095,0.03286716954308959,0.016631340827423517,0.02613066155891503,0.053545562521549815,0.031512174266916826,0.018220694582604075,None,0.0223984764883189,0.018934091598826412,0.06937004601374513,0.028620239118453357,0.0717403935978192,0.07296545991518512,0.07632866000156678,0.007287993454181043,0.04086293382446999,0.03855458267780434
wB97XV,0.04788122525781711,None,None,0.00261116430007462,0.04633189805877977,0.008078458064127336,0.021226277241367122,0.01665140710003333,0.06034166137360211,0.09222762684543537,0.05155144117962838,None,0.04149776358320769,0.030236711220285283,0.06896717950958133,0.0026260373415057077,0.0542633927680929,0.11124511047076875,0.15544531841749235,0.11679931763400697,0.006497153353469116,0.05191550798440418
wB97XD3,0.07423590154177379,None,None,0.1212002224055563,0.15995860090312167,0.015976648112210366,0.0002953333069614473,0.03750402728872129,0.06827211913567255,0.023670278723109825,0.006969431740584787,None,0.02843843584007275,0.011358854172192947,0.04168404926433161,0.0015971797496343698,0.013426910345789815,0.08525010903174618,0.10667099280052404,0.07350103048082235,0.10735715713145154,0.05429818233190431
M11,0.015197969187637966,None,None,0.11472814329850302,0.09268277638960684,0.13366338707725964,0.10588893971040962,0.0512573273649878,0.0422227438774081,0.029247798883780117,0.007042029034416021,None,0.009682755256653524,0.022369597215189278,0.12458298887714314,0.03357053700614376,0.027184779216059315,0.006963904447837218,0.05061390060708131,0.013311465419485894,0.09724396957349897,0.054303056246838975
MN15,0.031297476987413426,None,None,0.07808803838919082,0.0319014130061698,0.01770701875272997,0.03557121301807187,0.09439983006539795,0.017754658446598036,0.1215189546920838,0.03694504123927928,None,0.04239365811074678,0.04330333978124252,0.0650838069673498,0.039155978551745976,0.0340459266603545,0.06092079963138424,0.13374429222512343,0.05892062629572134,0.035588338028072895,0.05435224504714869
M11-D3(0),0.06063476305381586,None,None,0.0034579340879144866,0.026907807528960326,0.08001351600987719,0.05806138033280083,0.038375632921027567,0.05102268206102727,0.028851870295988694,0.005483677710533596,None,0.05940450290821066,0.022014500991008733,0.11006363346888468,0.10623242004565944,0.08910547614228345,0.009384399295045694,0.0837560932659501,0.043502663382490925,0.11343778664433374,0.054983930008100736
LRC-wPBE-D3(BJ),0.10105706285228094,None,None,0.08261434291638206,0.016789226670404788,0.027200166915956666,0.007558907684279791,0.006020587963278354,0.060999709216478175,0.08197954421098048,0.018027831063667715,None,0.04000119644772092,0.03352713003543091,0.029812380398375037,0.0061456173147702775,0.13536112545810525,0.011442681086163463,0.16582094360301752,0.1602971759156712,0.012665093364171492,0.055406706839840836
LRC-wPBE,0.13428141217064024,None,None,0.11716302481326013,0.056598302127518686,0.04884965199649313,0.028697253825140944,0.0025804765158230964,0.0587607388977096,0.07508985719007688,0.0038961945661866366,None,0.02147549301240033,0.014284359950709655,0.025312608052859856,0.03137181743666401,0.0860632525066753,0.0011261236862368492,0.15815861337132867,0.14907847625140863,0.00838712930331568,0.05673193253746935
M08-SO-D3(0),0.06979547814324193,None,None,0.1547901422061977,0.008765562344705631,0.02078270696744339,0.031196221269440345,0.039012353281300004,0.06234550342597086,0.03190810285470825,0.030746398606751827,None,0.07212022413832925,0.06331818980347763,0.05485068788159123,0.1012821248787709,0.04454986176052357,0.0753859547623936,0.10947085538123744,0.03747918597403556,0.05705675089530476,0.05915868358752355
wM06-D3,0.024245517505694557,None,None,0.12007964606773329,0.12713521972715097,0.0893638836714205,0.07638697929673774,0.04061211067592995,0.06507742186254134,0.040348556173112865,0.06817142687117177,None,0.005008345590686793,0.004233680755283706,0.06440736965931555,0.09645538579479465,0.03613546039530528,0.05029422486201214,0.03973771355504775,0.005484386487153387,0.12556243817040752,0.05992998706230554
wB97X,0.07077838296160337,None,None,0.09580854668421909,0.15624846801207481,0.047556215241480494,0.03164093681842816,0.02921200893323253,0.060734536844284426,0.0315828613180865,0.01667906607419161,None,0.024181013666244873,0.010196492009906286,0.008357774205404633,0.00740431055293501,0.051687757826381325,0.14016437140482815,0.11778078700123322,0.0735782673180124,0.10539275527999566,0.05994358623069681
M06-SX-D3(BJ),0.013855151905068227,None,None,0.05203426304829407,0.05588231849028416,0.07222338515078586,0.09945633926517788,0.054500211396456444,0.11187945160195241,0.01910065199697733,0.10488103880488091,None,0.05405040417226901,0.044191000139910425,0.08988038841752415,0.008005048115193506,0.0360429740274662,0.040118083727705985,0.09588520474080457,0.07087535351408669,0.07024290280965062,0.060728009518027135
M06-2X-D3(0),0.015715149056099574,None,None,0.028157494945434305,0.02180272368101663,0.00413038052717601,0.018464105170963696,0.05479178971146154,0.11295114265848252,0.10411306295336122,0.03512439791955617,None,0.07295558146628835,0.05831855492570034,0.04319993649213001,0.1037947439193594,0.1054010148687974,0.05840953571563097,0.1101991195224229,0.09158263026296558,0.06171428133140346,0.06115698028490278
M06-2X,0.016913596254513243,None,None,0.031586272844770225,0.024250829937074607,0.005992549148783746,0.020293092209342695,0.05555823960922118,0.11254394310488162,0.10526436912102795,0.033317022174815136,None,0.074342854012511,0.05971417320913853,0.04143227578641314,0.1022018865246629,0.1076847969211201,0.05824349991561247,0.11209488605789518,0.09354943215864994,0.06094224765370847,0.06199588703578567
CAM-B3LYP-D3(0),0.07502690156268106,None,None,0.13224745215330244,0.13273869733993315,0.033567983257491565,0.04950650021477974,0.05616313733476254,0.07099023867059633,0.02861242952305661,0.00016572186062785478,None,0.08246640387026345,0.06734555319587018,0.06548445401490184,0.05506498513361496,0.01152222093209375,0.03182882460946894,0.07005556697943982,0.03656485572306622,0.15043838166930285,0.06387723933584741
CAM-B3LYP,0.11703802691108231,None,None,0.1898473409306651,0.16903132792998976,0.009439136908234719,0.027486646212381335,0.06210224035487893,0.06270098771476489,0.026208754040341183,0.004849051424155948,None,0.058422103340744734,0.04609790158099066,0.07211870490072707,0.010859777393279,0.04810792128127934,0.031209084974718863,0.05425433421868505,0.02434402822460874,0.1361109020051606,0.06390157057481602
wB97XD,0.08224007498490621,None,None,0.1562964847465911,0.17680785896691367,0.007080270439818332,0.021042186678129942,0.05889584217974633,0.07851065873005274,0.0025261882626289663,0.03256698820803948,None,0.04049727931751541,0.021467919204879594,0.095605658813966,0.0011966578744360163,0.02266793716289051,0.06938006680435357,0.09044906907457556,0.07676796585630832,0.14358399871849006,0.06542128366801343
