method,aceticanhydride_IEF-PCM,amide11_IEF-PCM,amide12_IEF-PCM,amide21_IEF-PCM,amide22_IEF-PCM,basicepoxide1_IEF-PCM,basicepoxide2_IEF-PCM,borohydride_IEF-PCM,carbonate_IEF-PCM,cl2co_IEF-PCM,diazonium_IEF-PCM,epoxide1_IEF-PCM,epoxide2_IEF-PCM,ester_IEF-PCM,furan1_IEF-PCM,furan2_IEF-PCM,furan3_IEF-PCM,imine_IEF-PCM,iminium_IEF-PCM,lactone_IEF-PCM,Average
SCAN0-D3(BJ),None,None,None,-0.12289745893998898,0.12446479698117112,-0.28393332078786404,-0.2410363881417604,-0.07429728314275397,-0.398506681723945,-0.2500726233919575,0.08798025323481257,-0.19702244677408987,-0.19982048803704175,-0.46141042841194135,-0.09913952373174688,-0.23349506397441333,-0.06648098601658146,-0.2841167471715021,-0.26488048562380534,None,-0.18529155472833803
M06-HF,None,None,None,-0.11534920978123847,0.38810215199849174,-0.22912417877271726,-0.15233416576856432,-0.10558040655848978,-0.3415479996570036,-0.3668907254845775,-0.2928425604996428,-0.26077371198087934,-0.24909091285093593,-0.5825182471734816,-0.2389752429564861,-0.459554041588651,0.38484575421825024,-0.12652202203233404,-0.1863742224481601,None,-0.18340810883352623
M06-HF-D3(0),None,None,None,-0.11337894931792307,0.38446049931761395,-0.22680313614937012,-0.15029380873768947,-0.10392585547802248,-0.3413311057514942,-0.36344248055416134,-0.2955309624636662,-0.25788381504093205,-0.24562320360250747,-0.5785855658468606,-0.24176875711758591,-0.45915350338554783,0.3880919327393857,-0.12446312043203325,-0.1807982501182602,None,-0.1819018801211909
rCAM-B3LYP-D3(0),None,None,None,-0.11414930132970216,0.07806880486911319,-0.19974018250116352,-0.15970886334137807,-0.03731048973946002,-0.33990430320242926,-0.21409746820480346,-0.10543770312170174,-0.22557937703267558,-0.23391604298033591,-0.3899743781268386,-0.12772666408669536,-0.19904287642318028,-0.08786378849118082,-0.2317315694567225,-0.16748619377819618,None,-0.1722250248092094
LRC-wPBEh-D3(BJ),None,None,None,-0.011488817175825852,0.06895784038270154,-0.1741877908094797,-0.1293464322010079,-0.04013730521144496,-0.3578213746974955,-0.17717386783240247,0.05534299531629245,-0.14282676128105834,-0.14974340848325007,-0.41865749853246126,-0.0689496183112672,-0.19576162785030338,-0.014486710947512757,-0.22156308561168664,-0.24701735256631835,None,-0.13905380098828252
rCAM-B3LYP,None,None,None,0.02391091486077444,0.0065545027585678555,-0.1647203243290866,-0.1123879122037613,-0.023884393142352627,-0.3147121713992328,-0.20690780815337867,-0.120784818434024,-0.1777860822504617,-0.18896988242199295,-0.3949335414898659,-0.057682612968434695,-0.10026933395137876,-0.04788238323975289,-0.19509019756479992,-0.13105977017715043,None,-0.13791286338164568
revM11-D3(0),None,None,None,-0.17637723426671706,0.08579987654120608,-0.06854880395373532,-0.024150863272844266,-0.04903955281741863,-0.2951304343456274,-0.15897766724770687,-0.013131529462692061,-0.10252212269227132,-0.12677341674802814,-0.38704462737150414,-0.10012674516027181,-0.21018385760799788,-0.060016694812755886,-0.2570619324517271,-0.1720747596410691,None,-0.13221002283194755
SCAN0,None,None,None,0.010221215992138424,0.009526578126740754,-0.20853517637371866,-0.1553483888742526,-0.0562150520556918,-0.342602016907433,-0.19849134662761458,0.09083368962157179,-0.11224619267559428,-0.11550948629336003,-0.4416201894498609,0.023551399856376054,-0.10054369833534973,-0.05819732700309096,-0.22916672357561138,-0.164401117629996,None,-0.12804648951279668
mPW1PW91-D3(BJ),None,None,None,0.0715568136528354,0.0006362736042968436,-0.19097466129640514,-0.1408836630715471,0.0007276569205447857,-0.35972240391806654,-0.1126181601729602,0.13443485054046758,-0.1267898560277922,-0.13029990534148128,-0.3673941352742588,-0.06539581763583942,-0.12587023268494577,0.00243498658194726,-0.15743502414856664,-0.18242388636569198,None,-0.10937607278984145
MN15-D3(0),None,None,None,-0.21632734368881423,0.11520237656397066,-0.11021542753548459,-0.07792779525213568,-0.0998243056462939,-0.2486522828525037,-0.14108640032012695,0.06282876438008546,-0.08763058608227758,-0.0969905040723654,-0.38931918203853183,-0.019831199098197305,-0.12984596516667002,-0.00586535573892836,-0.16562208541356693,-0.08290718151253418,None,-0.1058759045921484
