method,aceticanhydride_vacuum,amide11_vacuum,amide12_vacuum,amide21_vacuum,amide22_vacuum,basicepoxide1_vacuum,basicepoxide2_vacuum,borohydride_vacuum,carbonate_vacuum,cl2co_vacuum,diazonium_vacuum,epoxide1_vacuum,epoxide2_vacuum,ester_vacuum,furan1_vacuum,furan2_vacuum,furan3_vacuum,imine_vacuum,iminium_vacuum,lactone_vacuum,Average
SCAN0-D3(BJ),None,None,None,-0.14029727599434874,0.12591929055850296,-0.20234825477155796,-0.20375680432247176,-0.07150323230851333,-0.48433289140292396,-0.24805542478711579,0.10252886780448744,-0.20476098786864727,-0.15237729134123368,-0.8618280260806753,-0.0894328995207019,-0.25884709976261344,-0.0485427009645624,-0.29212657378816514,-0.26641077564520116,None,-0.20601075501223384
M06-HF,None,None,None,-0.12930284452666918,0.3719995536910765,-0.11424177157999978,-0.08687449148526404,-0.15099291275913213,-0.4098369545624134,-0.3783578558741811,-0.2803033118984439,-0.2587795951741433,-0.19428316027459175,-0.9845803739627018,-0.23175715569803393,-0.48778853744032136,0.4037811710919776,-0.1405050094572712,-0.18053270747029995,None,-0.2032722473362758
M06-HF-D3(0),None,None,None,-0.12731167482012362,0.3683624561970988,-0.11198991938427542,-0.08486101931633339,-0.14933040234403797,-0.4096458625051353,-0.37495754110295365,-0.28297922655127916,-0.2558987623543645,-0.19084361754510518,-0.9806632847688944,-0.2345636578597366,-0.48741427184449687,0.40706243599121245,-0.13848514805283205,-0.17493904500948815,None,-0.20177865882942156
rCAM-B3LYP-D3(0),None,None,None,-0.11843753659083892,0.06715729268590967,-0.06785836746117326,-0.07746189679427246,-0.045786061985045146,-0.4051550073363796,-0.2177793381423477,-0.09909383178553345,-0.22512790442562014,-0.17829558384591332,-0.7754877858822752,-0.11871483127377819,-0.22131078846216234,-0.072158421942843,-0.23985016003977405,-0.160191266225118,None,-0.18472196809419783
LRC-wPBEh-D3(BJ),None,None,None,-0.021142950036147103,0.06488244413670445,-0.07966850962651319,-0.0793551381131626,-0.03635694997259689,-0.44017919756330826,-0.17401566802193863,0.0666767571260767,-0.1528327902416237,-0.10393871630550004,-0.8135462730636744,-0.06283797106625,-0.21779984301935507,0.0004712264715957417,-0.22769748349192323,-0.25113257864628585,None,-0.15802960258961887
rCAM-B3LYP,None,None,None,0.019622679599637684,-0.004357009424635658,-0.03283850928909634,-0.030140945656655687,-0.03235996266636249,-0.37996287553318314,-0.21058968080708443,-0.11444094437550706,-0.17733460964495304,-0.13334942600991903,-0.7804469492453024,-0.048670777434715665,-0.1225372487111627,-0.03217701668986829,-0.20320878814785145,-0.12376484534564752,None,-0.1504098068363942
SCAN0,None,None,None,-0.007178546639996887,0.010981123405495192,-0.1269497811001704,-0.11806820912665641,-0.05342095224160383,-0.42842868645915844,-0.1964741344110296,0.10538248650507988,-0.11998440723371138,-0.06806672498153475,-0.8420382442689927,0.033258731562526136,-0.1258952062214761,-0.040259036507921384,-0.23717697196915433,-0.16593089879802475,None,-0.14876559115539562
revM11-D3(0),None,None,None,-0.18239201381143924,0.07320304534718469,0.05106488201040562,0.04621392709068176,-0.04733251849990935,-0.36900797950685604,-0.16280008678099048,-0.007442533119993993,-0.10216896215388473,-0.07439760685383781,-0.7783529748709116,-0.09086148169383063,-0.22983622892859806,-0.04861886567202038,-0.26468376260024634,-0.16881322824753758,None,-0.1472641492682365
mPW1PW91-D3(BJ),None,None,None,0.05739088372935911,0.0022749148878921915,-0.11375165344880542,-0.10501734140988324,0.0034087096947866373,-0.4466700987956071,-0.10916464863633514,0.14684807770445352,-0.13815339098615267,-0.08595366529122629,-0.7641803008607403,-0.059285609872889576,-0.14792369984326761,0.01834191885788497,-0.16437005761019632,-0.18520968861421447,None,-0.13071347815593384
MN15-D3(0),None,None,None,-0.22915539247683242,0.10755168535576234,-0.010922668142156658,-0.02591626151812135,-0.08629444048816995,-0.3301917146998062,-0.1435940357519299,0.07009565456723692,-0.09256387946101782,-0.048636392155748796,-0.7788385595831676,-0.016051898093505896,-0.15227517277949504,0.008313513855728195,-0.17068984811668184,-0.08239820840152234,None,-0.12384797611808927
