method,aceticanhydride_IEF-PCM_forward,aceticanhydride_IEF-PCM_reverse,amide11_IEF-PCM_forward,amide11_IEF-PCM_reverse,amide12_IEF-PCM_forward,amide12_IEF-PCM_reverse,amide21_IEF-PCM_forward,amide21_IEF-PCM_reverse,amide22_IEF-PCM_forward,amide22_IEF-PCM_reverse,basicepoxide1_IEF-PCM_forward,basicepoxide1_IEF-PCM_reverse,basicepoxide2_IEF-PCM_forward,basicepoxide2_IEF-PCM_reverse,borohydride_IEF-PCM_forward,borohydride_IEF-PCM_reverse,carbonate_IEF-PCM_forward,carbonate_IEF-PCM_reverse,cl2co_IEF-PCM_forward,cl2co_IEF-PCM_reverse,diazonium_IEF-PCM_forward,diazonium_IEF-PCM_reverse,enamine_IEF-PCM_forward,enamine_IEF-PCM_reverse,epoxide1_IEF-PCM_forward,epoxide1_IEF-PCM_reverse,epoxide2_IEF-PCM_forward,epoxide2_IEF-PCM_reverse,ester_IEF-PCM_forward,ester_IEF-PCM_reverse,furan1_IEF-PCM_forward,furan1_IEF-PCM_reverse,furan2_IEF-PCM_forward,furan2_IEF-PCM_reverse,furan3_IEF-PCM_forward,furan3_IEF-PCM_reverse,imine_IEF-PCM_forward,imine_IEF-PCM_reverse,iminium_IEF-PCM_forward,iminium_IEF-PCM_reverse,lactone_IEF-PCM_forward,lactone_IEF-PCM_reverse,Average
wB97M-V,0.0028974645185486795,None,0.028152241983451246,None,None,None,0.0053499578100736815,None,0.018174169274423606,0.03166312686946888,0.048412115777425345,0.004744415157042602,0.05157277084011092,0.015337107808631402,0.027731643935420033,0.0346495652215305,0.02086723343839782,0.01092195941580751,0.05590263896683992,0.028082829644196637,0.08658214529392473,0.026858993051934274,None,None,0.033165424406567855,0.02619651674439439,0.004588437177761398,0.00955524204507716,0.035859061221221816,0.061678885258302445,0.0016429616911258563,None,None,0.028548874108114696,0.027206822014333262,0.03792122918051115,0.06421831912686922,0.005739512874639337,0.07703812373519776,0.06117629003787515,None,0.0059285256569265475,0.030573893883942056
wB97XV,0.0036361261336825467,None,0.009579158730283826,None,None,None,0.03908891823974866,None,0.017180136832736857,0.02926939987735008,0.07733631558094506,0.03651959687777503,0.09918191791451454,0.06755065506102308,0.02607106280782711,0.022964927476084102,0.043908475505021374,0.03778807110630151,0.06055869726815531,0.006082370159409766,0.016106086327455797,0.055683439125292056,None,None,0.006000027998927283,0.024002755603521952,0.014744402642805153,0.03318932305002753,0.07665384243151356,0.01078226636376205,0.0556273234514804,None,None,0.023155912482415216,0.045059184799292495,0.07408888325274797,0.05116974532990406,0.08809581084933608,0.11898703021732972,0.01873620690269305,None,0.010875392188098135,0.040614795705858166
CAM-B3LYP-D3(0),0.0031009132699639625,None,0.029317475618773438,None,None,None,0.09949584524174653,None,0.08473151758683771,0.04812481840440261,0.040626215858041506,0.025299022348235712,0.04946004509060372,0.046109005210524884,0.011961393947821898,0.05774701515523096,0.010376844174366203,0.014905017072640556,0.008529705896444511,0.005503835791258189,0.05867337187248512,0.04686500535132086,None,None,0.06946301019244273,0.001508413697062258,0.03581338262070396,0.019740379762103327,0.039462185281180374,0.10804224273791202,0.023543042105250288,None,None,0.01687624203160151,0.04506085830280281,0.00532907611206216,0.09273255197790412,0.03885674723671651,0.04503853504151933,0.02502217363782341,None,0.141007648623521,0.04213511053910326
wB97XD3,0.004556562623510467,None,0.04505617658701508,None,None,None,0.11137897382508163,None,0.03472919319035076,0.12534704636407806,0.08472318209091219,0.019851357211404467,0.10801681186227571,0.05486393846045569,0.007776778596637672,0.04327252046037394,0.06251500224063879,0.06432505560398935,0.022058196187291743,0.02014191549253128,0.042485348109624725,0.0374806914684174,None,None,0.025668267371657658,0.008724811512343365,0.014671897868611644,0.014238961227741686,0.051195585856367846,0.09597523856252928,0.05949850429091793,None,None,0.0284640643365663,0.04487699903401957,0.04827606757899831,0.05289452087108635,0.03759670969118548,0.055954020798074273,0.000998515363377777,None,0.10721308169822719,0.047963312388634174
CAM-B3LYP,0.004472966481179208,None,0.09104551881550758,None,None,None,0.18259189879500948,None,0.0902029954197974,0.07894597116149951,0.053525695671806435,0.014069655812743793,0.06684755553121409,0.04147666164873685,0.013598072581997304,0.062049439541171945,0.010843076138501022,0.007081998080943924,0.010320186086506328,0.009697991464035431,0.07840517163463086,0.07128013467699469,None,None,0.05455429502415931,0.007627171664173034,0.021830108117140673,0.012476002650787087,0.021585231554858364,0.09679953989741524,0.020257140272863034,None,None,0.0561251109523672,0.03118318308017457,0.007928859475816001,0.08277857832050718,0.04470400634007434,0.03996117080031624,0.032165636895077794,None,0.132878966696174,0.04841593722763062
MN15,0.0012731561856132885,None,0.05912131590733261,None,None,None,0.04425195627801248,None,0.06254249224975299,0.030758717894890358,0.07772375693744964,0.046535598922882254,0.08252426348216968,0.06523793640538297,0.04600913586484516,0.03484542243226247,0.05460311081750281,0.005895703491778864,0.10679460743713422,0.010862212162920696,0.050706415459813366,0.0017872858387419685,None,None,0.013542105613387298,0.017356572516601023,0.017219167906410315,0.04873071687458993,0.05872209160249728,0.009457318806682338,0.07686166052776998,None,None,0.006409423712950706,0.023801614630370806,0.07681945668048334,0.07497104805723195,0.04259348192963927,0.16329572835420117,0.12092359637785013,None,0.024912785304638068,0.04865905802074342
wB97XD,0.004804069353555906,None,0.0538563896041052,None,None,None,0.12229459291716925,None,0.05550605765264859,0.12141943996557224,0.06674213115344613,0.024927224825967098,0.08656269919244657,0.05474734577571793,0.01940367919410397,0.05303743475393269,0.044853551916832796,0.05690214487456355,0.04314643252979504,0.02008606137455372,0.07451462716077113,0.02997355057093954,None,None,0.04590434063345207,0.01690204129669512,0.004501929415485904,0.005174198976330786,0.020445895677966657,0.11914715793376247,0.05112888446438552,None,None,0.038094592410856824,0.055992118506777745,0.02129090587884755,0.05642526260762982,0.017844044228693536,0.05279470106596498,0.007424770470973044,None,0.1392763532305526,0.049535144675453
BMK-D3(BJ),0.001402423941616462,None,0.0028598858225225288,None,None,None,0.03828499824447233,None,0.02017362757051802,0.13100785295506334,0.023571802886607953,0.06416471393956798,0.02379708803895911,0.06835212875070529,0.03458851388011179,0.0762376272070429,0.06391774174886793,0.08423659754816255,0.006493542142511615,0.0510343566722559,0.1447316421021602,0.03508309501499512,None,None,0.02266584040995715,0.02728779200281887,0.004382813096531152,0.04679829658270176,0.08567841344324914,0.10521458371371406,0.10146460293457552,None,None,0.005216998397710279,0.06073264099140101,0.0935640250881926,0.03147935859905637,0.060036936286289665,0.04570333947610615,0.03227954894342067,None,0.11032339641984042,0.05321144452661581
M11,0.01313738917277176,None,0.0026849491767428845,None,None,None,0.06606008511576983,None,0.04516431882310862,0.047636096217805395,0.12609788993568838,0.056460673908868615,0.1499060981671984,0.008840381638069777,0.05927855466273331,0.12408115379601144,0.10579002364692855,0.08155070175201466,0.04573084885411231,0.009103509447538091,0.021728829270031554,0.02666088861740765,None,None,0.01864396008452085,0.016831735360415916,0.09310971348912399,0.05894832546087181,0.02257267067228113,0.15025126299125408,0.05033765586673259,None,None,0.01769940048585278,0.011927601867079966,0.0029392601620289614,0.08830958925264214,0.053875450883813035,0.03510277136220427,0.031865742462319865,None,0.08070328683096213,0.05384471310734077
wB97X,0.0044149191231167605,None,0.01517522123455069,None,None,None,0.08223405963536974,None,0.008409131748957986,0.16477523841233996,0.11058243946116249,0.014131047452384632,0.13511850638178927,0.050620029468502525,0.01417055962074967,0.028586721080773182,0.08663697226975511,0.08090944334171755,0.03677846696643096,0.042774768866647175,0.022529750910716816,0.02723472860311631,None,None,0.011964527419073182,0.0007215062664132347,0.02789357426429481,0.02629827546113819,0.09849787269380872,0.10995125034104317,0.06394881447399253,None,None,0.04560685177237313,0.023860478331080844,0.12420685065501902,0.06920556737472833,0.032395457388252676,0.03334292293865666,0.023686850059985443,None,0.10977068934769285,0.05395104666767605
