method,aceticanhydride_vacuum_forward,aceticanhydride_vacuum_reverse,amide11_vacuum_forward,amide11_vacuum_reverse,amide12_vacuum_forward,amide12_vacuum_reverse,amide21_vacuum_forward,amide21_vacuum_reverse,amide22_vacuum_forward,amide22_vacuum_reverse,basicepoxide1_vacuum_forward,basicepoxide1_vacuum_reverse,basicepoxide2_vacuum_forward,basicepoxide2_vacuum_reverse,borohydride_vacuum_forward,borohydride_vacuum_reverse,carbonate_vacuum_forward,carbonate_vacuum_reverse,cl2co_vacuum_forward,cl2co_vacuum_reverse,diazonium_vacuum_forward,diazonium_vacuum_reverse,enamine_vacuum_forward,enamine_vacuum_reverse,epoxide1_vacuum_forward,epoxide1_vacuum_reverse,epoxide2_vacuum_forward,epoxide2_vacuum_reverse,ester_vacuum_forward,ester_vacuum_reverse,furan1_vacuum_forward,furan1_vacuum_reverse,furan2_vacuum_forward,furan2_vacuum_reverse,furan3_vacuum_forward,furan3_vacuum_reverse,imine_vacuum_forward,imine_vacuum_reverse,iminium_vacuum_forward,iminium_vacuum_reverse,lactone_vacuum_forward,lactone_vacuum_reverse,Average
VV10,-0.011359205826939967,None,None,None,None,0.026536804152917034,0.06668087084237923,None,-0.3062733176308093,-0.13614104577830424,-0.11660719513296049,-0.2943339823977202,-0.14551003486303216,-0.3204616775880941,-0.07716575452903415,-0.2553749291284373,-0.2031073962227319,-0.35324006290538745,-0.08920138952635139,-0.31110728558681067,0.046740947182243385,-0.31719007140090943,None,None,-0.1517037635355895,-0.2726596040590029,-0.14014933155767045,-0.25896349042587924,-0.16879610782453935,-0.2975455468481395,-0.2845202774871292,None,None,-0.17250682650778537,-0.12255787971489254,-0.10784377722714654,-0.46361635190373957,-0.5744487859233192,-0.010313953293238086,-0.15176709877594366,None,0.06794354994854782,-0.18458012410860783
rVV10,-0.011400716817932687,None,None,None,None,0.03930608014037482,0.07535506786850041,None,-0.30700224300728096,-0.12270962391146804,-0.11486993228213688,-0.29815255271716845,-0.1426669905101644,-0.32355338787490634,-0.07368243409908568,-0.2558894205105498,-0.20152936087802006,-0.3510956794134978,-0.07888489199334654,-0.3100355890917704,0.04404415050193051,-0.319864824127497,None,None,-0.15078020589932511,-0.2768691831485825,-0.13792211928392958,-0.26233776661127095,-0.16779575417435127,-0.30410166564081886,-0.2815184655024429,None,None,-0.18065624624309642,-0.1184981238723534,-0.10180179062432983,-0.4595047311337295,-0.5777409952488296,-0.0018215637937535121,-0.1498717023143819,None,0.0733483952262764,-0.18282825834340433
BLYP-D3(BJ),-0.01119207612845429,None,None,None,None,0.07895284775851526,0.1548325684956648,None,-0.3509637236800391,-0.057513849698343736,-0.12537830556080473,-0.3039710248790995,-0.14793642914031527,-0.33323200121420016,-0.03666592856804186,-0.28661674563884226,-0.19447415507596424,-0.34717003223518067,-0.0009518423979452109,-0.3116380357817201,-0.004707867208728806,-0.35009798478951537,None,None,-0.17393761887380652,-0.3092112735712825,-0.1368658407656347,-0.27362459273892337,-0.14334849634879435,-0.38038424586280367,-0.3079964257520024,None,None,-0.22294715648254348,-0.09605475436207765,-0.10311071882856573,-0.4129451468048985,-0.6284491479870374,0.06149087132816485,-0.14452626768737034,None,0.14812455234490912,-0.17976596400424005
mPW91-D3(BJ),-0.011286447985690439,None,None,None,None,-0.040427017169286227,0.08265035168962381,None,-0.34230615009902166,-0.27757330137971103,-0.10638689261872578,-0.1684370878529483,-0.12534910043800912,-0.18096622331404788,-0.13299622201913563,-0.2682684169924899,-0.20713138267928333,-0.30375351699116127,-0.25983796452426317,-0.3667872305002658,0.18141734959195088,-0.15087887632652455,None,None,-0.1397267746722808,-0.15511933861781196,-0.14651543314437898,-0.14885028001043527,-0.08552748501546249,-0.1983752131829865,-0.2646231793550778,None,None,-0.017716159947847917,-0.21664791574938969,-0.3157666288549864,-0.42845287468472226,-0.43124529403784295,-0.23642933741783742,-0.19598780613022868,None,0.07717999980614634,-0.17444130783200412
TPSS-D3(BJ),-0.010531679942772348,None,None,None,None,0.01093720514367576,0.0829170234092599,None,-0.3060736866377281,-0.14871757797757562,-0.11024676712347636,-0.3116983549830445,-0.12653599367783036,-0.3308057946939008,-0.11120184984021717,-0.1894636257115413,-0.2121943956280024,-0.3727512163075748,-0.1865149968511203,-0.3190991921377354,0.07390903207623306,-0.20124141435168003,None,None,-0.09878314438421265,-0.2405312129259916,-0.12514614657090942,-0.25847062122061215,-0.13556579104832484,-0.19818540822740335,-0.24287394000300325,None,None,-0.08905628460604771,-0.12417639745910863,-0.15224911937078026,-0.3985227510574086,-0.42521042321666663,-0.13727008423606793,-0.15854469387523834,None,0.025199303225931058,-0.17277187500658986
PBE-D3(BJ),-0.011594217083391709,None,None,None,None,0.0026796935682038337,0.1293986661242774,None,-0.32066416720348767,-0.24314277682508537,-0.08256405751106813,-0.19166575659888826,-0.09499134149758068,-0.19930089456055886,-0.12880435482997643,-0.2515837334771405,-0.18301991625240283,-0.30421607813727736,-0.2604695438373777,-0.36088123559322044,0.19623927127818683,-0.17162398508519847,None,None,-0.1123547430551694,-0.17172527506300128,-0.12001850926931547,-0.1728370175434015,-0.07748622243347816,-0.18762344481633167,-0.18627018711166993,None,None,-0.05369278726823848,-0.18927392763443823,-0.2688474649232077,-0.41829515294748837,-0.4262234573789505,-0.21080918934054121,-0.21243189188916245,None,0.03268550223055636,-0.16410650612393202
TPSS,-0.011169575022784432,None,None,None,None,0.1496247094137238,0.15204051286533896,None,-0.3013657552465362,-0.08472195984143992,-0.09659616287060627,-0.33138330759816764,-0.1058545405490114,-0.3426919246944692,-0.10160602718613468,-0.18639167089947664,-0.20696914559198587,-0.37055810536255546,-0.1683966698416301,-0.3155668911845077,0.08008535047532014,-0.17774972021226557,None,None,-0.08107669728757709,-0.25241163669352606,-0.11317071964121989,-0.2773962859778882,-0.12030506104517948,-0.1916412461214897,-0.18286795665463043,None,None,-0.13443779490902869,-0.10438810683400945,-0.11898348763972069,-0.37902451218411964,-0.4198241687681829,-0.11646684104207099,-0.15857874350021708,None,0.02340571821888433,-0.15770120073209887
BLYP,-0.012161762531881903,None,None,None,None,0.2983095568734005,0.2727219561989333,None,-0.3450432577497598,0.05442860082098845,-0.1030550009100007,-0.34086184639644507,-0.11312717632105598,-0.35645120039409006,-0.01753639872407437,-0.2816184495634092,-0.18498433714947177,-0.3414481659841454,0.03923758311660927,-0.30579377809946257,-0.001226280146118836,-0.31787883275191164,None,None,-0.14336654432315607,-0.33265602804403666,-0.11458610700650862,-0.3080068143350076,-0.11929663921514223,-0.37344825320405417,-0.2089027710939186,None,None,-0.29935836499320695,-0.05953297385132426,-0.044983579246780175,-0.37813947500559547,-0.6211987139953347,0.10131379194519752,-0.14503340926949304,None,0.1467803146258851,-0.1549032611476366
PBE,-0.012090874113532017,None,None,None,None,0.11064786469343524,0.18500679198758882,None,-0.3169908077980599,-0.19128734792406554,-0.07165808758115547,-0.20828443886392545,-0.07841029259828035,-0.2096747510036809,-0.12043674592660213,-0.2491608358633549,-0.1785361578181277,-0.3023251171349593,-0.24445787171669428,-0.35797080220939576,0.20048281563783318,-0.15535758976769232,None,None,-0.09805422717014654,-0.18224200496363893,-0.10992425540185922,-0.1887758991716662,-0.0653970273609611,-0.18323390585428,-0.13782482282918943,None,None,-0.09044354626751612,-0.1727114777267883,-0.24153313780290722,-0.4020847287594546,-0.4223461158784299,-0.1925884576690303,-0.21263791211929892,None,0.031167225840190167,-0.15216045441048892
mPW91,-0.01220240547880444,None,None,None,None,0.1569580102815975,0.22137549748781432,None,-0.3244844926566893,-0.14455580931643483,-0.08405717696213132,-0.23185516307247006,-0.08881153187505302,-0.2313039581489997,-0.10544207538842731,-0.25679028384023667,-0.1870442401316956,-0.30424625557937734,-0.19298567184653048,-0.3466612409577241,0.1718060001143539,-0.16591666332832825,None,None,-0.10530276996789442,-0.20672998464710646,-0.11128644720051183,-0.21017813875007205,-0.05760981040796816,-0.20300737171013947,-0.1420370686371564,None,None,-0.12461962246343036,-0.1584613083715406,-0.22380217323584,-0.3808317654788556,-0.4340149818964848,-0.147283046767302,-0.19971641828294937,None,0.055385690213404726,-0.14924102119696825
B97-D3,-0.009796542200701436,None,None,None,None,0.03617822767131561,0.10608934551021315,None,-0.3054844972397904,-0.0015218825495107921,-0.08863148949530847,-0.2501404864441399,-0.09380845921777459,-0.25770918777151547,-0.042871031186207054,-0.26768644133820746,-0.17076759155820778,-0.25153738737761433,0.026494492658396165,-0.2725993803734466,0.015590955541437109,-0.314775737214784,None,None,-0.1360211316627021,-0.26242345362564373,-0.11272759831971214,-0.2535084890961611,-0.0848395182375994,-0.3314211357170149,-0.25926401113417163,None,None,-0.16604829595612464,-0.10783598713521239,-0.10310155675024939,-0.3121729297246141,-0.45746819367402547,0.022161328768992992,-0.10668272607527259,None,0.1752494500235939,-0.1449712919031801
