method,aceticanhydride_IEF-PCM_forward,aceticanhydride_IEF-PCM_reverse,amide21_IEF-PCM_forward,amide21_IEF-PCM_reverse,amide22_IEF-PCM_forward,amide22_IEF-PCM_reverse,basicepoxide1_IEF-PCM_forward,basicepoxide1_IEF-PCM_reverse,basicepoxide2_IEF-PCM_forward,basicepoxide2_IEF-PCM_reverse,borohydride_IEF-PCM_forward,borohydride_IEF-PCM_reverse,carbonate_IEF-PCM_forward,carbonate_IEF-PCM_reverse,cl2co_IEF-PCM_forward,cl2co_IEF-PCM_reverse,diazonium_IEF-PCM_forward,diazonium_IEF-PCM_reverse,epoxide1_IEF-PCM_forward,epoxide1_IEF-PCM_reverse,epoxide2_IEF-PCM_forward,epoxide2_IEF-PCM_reverse,ester_IEF-PCM_forward,ester_IEF-PCM_reverse,furan1_IEF-PCM_forward,furan1_IEF-PCM_reverse,furan2_IEF-PCM_forward,furan2_IEF-PCM_reverse,furan3_IEF-PCM_forward,furan3_IEF-PCM_reverse,imine_IEF-PCM_forward,imine_IEF-PCM_reverse,iminium_IEF-PCM_forward,iminium_IEF-PCM_reverse,lactone_IEF-PCM_forward,lactone_IEF-PCM_reverse,Average
wB97M-V,0.002964391,0.029243084,0.005736668,0.025324075,0.009497841,0.040221816,0.042904975,0.048132451,0.048614025,0.065235902,0.025798226,0.019170876,0.003705,0.038377873,0.07339246,0.019986091,0.08224358,0.01054634,0.035736358,0.01727247,0.009465831,0.002640845,0.015573608,0.007150612,0.006252907,0.011974949,0.017134598,0.020007722,0.023983167,0.033241927,0.014282123,0.060376446,0.093023093,0.060612765,0.002093072,0.005234429,0.028532017
CAM-B3LYP-D3(0),0.00316784,0.071859061,0.088409219,0.043838233,0.076055189,0.056683508,0.035119075,0.068687058,0.046501299,0.0960078,0.013894812,0.042268325,0.006785389,0.064204849,0.026019527,0.002592902,0.063011937,0.063177659,0.072033944,0.01043246,0.040690777,0.026654776,0.011970484,0.05351397,0.031438911,0.023626074,0.019857311,0.00833509,0.041837203,0.010008379,0.042796356,0.027259211,0.061023504,0.024458648,0.01012483,0.140313552,0.042351643
wB97XV,0.003703053,0.044178172,0.028002292,0.025391128,0.008503809,0.037828089,0.071829175,0.079907633,0.096223172,0.11744945,0.024137645,0.007486238,0.026746242,0.087087903,0.078048518,0.014179108,0.020444651,0.071996092,0.008570962,0.032926802,0.009867008,0.04010372,0.025221173,0.043746007,0.047731455,0.045105417,0.022566328,0.031697065,0.04183553,0.069409581,0.001233549,0.154211769,0.134971999,0.018172682,0.003684142,0.010181296,0.044010524
CAM-B3LYP,0.004539893,0.112498134,0.171505273,0.018342068,0.081526667,0.087504661,0.048018555,0.057457692,0.06388881,0.091375456,0.01553149,0.04657075,0.006319157,0.05638183,0.027810007,0.001601253,0.082743736,0.087592788,0.057125229,0.001296875,0.026707502,0.019390399,0.029847438,0.042271267,0.012361272,0.023221049,0.000523963,0.047583959,0.027959528,0.003249557,0.032842382,0.021411952,0.05594614,0.031602112,0.003926032,0.13218487,0.045296104
wB97XD3,0.00462349,0.069612412,0.100292348,0.020907875,0.026052865,0.133905736,0.079216041,0.063239393,0.105058066,0.104762733,0.009710197,0.027793831,0.045352769,0.113624888,0.004568375,0.028238654,0.046823913,0.053793345,0.028239201,0.000199235,0.009794504,0.021153358,0.000237084,0.041446965,0.051602636,0.050005456,0.006496002,0.019922912,0.041653344,0.043596765,0.002958325,0.103712668,0.07193899,0.001562041,0.000838172,0.106518985,0.045540377
M11,0.013204316,0.001993653,0.054973459,0.059754684,0.036487991,0.056194786,0.120590749,0.013072638,0.146947353,0.041058413,0.057345137,0.108602464,0.08862779,0.130850534,0.028241028,0.001006771,0.017390264,0.010348235,0.016073026,0.025755782,0.088232319,0.065862722,0.028859999,0.09572299,0.042441787,0.076012324,0.018026531,0.009158248,0.008703947,0.001740042,0.038373393,0.012240508,0.019117802,0.032429268,0.017234779,0.08000919,0.046185692
wB97XD,0.004870996,0.077369079,0.111207967,0.045088518,0.046829729,0.12997813,0.06123499,0.068315261,0.083603954,0.10464614,0.021337097,0.037558745,0.027691318,0.106201977,0.025656611,0.0281828,0.078853192,0.046286204,0.048475274,0.007977995,0.009379324,0.012088596,0.030986774,0.064618885,0.043233016,0.042036358,0.006885503,0.02955344,0.052768463,0.016611603,0.006489066,0.083960003,0.06877967,0.007988296,0.005001742,0.138582257,0.049453583
M08-SO,0.001865657,0.007902908,0.057225454,0.013705521,0.056238588,0.113247995,0.089189,0.056321831,0.102554266,0.085922926,0.068607935,0.042477274,0.091350198,0.144895761,0.047459465,0.07897164,0.077904851,0.096125545,0.036344492,0.013946016,0.042523611,0.061457703,0.007003585,0.062366461,0.024695911,0.05331615,0.030951092,0.040789302,0.00187702,0.07108844,0.001406221,0.077734881,0.01552062,0.008232627,0.000793153,0.04006978,0.050613441
wB97X,0.004481846,0.066296537,0.071147433,0.024661113,0.01708546,0.173333928,0.105075299,0.057519083,0.132159761,0.100518824,0.016103978,0.013108031,0.069474739,0.130209276,0.019288646,0.050871507,0.026868316,0.043547382,0.014535461,0.009645553,0.02301618,0.033212672,0.047065203,0.055422977,0.056052946,0.063457256,0.014622058,0.037065699,0.020636823,0.119527548,0.019269371,0.098511416,0.049327892,0.024250375,0.003683837,0.109076593,0.053336973
MN15,0.001340083,0.029957394,0.055338582,0.022749456,0.07121882,0.039317407,0.072216616,0.089923635,0.079565518,0.115136731,0.044075718,0.050324112,0.037440877,0.055195536,0.124284429,0.002765474,0.05504498,0.018099939,0.016113039,0.026280619,0.012341774,0.055645113,0.110154761,0.045070954,0.068965792,0.029809813,0.019095351,0.014950576,0.02057796,0.081498759,0.025034852,0.10870944,0.179280697,0.120360071,0.009981456,0.025606882,0.053707589
BMK-D3(BJ),0.001469351,0.025777342,0.027198372,0.042078388,0.011497299,0.139566543,0.018064662,0.10755275,0.020838342,0.118250923,0.036521932,0.091716317,0.046755508,0.13353643,0.023983363,0.059131095,0.149070207,0.051395748,0.025236774,0.036211838,0.000494581,0.053712693,0.034245744,0.050686311,0.093568734,0.088598451,0.012940304,0.013758151,0.057508986,0.088884723,0.018456838,0.126152895,0.061688308,0.032843074,0.005640791,0.1096293,0.055962863
B97M-rV,0.007723722,0.029098825,0.053889284,0.131401574,0.03977103,0.115764451,0.00921177,0.016194011,0.031122283,0.005418536,0.029286725,0.03781206,0.090744926,0.057184616,0.041037134,0.002482824,0.016399162,0.212165363,0.097846438,0.153098783,0.048744968,0.138482761,0.011559067,0.037190251,0.066867849,0.172103142,0.007813295,0.132800099,0.069189313,0.080846108,0.065813992,0.040508408,0.002136802,0.019769743,0.017078205,0.030981812,0.058876093
BMK,0.002051084,0.067217463,0.078764013,0.027635828,0.007995818,0.189199861,0.028298641,0.094609498,0.036703949,0.111443268,0.043018711,0.094288654,0.050360496,0.136052445,0.01333496,0.061471395,0.155837203,0.07884038,0.011484114,0.030522803,0.007504539,0.041599484,0.022363845,0.042539707,0.141460929,0.096867438,0.032748342,0.019150503,0.043849236,0.114630946,0.031740725,0.132261811,0.051033266,0.033712892,0.002857829,0.108784304,0.062284344
mPW1PW91,0.005586999,0.137101887,0.18555638,0.0026489,0.118467092,0.00289614,0.033752059,0.061909621,0.048988076,0.098980074,0.039786663,0.057042464,0.062523308,0.027179163,0.110044632,0.054007563,0.2265936,0.090945292,0.044333212,0.005517875,0.03467949,0.010141096,0.114158418,0.02535242,0.041706307,0.00627554,0.02342318,0.015310887,0.09761887,0.116037604,0.011000648,0.095588933,0.15780865,0.062271319,0.003942726,0.09493417,0.064558646
SCAN0,0.001803931,0.103656951,0.01688797,0.013552087,0.054509268,0.058385073,0.017458857,0.146282452,0.016963045,0.169740454,0.043050988,0.01432857,0.051216841,0.063299129,0.148048699,0.048656107,0.207158791,0.125477375,0.044248187,0.064738357,0.035806412,0.055562802,0.096997334,0.105866958,0.031636802,0.020672783,0.0512487,0.066016727,0.098407677,0.069317258,0.023191209,0.208282963,0.177359904,0.003762428,0.003428619,0.048998725,0.069611679
MN12-L-D3(BJ),0.001166706,0.032444576,0.071951793,0.052875776,0.093349735,0.175091678,0.058546534,0.193553963,0.011705957,0.184234321,0.060099119,0.151611365,0.058858165,0.048954177,0.031182507,0.162713191,0.02575501,0.0795386,0.094918995,0.022267931,0.020277146,0.02901468,0.192272772,0.040345927,0.060151282,0.054372125,0.014909819,0.062199,0.014736946,0.055668838,0.060937392,0.139743531,0.074160311,0.049220935,0.014307247,0.037468512,0.070294627
MN12-L,0.001261837,0.039945545,0.067679336,0.050561963,0.094148806,0.178072505,0.059367613,0.192972973,0.012941186,0.184092829,0.060214356,0.152064451,0.059385525,0.048790097,0.029845344,0.163126788,0.028930758,0.073800706,0.09347635,0.021835047,0.019714679,0.028532031,0.19307572,0.03802302,0.068333097,0.053120006,0.017412783,0.064699287,0.013920712,0.052295643,0.061610812,0.141348434,0.074588071,0.049094691,0.014595968,0.0358776,0.070521016
M06-2X-D3(0),0.00040109,0.016116239,0.027121587,0.055279082,0.003393984,0.018408739,0.112030086,0.116160467,0.138116889,0.156580994,0.055525032,0.000733242,0.073342975,0.186294118,0.076332715,0.027780348,0.037251081,0.072375479,0.030259954,0.103215535,0.067445836,0.12576439,0.100392119,0.057192183,0.065474466,0.16926921,0.001546558,0.103854457,0.019510005,0.07791954,0.079916312,0.190115432,0.130796483,0.039213853,0.00111943,0.062833711,0.072196767
M06-2X,0.000398527,0.017312123,0.024134042,0.055720315,0.00323824,0.02101259,0.11116407,0.117156619,0.137060123,0.157353215,0.056223113,0.000664873,0.073472638,0.186016581,0.077584605,0.027679764,0.038986126,0.072303149,0.029998694,0.104341548,0.067166179,0.126880352,0.099744689,0.058312413,0.066964592,0.169166479,0.002245946,0.105438851,0.020185952,0.078429452,0.078819081,0.190913967,0.132670181,0.039120749,0.001038318,0.061980566,0.072524964
PBE0,0.005476415,0.13503871,0.158030615,0.009953507,0.113290072,0.037779849,0.042122487,0.081318427,0.056059794,0.118406023,0.052977503,0.051444265,0.057850694,0.031695112,0.157466342,0.065299396,0.254987104,0.105085772,0.036232038,0.017121574,0.032143581,0.009410977,0.114407283,0.047580689,0.048362917,0.006291787,0.03011938,0.015848544,0.111999219,0.136791984,0.025406105,0.110642712,0.200256172,0.075455832,0.000975775,0.074694083,0.073000632
PBE0-D3(BJ),0.005016923,0.106356567,0.112595242,0.001896687,0.116771523,0.079661214,0.032977573,0.093522484,0.04232451,0.125524465,0.058829268,0.053533489,0.061256163,0.030520257,0.167490143,0.067593851,0.24910084,0.087311474,0.047908469,0.02404757,0.039637935,0.021300754,0.103942121,0.042132882,0.007315418,0.001045617,0.047449091,0.045821656,0.124475294,0.158759369,0.037843364,0.106472497,0.21264709,0.075606393,0.00339781,0.076243843,0.074120273
mPWB1K-D3(BJ),0.000525396,0.066051683,0.049828907,0.035329164,0.055451754,0.110153182,0.11180351,0.141071766,0.130430509,0.184959806,0.017604544,0.094495986,0.058615379,0.141591603,0.036825057,0.087499815,0.173685438,0.136938175,0.009997189,0.070811555,0.035337521,0.084592214,0.104325443,0.051960892,0.144160428,0.05174421,0.00624877,0.026726688,0.033571106,0.008742126,0.065849763,0.240071094,0.123148804,0.002545638,0.017037759,0.031048129,0.076132806
mPWB1K,0.000833641,0.087202724,0.07273342,0.042439002,0.057521527,0.131419501,0.116429089,0.13597048,0.137452833,0.182463705,0.015245849,0.09577207,0.060355235,0.142180975,0.034269245,0.088658514,0.178990929,0.151534884,0.016160198,0.069085468,0.038626971,0.079728424,0.109877904,0.056897976,0.168017424,0.055503729,0.003317624,0.011901569,0.027971068,0.003194114,0.071335255,0.243514444,0.119554202,0.003035448,0.018412149,0.029697782,0.079369594
B3LYP-D3(BJ),0.005820742,0.051556737,0.132848491,0.15124244,0.177450948,0.055182666,0.03568108,0.038705475,0.042189867,0.031542707,0.009411535,0.120623223,0.104571131,0.058578272,0.034549017,0.074854228,0.073477909,0.110063325,0.12159488,0.127097882,0.077315917,0.097715608,0.032915926,0.149334447,0.142184291,0.107669404,0.01845837,0.116770924,0.053551134,0.036228788,0.087360874,0.144452413,0.01788804,0.041376729,0.029937877,0.189856045,0.080557204
B3LYP,0.006619587,0.101351705,0.227311144,0.128377628,0.172542305,0.145081888,0.0176382,0.067785705,0.014116848,0.04964754,0.02456096,0.116599263,0.097053448,0.053942891,0.065681664,0.070257523,0.077241404,0.082630944,0.097022349,0.145256583,0.059722452,0.124903434,0.052488234,0.143084908,0.061975005,0.096166443,0.015051577,0.178002786,0.024616836,0.010381507,0.059662596,0.138206117,0.048892682,0.041632389,0.025790971,0.188854635,0.084170893
mPW1PW91-D3(BJ),0.004671041,0.128948875,0.046831231,0.028557533,0.136288747,0.130121352,0.011422348,0.125327699,0.012450507,0.149317809,0.067340809,0.068520597,0.082610451,0.027671904,0.176896928,0.074133556,0.236204947,0.105983077,0.07875722,0.046092768,0.069908473,0.051186765,0.086240743,0.029984581,0.080879804,0.004261466,0.071529171,0.091592578,0.155805477,0.208002057,0.058621758,0.098358624,0.24695494,0.058542704,0.008266849,0.116728477,0.08819483
SCAN,0.005726574,0.086781741,0.034424469,0.107440989,0.189903967,0.173544025,0.097663958,0.021304636,0.132125008,0.034071675,0.080797505,0.096702663,0.200248737,0.154792865,0.234774063,0.133872813,0.157113304,0.07493199,0.101348045,0.087163452,0.112088059,0.112403769,0.049490276,0.034308876,0.149293109,0.146453478,0.085510947,0.003321106,0.143279101,0.122943822,0.204061104,0.043993304,0.198453472,0.097773861,0.023617842,0.032274484,0.10455553
TPSSh,0.008402426,0.120395279,0.136225954,0.105264499,0.209782151,0.00735241,0.046498303,0.168088909,0.051219668,0.1589132,0.069123216,0.098925361,0.17987191,0.191855815,0.141771171,0.188771007,0.109539534,0.067850536,0.057529666,0.165140619,0.08205312,0.196328823,0.02347024,0.04782633,0.109966505,0.16619715,0.049018737,0.090578512,0.079330023,0.080384218,0.141264877,0.114662803,0.136662303,0.112348156,0.024314568,0.066556505,0.105652347
SCAN-D3(BJ),0.00558154,0.078326441,0.045255798,0.110856377,0.191194332,0.182910491,0.09996137,0.018929035,0.135436347,0.032828168,0.081790231,0.097293425,0.201161315,0.154573141,0.23538482,0.134465771,0.153369864,0.080514751,0.10418741,0.086096531,0.113656788,0.109910146,0.046680266,0.031956989,0.161533792,0.147639688,0.090363817,0.004130978,0.145894468,0.128519618,0.206728869,0.045559458,0.200562622,0.097851862,0.024338231,0.033502396,0.106081865
M06-L,0.001489649,0.017798249,0.043999638,0.243010105,0.123292531,0.236228978,0.057372506,0.145083852,0.008279255,0.15066555,0.025265904,0.021938648,0.060889212,0.051950495,0.131699946,0.108356669,0.100584989,0.256548724,0.061767189,0.215813588,0.019892726,0.198485664,0.094486899,0.231074872,0.133416285,0.169759952,0.009696248,0.229986231,0.062641459,0.158682255,0.100860136,0.098153133,0.010645845,0.060452696,0.030109238,0.176621582,0.106861136
M06-L-D3(0),0.001494452,0.016322322,0.040821641,0.243534937,0.123219071,0.238779367,0.058298554,0.146203683,0.009356617,0.151606852,0.026048482,0.022030674,0.061048445,0.051399986,0.133365295,0.108218808,0.09828605,0.256768391,0.061450094,0.217103114,0.01949948,0.199719862,0.093988076,0.23247246,0.135372543,0.169728115,0.010353512,0.231668593,0.06179581,0.159264244,0.099689442,0.099055,0.0084262,0.060657876,0.030028241,0.17770413,0.107077234
TPSSh-D3(BJ),0.007792524,0.08180805,0.074381908,0.12122075,0.214405291,0.064209096,0.05890022,0.151392369,0.069855499,0.149149061,0.077045464,0.101750443,0.184411727,0.193504037,0.155769831,0.191910266,0.102290153,0.091754657,0.073348173,0.155574449,0.092268013,0.180107506,0.009362163,0.054938141,0.164738408,0.173196929,0.072319537,0.049920852,0.096319925,0.109957146,0.158207966,0.120140472,0.153721361,0.112518442,0.027580771,0.068454454,0.11011739
M06-HF,0.014986328,0.076653057,0.162799372,0.239870036,0.014622409,0.363417525,0.019438201,0.158970709,0.104706549,0.22983504,0.207585358,0.126073217,0.017811931,0.106358334,0.293233034,0.066010167,0.014464508,0.344977358,0.050804607,0.318794428,0.01294858,0.243946042,0.21421325,0.201040443,0.007271402,0.263187751,0.126463641,0.362525579,0.00864544,0.4262624,0.040846769,0.173135714,0.218719268,0.019975162,0.015270941,0.012551399,0.146622665
B97-D3,0.009322991,0.036082364,0.092027982,0.275401538,0.29045061,0.03519472,0.093897764,0.190792395,0.106149041,0.194272768,0.033202151,0.246618984,0.210981841,0.181882089,0.018803026,0.251935945,0.011551753,0.310958511,0.138307034,0.265025152,0.115173696,0.264164022,0.031908481,0.240310775,0.27079125,0.21961263,0.044249686,0.166910748,0.097502819,0.092600374,0.159640437,0.295796339,0.000895777,0.114447235,0.060995843,0.222856809,0.149742099
B97-D,0.008689493,0.04348475,0.149834881,0.27437833,0.279225412,0.031051365,0.089854991,0.198520256,0.086365548,0.188514903,0.03335229,0.268718951,0.2099515,0.154556363,0.061960045,0.258399469,0.016583405,0.310784274,0.13142935,0.277570263,0.113050352,0.270360185,0.054941037,0.235608792,0.221170754,0.184698611,0.043201508,0.163302584,0.092808128,0.101750346,0.125359101,0.290312837,0.001716084,0.135807449,0.059651548,0.248679505,0.150434574
TPSS,0.010763568,0.117192388,0.136475352,0.166387905,0.284788982,0.048795688,0.096194309,0.270607458,0.113360301,0.27692659,0.094155557,0.165689135,0.247914228,0.302983083,0.177687136,0.295570674,0.076770129,0.172863968,0.082187119,0.252687242,0.114947653,0.287923857,0.004588472,0.100677897,0.194656319,0.248635169,0.059085357,0.135859158,0.096648168,0.110417598,0.230038445,0.261094658,0.139563183,0.166549501,0.03838186,0.066517607,0.156821825
PBE,0.011444884,0.126144596,0.171322377,0.139598072,0.30062781,0.154124079,0.073154634,0.147619158,0.088639993,0.144909742,0.113625564,0.227406909,0.221203583,0.226167521,0.251535183,0.337512639,0.197069761,0.150886727,0.097535861,0.183788603,0.10947119,0.199560942,0.062687905,0.083100631,0.148749003,0.183745621,0.049793628,0.093173086,0.162097115,0.229617128,0.238665526,0.249997743,0.214642799,0.221529958,0.035773805,0.07829989,0.159033991
