method,aceticanhydride_IEF-PCM_forward,aceticanhydride_IEF-PCM_reverse,amide21_IEF-PCM_forward,amide21_IEF-PCM_reverse,amide22_IEF-PCM_forward,amide22_IEF-PCM_reverse,basicepoxide1_IEF-PCM_forward,basicepoxide1_IEF-PCM_reverse,basicepoxide2_IEF-PCM_forward,basicepoxide2_IEF-PCM_reverse,borohydride_IEF-PCM_forward,borohydride_IEF-PCM_reverse,carbonate_IEF-PCM_forward,carbonate_IEF-PCM_reverse,cl2co_IEF-PCM_forward,cl2co_IEF-PCM_reverse,diazonium_IEF-PCM_forward,diazonium_IEF-PCM_reverse,epoxide1_IEF-PCM_forward,epoxide1_IEF-PCM_reverse,epoxide2_IEF-PCM_forward,epoxide2_IEF-PCM_reverse,ester_IEF-PCM_forward,ester_IEF-PCM_reverse,furan1_IEF-PCM_forward,furan1_IEF-PCM_reverse,furan2_IEF-PCM_forward,furan2_IEF-PCM_reverse,furan3_IEF-PCM_forward,furan3_IEF-PCM_reverse,imine_IEF-PCM_forward,imine_IEF-PCM_reverse,iminium_IEF-PCM_forward,iminium_IEF-PCM_reverse,lactone_IEF-PCM_forward,lactone_IEF-PCM_reverse,Average
wB97M-V,0.086519276,0.05822137,0.006758111,0.090411469,0.015233281,0.026803654,0.109088769,0.034338181,0.086319975,0.041660241,0.023878586,0.011572896,0.007852607,0.021142106,0.038365266,0.010565054,0.063159507,0.004647509,0.183165346,0.020902404,0.049204493,0.003490941,0.043163804,0.014739952,0.005489706,0.018433198,0.276227497,0.153765801,0.113078059,0.042314034,0.007463737,0.029476822,0.06879638,0.034818726,0.01395871,0.004480526,0.050541889
wB97XD3,0.13494202,0.138594481,0.11814991,0.074644844,0.04178535,0.089234235,0.201412085,0.045115627,0.186543073,0.066902434,0.008987663,0.016778321,0.096123479,0.062595169,0.002388078,0.014927526,0.035958737,0.023705385,0.144738952,0.000241105,0.050912969,0.02796268,0.000657101,0.085436922,0.045304255,0.076974065,0.104722288,0.153114011,0.196391047,0.055494828,0.001546,0.050634312,0.053203371,0.000897307,0.005589774,0.091177302,0.069549631
wB97XV,0.10807799,0.087956309,0.032988243,0.090650857,0.013638984,0.025208484,0.182630482,0.057006919,0.17085567,0.075004287,0.022341568,0.004519222,0.056687649,0.047976127,0.04079918,0.007495365,0.015700606,0.031726882,0.043930139,0.039846605,0.051289858,0.053013213,0.069902988,0.090176063,0.041905573,0.06943137,0.363792623,0.243602176,0.197250034,0.088352261,0.000644644,0.075288844,0.099820213,0.010439214,0.024569568,0.008714907,0.073423198
BMK-D3(BJ),0.042884745,0.051321269,0.032041181,0.150227352,0.018440148,0.093006573,0.045930612,0.076729227,0.037000952,0.075516115,0.033804343,0.055366452,0.099096532,0.0735643,0.012537093,0.031257898,0.114479462,0.022648824,0.129350127,0.043822015,0.00257089,0.071002951,0.094915484,0.104482495,0.082148165,0.136380776,0.208611129,0.10573583,0.271148698,0.113142395,0.009645413,0.061590018,0.045622352,0.018866554,0.03761847,0.093839645,0.074898514
CAM-B3LYP,0.132502167,0.223977592,0.202042659,0.065484457,0.130757992,0.058312748,0.122090388,0.040990902,0.113442169,0.058353197,0.014375796,0.028113397,0.013393215,0.031060362,0.014537438,0.000846455,0.063543605,0.038599956,0.292793189,0.001569422,0.138828705,0.02563222,0.082725143,0.0871361,0.010852512,0.03574447,0.008446822,0.365698084,0.131826174,0.004136399,0.017163198,0.010453684,0.04137566,0.018153689,0.026182732,0.113146589,0.076785814
CAM-B3LYP-D3(0),0.092457169,0.143067436,0.10415093,0.156510315,0.121982465,0.037773658,0.089292598,0.049002047,0.08256858,0.061311454,0.012860902,0.025516149,0.014381376,0.03537001,0.01360148,0.001370661,0.048390438,0.027840818,0.369207242,0.012624916,0.211515392,0.035235019,0.033177388,0.110311305,0.027601622,0.036367931,0.320120452,0.064057855,0.197257924,0.012739781,0.022365074,0.013308417,0.045130688,0.014050159,0.067522553,0.120104515,0.078615187
MN15,0.039111913,0.059643522,0.065191898,0.081219617,0.114225569,0.02620096,0.183615578,0.064152437,0.141278026,0.073527364,0.040796053,0.030379191,0.079354524,0.030406841,0.064968597,0.001461886,0.04227216,0.007976192,0.082586771,0.031803679,0.064153976,0.073557423,0.305304874,0.092907251,0.060548144,0.045886643,0.307836866,0.114900004,0.097022871,0.103740717,0.013083037,0.053073823,0.13258926,0.069140294,0.066566394,0.021918782,0.080066754
wB97XD,0.142165797,0.154037578,0.131009111,0.160974056,0.075108692,0.086616894,0.15569406,0.048736803,0.148448748,0.066827977,0.019749408,0.022673114,0.058690703,0.058505938,0.013411769,0.014898,0.060555836,0.020397175,0.248458177,0.009654628,0.048754816,0.015979946,0.085882925,0.133202481,0.037956193,0.064707126,0.111001452,0.227127728,0.248797643,0.021145103,0.00339114,0.040990721,0.050866857,0.00458884,0.03335665,0.118622575,0.081749629
wB97X,0.130807986,0.131992756,0.083815596,0.088044575,0.027402818,0.115509021,0.267160977,0.0410347,0.234665351,0.064192235,0.014905684,0.007912934,0.147249083,0.071731394,0.010082971,0.026891712,0.020633703,0.019190245,0.074500954,0.011672634,0.119640782,0.043903919,0.13044589,0.114246448,0.049211381,0.0976806,0.235722753,0.284861867,0.097300407,0.152148004,0.010070038,0.048094971,0.036481053,0.013930518,0.024567536,0.093366543,0.087251946
M08-SO,0.054451397,0.015734255,0.067414737,0.048931154,0.090199258,0.075468001,0.226769,0.040180568,0.182097279,0.054871162,0.063502834,0.025642285,0.193613292,0.079822077,0.02480902,0.041746013,0.059827551,0.042360129,0.186282313,0.01687687,0.221042677,0.081241099,0.019411132,0.128559436,0.021681641,0.08207026,0.498963713,0.313478954,0.008849949,0.0904893,0.000734881,0.037951509,0.011478467,0.004729195,0.005289545,0.034298623,0.087524155
