method,aceticanhydride_vacuum_forward,aceticanhydride_vacuum_reverse,amide21_vacuum_forward,amide21_vacuum_reverse,amide22_vacuum_forward,amide22_vacuum_reverse,basicepoxide1_vacuum_forward,basicepoxide1_vacuum_reverse,basicepoxide2_vacuum_forward,basicepoxide2_vacuum_reverse,borohydride_vacuum_forward,borohydride_vacuum_reverse,carbonate_vacuum_forward,carbonate_vacuum_reverse,cl2co_vacuum_forward,cl2co_vacuum_reverse,diazonium_vacuum_forward,diazonium_vacuum_reverse,epoxide1_vacuum_forward,epoxide1_vacuum_reverse,epoxide2_vacuum_forward,epoxide2_vacuum_reverse,ester_vacuum_forward,ester_vacuum_reverse,furan1_vacuum_forward,furan1_vacuum_reverse,furan2_vacuum_forward,furan2_vacuum_reverse,furan3_vacuum_forward,furan3_vacuum_reverse,imine_vacuum_forward,imine_vacuum_reverse,iminium_vacuum_forward,iminium_vacuum_reverse,lactone_vacuum_forward,lactone_vacuum_reverse,Average
wB97M-V,0.088220006,0.060603477,0.00027911,0.071355239,0.021059451,0.016345764,0.25992404,0.01520697,0.21999193,0.030697942,0.026574599,0.015313545,0.095127988,0.022742824,0.04009112,0.011702231,0.059816346,0.005419278,0.171455768,0.014048284,0.00675797,0.018206898,0.017067908,0.041761038,0.005114558,0.030584793,0.243360736,0.904343795,0.139686084,0.024875916,0.014306976,0.021343507,0.0600656,0.035198393,0.009605292,0.002773661,0.078361918
CAM-B3LYP-D3(0),0.094982844,0.142975754,0.098694519,0.155767978,0.10522253,0.028563075,0.242988106,0.02577944,0.217692227,0.046305303,0.006704265,0.026788627,0.076702959,0.036055891,0.01604424,0.000895178,0.05328855,0.03322584,0.360786517,0.037896231,0.124488412,0.081862332,0.028348905,0.119939624,0.013215243,0.056518872,0.242621452,0.31395292,0.226399403,0.023960933,0.035430737,0.001294684,0.036305128,0.016167963,0.03906929,0.090591907,0.090486885
BMK-D3(BJ),0.047640731,0.056265367,0.031260052,0.157953441,0.010346942,0.080844675,0.169063853,0.052253558,0.140729658,0.064335854,0.027679022,0.055002932,0.213599273,0.078034478,0.013447416,0.030841423,0.121109468,0.025744238,0.104074515,0.08030695,0.040737919,0.133007216,0.068761966,0.106935969,0.089837754,0.219052955,0.003196916,0.826908556,0.286118495,0.086561768,8.05E-05,0.049496866,0.037638518,0.018941989,0.013464585,0.075708424,0.100471784
MN15,0.041104596,0.069205933,0.057523404,0.128875792,0.085585334,0.017413117,0.365863608,0.04465535,0.296051153,0.065025495,0.036665415,0.025324883,0.20125831,0.032101487,0.065137725,0.00176283,0.046626239,0.010229824,0.05895256,0.070206766,0.097257566,0.147396986,0.110905337,0.026066163,0.066677705,0.073437319,0.25645554,0.835766454,0.111686434,0.095965997,0.027957241,0.034339951,0.114370563,0.071735826,0.094167746,0.022481017,0.108506602
wB97XD3,0.139906101,0.146112965,0.113345148,0.068623323,0.036051293,0.074314864,0.384201316,0.02253919,0.36367326,0.054895299,0.003111873,0.02056329,0.218049978,0.068032096,0.000307004,0.013226353,0.039465098,0.025732549,0.130560497,0.014042532,0.076769206,0.066646988,0.030556446,0.090724688,0.05378598,0.124340847,0.153889079,0.946514632,0.226428351,0.03562275,0.010899927,0.038502992,0.045362233,0.00208266,0.019402866,0.072140491,0.109178449
BMK,0.064778337,0.14042166,0.087894173,0.097984796,0.005596298,0.108627018,0.205982272,0.043526437,0.183256922,0.059998863,0.033260962,0.056653921,0.224533759,0.079562303,0.008049437,0.032065269,0.126241967,0.039426738,0.026306294,0.068915512,0.074862432,0.105571353,0.053254935,0.09487389,0.12919956,0.240532256,0.167989926,0.882956661,0.227046099,0.115126783,0.006242299,0.052104888,0.030478292,0.019478504,0.005752449,0.07510197,0.110379312
mPW1PW91,0.172691073,0.284046844,0.204267142,0.022568187,0.164134101,0.004805443,0.154449394,0.028091468,0.167688719,0.05356796,0.038380565,0.040557751,0.125637404,0.008437819,0.058641554,0.031510425,0.179741294,0.046058432,0.230047348,0.007506783,0.125998605,0.006308693,0.095392621,0.000549743,0.04348621,0.028903717,0.279194132,0.603447299,0.470748626,0.14413458,0.030932934,0.020874431,0.102109928,0.036427907,0.002991863,0.053435795,0.112993522
M11,0.39449418,0.011487247,0.058973212,0.231324317,0.047010765,0.033631746,0.568609474,0.019093251,0.493580964,0.022707856,0.049414656,0.07030075,0.355494581,0.085265311,0.009780643,0.000915759,0.007196343,0.006131183,0.145820269,0.063180151,0.433633616,0.155661908,0.019869527,0.164053982,0.056668265,0.203972014,0.039243273,0.365986194,0.083161861,0.015868544,0.019478998,0.007910871,0.017067756,0.017263809,0.098557034,0.060557716,0.123149112
wB97XD,0.14832568,0.162439846,0.124607341,0.167372248,0.063421195,0.071536149,0.312320059,0.027346744,0.301444971,0.055771863,0.013411191,0.027677776,0.160209059,0.061478207,0.010905208,0.012815008,0.065171346,0.0221625,0.247458419,0.00285624,0.007704618,0.04716222,0.005307319,0.127043714,0.046548253,0.10025884,0.15467253,1.444576724,0.274798512,0.005424738,0.017008487,0.025989537,0.042832423,0.006109517,0.009051495,0.092871653,0.124058101
wB97XV,0.109039845,0.090400873,0.034617628,0.124250892,0.014333954,0.018900178,0.366923066,0.032707481,0.344651337,0.060547479,0.025891158,0.005918657,0.163832371,0.051955438,0.041151905,0.00680525,0.017734313,0.035117286,0.016550596,0.081305251,0.078174668,0.109197234,0.065707747,0.034593881,0.050491473,0.113398094,0.286165101,1.70326725,0.227170319,0.064342643,0.006622068,0.063293881,0.088128646,0.0104021,0.051914356,0.002641256,0.127726269
