method,aceticanhydride_IEF-PCM_forward,aceticanhydride_IEF-PCM_reverse,amide11_IEF-PCM_forward,amide11_IEF-PCM_reverse,amide12_IEF-PCM_forward,amide12_IEF-PCM_reverse,amide21_IEF-PCM_forward,amide21_IEF-PCM_reverse,amide22_IEF-PCM_forward,amide22_IEF-PCM_reverse,basicepoxide1_IEF-PCM_forward,basicepoxide1_IEF-PCM_reverse,basicepoxide2_IEF-PCM_forward,basicepoxide2_IEF-PCM_reverse,borohydride_IEF-PCM_forward,borohydride_IEF-PCM_reverse,carbonate_IEF-PCM_forward,carbonate_IEF-PCM_reverse,cl2co_IEF-PCM_forward,cl2co_IEF-PCM_reverse,diazonium_IEF-PCM_forward,diazonium_IEF-PCM_reverse,enamine_IEF-PCM_forward,enamine_IEF-PCM_reverse,epoxide1_IEF-PCM_forward,epoxide1_IEF-PCM_reverse,epoxide2_IEF-PCM_forward,epoxide2_IEF-PCM_reverse,ester_IEF-PCM_forward,ester_IEF-PCM_reverse,furan1_IEF-PCM_forward,furan1_IEF-PCM_reverse,furan2_IEF-PCM_forward,furan2_IEF-PCM_reverse,furan3_IEF-PCM_forward,furan3_IEF-PCM_reverse,imine_IEF-PCM_forward,imine_IEF-PCM_reverse,iminium_IEF-PCM_forward,iminium_IEF-PCM_reverse,lactone_IEF-PCM_forward,lactone_IEF-PCM_reverse,Average
VV10,-0.010844450953960314,0.0399647073377142,None,None,None,None,0.05047032326079917,-0.2548058417393493,-0.28909974350519474,-0.0989630197169315,-0.12035989302951267,-0.23147815628655463,-0.15783825431288034,-0.25532849881707714,-0.06897728643468246,-0.23741818132439685,-0.24682116778202404,-0.28186553978957846,-0.09464591870469463,-0.29291830557407045,0.04575940025746949,-0.31576027318557276,None,None,-0.15293434224393768,-0.2749106397001696,-0.1418190469414858,-0.2696269741471049,-0.04499682372510879,-0.19732875476097309,-0.2948920010536074,-0.2636585423484658,-0.04590559745211189,-0.17547201472365434,-0.11412408600220769,-0.09728071815272141,-0.30335795453606196,-0.40449140023481434,-0.033664571945665155,-0.16036655156663732,-0.05438172269332884,0.11456816350382329,-0.15932149108402027
BLYP-D3(BJ),-0.010760860256326362,0.030236898508591948,None,None,None,None,0.14049272302989174,-0.2944370444373353,-0.33582077034663727,-0.01931277567943199,-0.13840997384873002,-0.2426448576893604,-0.16861679053462486,-0.266175798246414,-0.0272774186858478,-0.2699032730962212,-0.24035745346089293,-0.2764529256588756,-0.007292815775409782,-0.29437445017852154,-0.006568132826647537,-0.349553389744045,None,None,-0.1771608094900227,-0.31184637635546125,-0.14046813970801164,-0.28407833642905295,-0.016864576342251882,-0.28013308849819907,-0.3198764608949858,-0.27803325555989916,-0.03156512162186764,-0.2247646821345586,-0.08658402399291805,-0.09319153590220437,-0.25305360264765214,-0.4598801069744874,0.036885847952634394,-0.15034110172421516,-0.0627471274734108,0.20166800177015293,-0.15859065569314582
rVV10,-0.010888367432332019,0.04049451057447184,None,None,None,None,0.05919719067073783,-0.25767299539132493,-0.2898862999059995,-0.08545273649078904,-0.11898811193406007,-0.23551230620179864,-0.15535573107796158,-0.2584993452966666,-0.06542601641821397,-0.23800700336690572,-0.24534516158072503,-0.2797815438361515,-0.08438311197530939,-0.2918680788693161,0.043072780639858525,-0.31846558159366994,None,None,-0.15202802030744253,-0.2791278026080884,-0.1395973531391548,-0.27296314348845724,-0.043873205153384144,-0.20390173373790743,-0.29189186529013966,-0.26386235029213095,-0.042607445157509805,-0.18357195324781816,-0.11006292061106208,-0.0912689797436807,-0.2993632611511824,-0.4078942239001329,-0.02518290917969135,-0.15841398123268702,-0.054661472212403604,0.12024439079235581,-0.1581332260874076
TPSS-D3(BJ),-0.010125667266672701,0.07750233566868081,None,None,None,None,0.0673518622063934,-0.18371393947179918,-0.28949691293486235,-0.11279130624650345,-0.10984491010176962,-0.2509225057028851,-0.13404175439713145,-0.26504045700317946,-0.10375137940491125,-0.1687610870998994,-0.2531394807082555,-0.30517619648441163,-0.19580546556617878,-0.29910298059358054,0.07059380827660852,-0.19635566765374443,None,None,-0.09989356571190462,-0.24080681521448644,-0.1269230803138521,-0.26899819216324167,-0.019849201607789725,-0.1072220622376516,-0.25466229993905193,-0.2562856107972533,-0.08454761949829075,-0.09047764764728167,-0.11643646179504949,-0.1436832328389141,-0.24953668430229234,-0.26648091287707026,-0.1603664259611827,-0.1665154463169522,-0.0418207336477969,0.06831118899044002,-0.1469115696767701
mPW91-D3(BJ),-0.010651900367454949,0.12300487955724698,None,None,None,None,0.06850573985355472,-0.17717963061604255,-0.32605210904410026,-0.24189469964845126,-0.10520457727112047,-0.10560752346585398,-0.1326622044471578,-0.11493382750342201,-0.1259397998670608,-0.24635479692861062,-0.24706266895680098,-0.22891281118547835,-0.26679798908389224,-0.3465538607240335,0.1777446088124125,-0.14615370137942205,None,None,-0.13984360982392952,-0.15611991791048693,-0.146781252536868,-0.15936025333869702,0.0392303315330811,-0.10033250855305406,-0.27568374318663974,-0.19323570581945168,-0.09080105228533625,-0.019991960947852692,-0.20589597470849072,-0.30416075818432226,-0.26627960565580994,-0.2605515705859264,-0.2590733086666409,-0.2042943907865139,-0.04352725577938216,0.12338363395488086,-0.14211182709853132
BLYP,-0.011730546656660398,0.09004681011665151,None,None,None,None,0.2583821107331603,-0.26619383713029676,-0.329900304416358,0.09262967212064512,-0.11608666919637918,-0.27953567920515915,-0.13380753771536558,-0.289394997426304,-0.00814788884110692,-0.26490497429843946,-0.23086763281514536,-0.27073105668703845,0.03289660975151901,-0.28853019248388967,-0.0030865457640375667,-0.3173342404272431,None,None,-0.14658973221857038,-0.33529112810741357,-0.1181884086712342,-0.3184605607490326,0.007187283512202089,-0.2731970931186477,-0.22078280623535518,-0.26412070892881423,0.009846776042257,-0.3011758879228734,-0.050062246204513314,-0.035064399039673906,-0.21824793356837757,-0.45262967570281304,0.07670876856966706,-0.15084824330711125,-0.05768631048403169,0.20032376677193076,-0.13846042888066257
TPSS,-0.010763567789835305,0.11719238846182081,None,None,None,None,0.13647535166247246,-0.16638790502806178,-0.2847889815452172,-0.04879568811191452,-0.09619430857124817,-0.2706074583180083,-0.11336030126676569,-0.27692658972454975,-0.09415555675082876,-0.1656891350101834,-0.2479142279514371,-0.30298308281704367,-0.17768713583433993,-0.29557067420184263,0.07677012939804426,-0.17286396807272622,None,None,-0.08218711861681585,-0.25268724170591633,-0.11494765338416257,-0.28792385692051764,-0.004588471604644349,-0.10067789740938927,-0.19465631930993418,-0.2486351692237762,-0.059085357407827194,-0.13585915795026265,-0.09664816844760167,-0.11041759838550587,-0.23003844543055013,-0.2610946584285865,-0.13956318276718577,-0.16654950138430807,-0.038381860317548956,0.06651760670419515,-0.13476874342950007
PBE-D3(BJ),-0.010948227070267786,0.09701961435843336,None,None,None,None,0.11571424804435869,-0.15320229461979898,-0.30430116898049675,-0.20597951022442682,-0.0840606010889583,-0.13100047539949156,-0.10522104226934537,-0.13453588602971528,-0.12199317269925126,-0.2298298062352699,-0.22568733873219649,-0.22805847935035456,-0.26754686041753756,-0.3404230778753232,0.1928262170536951,-0.1671531224396995,None,None,-0.11183637705785243,-0.17327187014541198,-0.11956544701172861,-0.183622065473088,0.05059871566879447,-0.08749016995586814,-0.19719436740404153,-0.1897559119864616,-0.0701610094639199,-0.05642232748113303,-0.17865955926854285,-0.25693145232172604,-0.2548759473850134,-0.2538750848853252,-0.23286353036736723,-0.22132393798002017,-0.03841015745199505,0.07981816622869306,-0.13333953660326817
B97-D3,-0.009322990830980813,0.036082364381556487,None,None,None,None,0.0920279815105265,-0.2754015381431084,-0.29045060991890703,0.035194719803230044,-0.09389776437117286,-0.1907923948305093,-0.10614904080645719,-0.19427276768076268,-0.03320215136554694,-0.2466189842475595,-0.2109818410193276,-0.181882088677315,0.018803025674306036,-0.2519359452979028,0.011551753397206767,-0.31095851144632136,None,None,-0.13830703376878778,-0.26502515169454544,-0.11517369576243223,-0.2641640216459389,0.03190848122250144,-0.24031077469577497,-0.27079125047471003,-0.2196126301420222,-0.04424968580056527,-0.16691074772820458,-0.09750281865521337,-0.09260037368006864,-0.1596404365828234,-0.2957963391419393,-0.0008957768393240202,-0.11444723515402824,-0.06099584258734536,0.22285680873148225,-0.12482959189635516
PBE,-0.011444884101954881,0.12614459619807453,None,None,None,None,0.17132237662847197,-0.13959807219960133,-0.3006278095766158,-0.15412407860415195,-0.07315463388294109,-0.14761915766607553,-0.08863999337004502,-0.14490974247438412,-0.11362556379587696,-0.22740690862148433,-0.22120358301872325,-0.2261675210672916,-0.2515351828521568,-0.33751263905917556,0.19706976141334148,-0.1508867271221933,None,None,-0.09753586116973599,-0.1837886027668515,-0.1094711904234705,-0.19956094165820218,0.062687905298161,-0.08310063099381648,-0.1487490031246546,-0.18374562122344062,-0.04979362758950334,-0.09317308647886388,-0.16209711480249667,-0.22961712792068065,-0.23866552591700815,-0.24999774338403122,-0.21464279869662972,-0.22152995821015667,-0.03577380545317123,0.07829988983832686,-0.12372707244025025
mPW91,-0.01156785786056895,0.13115789119804194,None,None,None,None,0.20723088837254708,-0.15127100088064074,-0.30823045432411666,-0.10887720758672183,-0.08287486705612973,-0.1690256014046308,-0.09612463860345676,-0.16527156505917567,-0.09838565595792777,-0.2348766664971593,-0.2269755236884114,-0.22940554705289257,-0.199945693689998,-0.3264278711814918,0.16813325933481554,-0.16119148566042388,None,None,-0.10541960240028805,-0.20773056122052636,-0.1115522693138027,-0.22068811752148432,0.06714800614212223,-0.10496466979946209,-0.15309763246871838,-0.19524978480144412,-0.04269506314306367,-0.1268954234665287,-0.147709364608293,-0.21219630528597772,-0.2186584964507167,-0.2633212584445683,-0.16992701801533208,-0.20802300566003648,-0.03920313302408939,0.10158932436059247,-0.12284788813110996
B97-D,-0.008689493112799176,0.04348474955031234,None,None,None,None,0.14983488101287423,-0.2743783296381511,-0.2792254121700467,0.03105136509910457,-0.08985499116444051,-0.19852025555732986,-0.08636554754901309,-0.1885149034700876,-0.03335229026504684,-0.2687189513335744,-0.2099515004079187,-0.1545563627011431,0.061960044848798364,-0.25839946914124834,0.01658340520652281,-0.31078427413014764,None,None,-0.13142934969756231,-0.2775702628890388,-0.11305035212463657,-0.27036018532015627,0.054941037408366235,-0.235608791718372,-0.22117075372133144,-0.18469861071083343,-0.04320150811483552,-0.1633025841167424,-0.09280812833168033,-0.10175034570730578,-0.12535910125029073,-0.29031283659211315,-0.0017160835397794245,-0.13580744944569714,-0.05965154772529501,0.24867950486495438,-0.11673818565710234
