method,aceticanhydride_vacuum_forward,aceticanhydride_vacuum_reverse,amide11_vacuum_forward,amide11_vacuum_reverse,amide12_vacuum_forward,amide12_vacuum_reverse,amide21_vacuum_forward,amide21_vacuum_reverse,amide22_vacuum_forward,amide22_vacuum_reverse,basicepoxide1_vacuum_forward,basicepoxide1_vacuum_reverse,basicepoxide2_vacuum_forward,basicepoxide2_vacuum_reverse,borohydride_vacuum_forward,borohydride_vacuum_reverse,carbonate_vacuum_forward,carbonate_vacuum_reverse,cl2co_vacuum_forward,cl2co_vacuum_reverse,diazonium_vacuum_forward,diazonium_vacuum_reverse,enamine_vacuum_forward,enamine_vacuum_reverse,epoxide1_vacuum_forward,epoxide1_vacuum_reverse,epoxide2_vacuum_forward,epoxide2_vacuum_reverse,ester_vacuum_forward,ester_vacuum_reverse,furan1_vacuum_forward,furan1_vacuum_reverse,furan2_vacuum_forward,furan2_vacuum_reverse,furan3_vacuum_forward,furan3_vacuum_reverse,imine_vacuum_forward,imine_vacuum_reverse,iminium_vacuum_forward,iminium_vacuum_reverse,lactone_vacuum_forward,lactone_vacuum_reverse,Average
M06-HF,-0.43090967904229344,0.1689340179919651,None,None,None,None,0.17690519916404499,1.0163446304340291,0.019314615816096784,-0.19987912215866518,0.1787425478252443,0.08451416640326877,0.3756995809933288,0.13130917882897508,-0.19279478568908556,-0.059987409931771415,0.1707285366978228,0.06441658740122429,-0.15154644574121706,0.03884434002992413,-0.005674756038161223,0.1708521213462615,None,None,0.37317703990627243,0.6606421800540145,0.13663423028297447,0.5711104809719947,0.2619123976544452,0.26951683368176677,0.016478317931395415,0.7107253138924533,-1.1865789727928935,-19.03169583763855,0.021168848955934686,-0.4809427310936609,0.034842708203935265,0.09527849651795833,-0.1443177697137468,-0.015668606970773616,0.14476814808134258,0.012300576143512779,-0.44430097282223985
mPW91-D3(BJ),-0.3346901613369076,0.25506328327422756,None,None,None,None,0.07447837650159007,-0.694732565117941,-0.4534245078647597,-0.1502879121250262,-0.40780826100416384,-0.08303589257219948,-0.3528934732946768,-0.0834343693427755,-0.11031236369091581,-0.16316744370163733,-0.6774040982675886,-0.15541272250706895,-0.14021036746753784,-0.18812799847285538,0.14192830084778282,-0.0675779725214036,None,None,-0.7970354881314947,-0.2914274778988769,-0.6366110570383763,-0.3179000616406981,-0.05172321611334847,-0.217625558646752,-0.22324359019532033,-0.5232837256757289,-0.8066620225508186,0.6811246609667262,-0.9413949591299557,-0.3549047012136843,-0.17716137260558967,-0.15650292019960027,-0.16854851554626016,-0.12088997621918006,-0.2869874780596734,0.056957194179492965,-0.24791306706619434
mPW1PW91-D3(BJ),-0.14570737779267204,0.2674897693955539,None,None,None,None,0.05190645417572327,-0.08501006508394277,-0.1883136768130014,-0.07926222683837342,0.07389636339019738,0.07085175749490476,0.06975091294745889,0.08563689252964736,-0.06205470218072387,-0.04792470032346274,-0.18656476867908175,0.00873702994037289,-0.09253088640218883,-0.04203517967724354,0.18703111881407405,0.053555509208206696,None,None,-0.42470739789316225,0.11084933681422945,-0.2762866825529837,0.14521348544014592,0.058957347441015884,0.006308755235243619,-0.05726530803944393,-0.023672010614720032,-0.679412025209119,-4.951034489942905,-0.7223800998381814,-0.24616763835002203,-0.05302229135554507,0.022056869495730994,-0.16201652885846904,-0.03412804881816491,-0.03285099365554872,0.06907758685024779,-0.20308410860406118
SCAN-D3(BJ),-0.17872610623208376,0.16740006366890395,None,None,None,None,-0.051610671600107856,-0.4193826263702786,-0.2644603414698552,-0.11347363398808778,-0.3651188549134257,-0.02661055561358595,-0.35028587109633363,-0.031223100896262797,-0.07249840076233806,-0.06852404430904312,-0.5428138327511428,-0.10756140983925566,-0.12334728300123395,-0.07658608809140899,0.1241162180944302,-0.03623263208652038,None,None,-0.5782197144061264,-0.1555760294504589,-0.4777117992293864,-0.21749233614022215,-0.012908884813684808,-0.00590951221229083,-0.12544205748565115,-0.40335961268530895,-0.8372512715660156,-0.5619054133052928,-0.6775594402928011,-0.1611241703854682,-0.1382906554064427,-0.05410102633432474,-0.12976157879651407,-0.056710023798762756,-0.15892776468397682,0.00038935570371313754,-0.20246669740407347
SCAN,-0.18299866356754024,0.1845710240567033,None,None,None,None,-0.03971471211648132,-0.40520119927578263,-0.262709636004025,-0.10823073901403686,-0.3568310763568442,-0.028212327516669616,-0.341409930267466,-0.03201530827811093,-0.07164546421516702,-0.06814487853819552,-0.5400458450915278,-0.10769483342832438,-0.12303767279294868,-0.07627600448131154,0.1269554656573172,-0.03344935331950925,None,None,-0.5621637380904333,-0.1577123780364205,-0.4710195466455075,-0.2231402772875383,-0.00924154953836095,-0.002427245595877195,-0.11538163994085716,-0.40027834331651,-0.7968778085451746,-0.17471061868706092,-0.6662491307124331,-0.15493791641435195,-0.1370531942457564,-0.0534324009550428,-0.1283442210971444,-0.05666190978468585,-0.15395330040376318,-0.0004919193908417359,-0.18694911925660224
r2SCAN3c,-0.22557235173355533,0.14164975977527755,None,None,None,None,0.0016620724101994381,-0.3433689352423072,-0.2694615432701564,-0.10221589557798422,-0.22803571474154283,-0.014924801540433557,-0.19889341449643838,-0.010653521597424484,-0.09262947598788203,-0.07532177916733648,-0.43854771259565933,-0.08582953342994044,None,-0.07953634687915084,0.14092625861894156,-0.03698480586705738,None,None,-0.55266387177018,-0.15428706551304505,-0.3846786972501673,-0.18160401554343622,-0.0022163663542214733,-0.013380681379258809,-0.09585648632593766,-0.36070389467253394,-0.6446001838882055,-0.16092563974921698,-0.6962839181139561,-0.17001187970185128,-0.11807438868490297,-0.06132033484651102,-0.11698802295231021,-0.05979163653559144,None,None,-0.17245832801829625
PBE-D3(BJ),-0.3437569003079577,0.2025505148917724,None,None,None,None,0.12582166516271795,-0.594311864231971,-0.42406169206539307,-0.13101536280314086,-0.32186889655558826,-0.0986980614542433,-0.2715204465729538,-0.09511493654089279,-0.10671077003235478,-0.15245880200394624,-0.6042703460061986,-0.15569360835848303,-0.1405305330232879,-0.18503949696095215,0.1531701371318076,-0.07792043050643295,None,None,-0.6422527693097925,-0.32467836729814925,-0.5235742596417632,-0.3722289215880614,-0.041228588347264596,-0.20170620192263305,-0.15884654833035083,-0.5140848865000176,-0.6393869691537246,2.550395416903598,-0.8230145057199507,-0.3028486553062061,-0.172449647970778,-0.15435899323740396,-0.15133169155583345,-0.13103290418498056,-0.25083716386688826,0.02502346022188485,-0.1680520007512726
TPSS-D3(BJ),-0.3124550348088019,0.162045163059474,None,None,None,None,0.07477125985459682,-0.7178654594252277,-0.40426602013715,-0.07816068441651798,-0.4217325131047419,-0.17963127582847588,-0.35607490363376504,-0.17889346751299887,-0.09158694394600826,-0.11258858356847055,-0.6927609881444743,-0.19731091841226636,-0.10304086522632067,-0.16318984987968993,0.06038753101596097,-0.09268617704343714,None,None,-0.5655084132301186,-0.46245190614354675,-0.5454489384352917,-0.5661851048569694,-0.11702805978762294,-0.21734452833686319,-0.20536824635732384,-0.6822072878719319,-0.7540604257094344,4.387809213714738,-0.5414963321288,-0.17348469567473118,-0.16327809203679403,-0.15392650779399544,-0.10191317043029807,-0.09779457304594982,-0.27879927963375317,0.01965060963600552,-0.13955209636891655
TPSSh-D3(BJ),-0.23780440428827335,0.170870391827967,None,None,None,None,0.08306154134160208,-0.46141274619096073,-0.2992604305161487,-0.047422029755599046,-0.21298811797165101,-0.11353251290402186,-0.17055746029471805,-0.10466502443768715,-0.06930047787662044,-0.06933643161226456,-0.48940374437674616,-0.12665725074350456,-0.08197251602157815,-0.10566252976902872,0.08479848826532208,-0.04236449682544706,None,None,-0.4057779713433601,-0.29281741815444134,-0.3856999516686616,-0.3711338402014479,-0.058887755615272507,-0.1274033497673684,-0.12938763215345273,-0.4632603546589168,-0.6661954479209732,2.35459220504354,-0.454632033325898,-0.1355341315768062,-0.11035445970092062,-0.08181147951947602,-0.09813988178446915,-0.06571843049645935,-0.17551820001698745,0.026649939584548588,-0.10929555403961613
SCAN0,-0.05739447206831191,0.21841200652329942,None,None,None,None,0.017939065186366968,0.09470858262029552,-0.07394629863215373,-0.03771640090808707,0.1110748861825322,0.08551073832351436,0.09079865942019019,0.09989094275304956,-0.04129850228519211,0.005163638830466262,-0.0861339102975605,0.032376088948123834,-0.07778014475367769,0.02227564416505681,0.16552128826153117,0.06261016503398524,None,None,-0.21774181353546854,0.14685529346422352,-0.11979011263309025,0.15062126910602733,0.08710995987862158,0.12592293867702867,0.03848285878372324,0.04159622761583921,-0.5321190057592246,-3.6593639523845027,-0.4703632801873191,-0.09347073775430226,-0.03002250776614209,0.07547466227890753,-0.1153369018733381,-0.0008471458571708164,0.04504451186776723,0.023954263099120184,-0.10755504154655199
PBE0-D3(BJ),-0.15637971265841547,0.22203770568696374,None,None,None,None,0.1238132354992579,0.025474274100366574,-0.1617906403982425,-0.05136616314648792,0.15611737688672095,0.05012629144141522,0.15318201711557333,0.07095531763595386,-0.0543112414462122,-0.03842978345184651,-0.117856482009604,0.009708872712423367,-0.08771296730225427,-0.03874809533153433,0.19665200123229826,0.04425325625672866,None,None,-0.2540198997243821,0.06695568976507714,-0.15030830143779547,0.07747028992839021,0.079504278572615,0.022159756067839195,0.015114233623586985,-0.010038769867440723,-0.48251072056638417,-2.5914508006216863,-0.58679815074463,-0.19176913670511586,-0.04407106824947048,0.024764408925709875,-0.13932586822446252,-0.04437171980236285,0.0012841718854075899,0.03988471706140901,-0.10616115631362752
PBE,-0.35838819267633554,0.2616973145125054,None,None,None,None,0.18689561173453054,-0.5378241981535118,-0.41907785227090244,-0.10198919128731487,-0.28252630276956575,-0.10990337894698739,-0.22707546175689347,-0.10172386481990775,-0.09952143749776259,-0.15090372651256212,-0.5906704233500377,-0.1545453402957918,-0.1324137600439344,-0.18351750480760415,0.15638869623399484,-0.06981083165610907,None,None,-0.5613865493594602,-0.34573653670174387,-0.480511822105025,-0.4083297571647832,-0.025451015984202435,-0.19520693275980042,-0.11903009636676837,-0.4984727089047261,-0.46994047329453964,4.459888445364824,-0.7513891977299473,-0.2725438555750414,-0.16493033832996234,-0.15270367516370897,-0.13908729978968315,-0.13115998016745875,-0.23263250512181802,0.02393379212884248,-0.09387778753858868
