method,amide21_vacuum_forward,amide21_vacuum_reverse,amide22_vacuum_forward,amide22_vacuum_reverse,basicepoxide1_vacuum_forward,basicepoxide1_vacuum_reverse,basicepoxide2_vacuum_forward,basicepoxide2_vacuum_reverse,borohydride_vacuum_forward,borohydride_vacuum_reverse,carbonate_vacuum_forward,carbonate_vacuum_reverse,cl2co_vacuum_forward,cl2co_vacuum_reverse,diazonium_vacuum_forward,diazonium_vacuum_reverse,epoxide1_vacuum_forward,epoxide1_vacuum_reverse,epoxide2_vacuum_forward,epoxide2_vacuum_reverse,ester_vacuum_forward,ester_vacuum_reverse,furan1_vacuum_forward,furan1_vacuum_reverse,furan2_vacuum_forward,furan2_vacuum_reverse,furan3_vacuum_forward,furan3_vacuum_reverse,imine_vacuum_forward,imine_vacuum_reverse,iminium_vacuum_forward,iminium_vacuum_reverse,Average
wB97M-V,0.0004349163034221988,0.018645021112174823,0.012443423572812742,0.03553335623567749,0.09190760246417792,0.03713616248291925,0.09992778701731553,0.059211973526635805,0.02994731260168051,0.023339708217613345,0.041681305873159886,0.04761578853164795,0.08273153277613929,0.0254175001619687,0.06367800412547016,0.008662167398973032,0.0374156217980807,0.01688210673007576,0.007438609759280735,0.0016272560363736034,0.011126267683845174,0.026164811509402218,0.0010286406392450772,0.014259787448618647,0.02861470464551121,0.018788793532526098,0.045983325449722987,0.007646411564755329,0.030173024424952004,0.04809440277148989,0.09443913736155887,0.05735237188723362,0.03516715111388939
CAM-B3LYP-D3(0),0.08144878346232964,0.04643428512298192,0.07939880391736087,0.05245804974076708,0.07875475458151904,0.044554501697540196,0.09346948504240045,0.07806442873386829,0.0015403398607018346,0.04475578479198558,0.03830598748917679,0.09349659264969573,0.03073064533564675,0.005549975375116947,0.08124343868324378,0.07353678343913742,0.07724323365912139,0.0057097064105480514,0.04134736932508386,0.025914437358908447,0.023707616301025042,0.07515476570046684,0.019901293390430123,0.01943700619483432,0.025106221833109225,0.005691228331394393,0.06847440198713911,0.036518596773499716,0.08152101513777608,0.0007131942236760495,0.06323627941213204,0.0274363519277251,0.04752672993407319
CAM-B3LYP,0.18180196130832865,0.018188879134254717,0.09185459369242276,0.07803942157323852,0.08241139258214845,0.03395328584253939,0.11104192143450864,0.07427261266086004,0.0035058791473217186,0.04894220153906227,0.03931950057214025,0.07884055709926745,0.030173097355280336,0.009168887491918578,0.09463603260537942,0.09323008451227799,0.05940577183668162,1.696996296444695e-05,0.025276204918026565,0.020914875953609035,0.033047423218853,0.059622697223987726,0.02139274353906195,0.017828785244070094,0.0016193485524344851,0.029569052235308074,0.04642085210808791,0.03339108172718186,0.07110664908249079,0.008016954396745803,0.054672225969091735,0.03435925590305508,0.04956378751320623
wB97XD3,0.09834637985508737,0.017026440780235103,0.027407995581422383,0.13201441444803957,0.13754021140268824,0.05874210388134319,0.1643126996049507,0.10494147409736068,0.00297139554976352,0.032480567147928255,0.09302188419981731,0.13272088695700343,0.011324751072398023,0.020343222768702617,0.059091291017298535,0.053190367950977355,0.025174685073456056,0.0037897062528013635,0.016365150157622133,0.026813183641016793,0.03105472695375288,0.04671878195097909,0.06258787791472815,0.04954143244607377,0.010025574157081326,0.01093937404039524,0.07225251439739348,0.009433318896493098,0.02630500010701556,0.08627897669476074,0.07463597298273228,0.0009194534319408661,0.053072244231664345
wB97XV,0.030672357320416496,0.02952778834385938,0.009309413163472358,0.037144477921631704,0.1298704633424556,0.07362585531045787,0.15332603154709493,0.11307101318247684,0.031232360082780793,0.007824339377197521,0.06870724657579433,0.10033498073952186,0.08393069835286551,0.012253355186687213,0.035522928758662704,0.0702994377390761,0.0049386907257432545,0.03218062162859636,0.017013706664939673,0.04480039524111269,0.018550966204380723,0.029355130371961902,0.05856114310490588,0.04166406684470071,0.04384189659552665,0.019800345882541193,0.06978328937470667,0.040662574624778895,0.014284606337957343,0.1466966494797494,0.13549018465203913,0.01733045158126531,0.05380023332060491
wB97XD,0.10488547791764026,0.04281571315281709,0.04368998303019513,0.12941665909946237,0.10599979875765256,0.055325043210366645,0.13472721107982172,0.09840158962562108,0.015964036313122716,0.04365326321970144,0.0731612602296036,0.12164086202784384,0.010431609502920674,0.01691674967934273,0.09018872111873626,0.04917251766365182,0.04729926759191746,0.011853663143683388,0.005291820780012074,0.019674504148181542,0.03218408440968066,0.0713927950930613,0.05504663296772692,0.04284688109517945,0.007631381847518833,0.02009538972031411,0.0878986421796226,0.01744907078852831,0.03858979888546727,0.05767602923735614,0.07217102831347462,0.00616705491328338,0.05405182939823462
BMK-D3(BJ),0.029336174175685507,0.039858467998581226,0.007450972506003234,0.1535213253979353,0.0597410310131026,0.08058571508756031,0.07631231638219552,0.11068206995400377,0.03477993300437891,0.0845782034551035,0.08989352559819286,0.13565736436981435,0.03377899697962198,0.045867703727755636,0.1422700128019008,0.05205189739735396,0.01961835393457134,0.03596097625955635,0.0036814866772574306,0.05386047713017624,0.03492819627526167,0.06189051978884159,0.10540197630025394,0.08377135455915614,0.009379751390518892,0.01772788756134869,0.08938756018979147,0.06723298832805419,0.007118595715214235,0.10826407085627344,0.062174762697501995,0.025525438073421437,0.061321565799574644
wB97X,0.08218975260360105,0.020251301891456967,0.010080630459850033,0.16700396184171043,0.1871631082018421,0.06658036942070625,0.21104653213316285,0.11288081638192786,0.007982369418037275,0.01646224455840776,0.13011361292563803,0.15091967535528553,0.008697361676433275,0.04627690331976037,0.03510830865648957,0.03798116545565511,0.010202801362269873,0.006686486824560803,0.0324078378341084,0.03868952570150045,0.040925333047111,0.056305850697295635,0.0654989426003782,0.06277498661753461,0.0176106556629598,0.015942834840459025,0.04734774042037458,0.08020294839039199,0.03703764974467201,0.08634485549506789,0.050825900021280464,0.02455997215959478,0.061378201116235126
MN15,0.06424867405218035,0.029728442485278516,0.08460209431666768,0.053189456797897515,0.14160861502857286,0.08343449560228254,0.1351758454311356,0.10483378226147765,0.03997835438644361,0.038987410274517735,0.0807437821461546,0.08069165340144406,0.13934778930501868,0.01044620693439274,0.05744543397844881,0.020411042031288174,0.0056443068178498946,0.026109532434987003,0.02444633186351914,0.05244117948691567,0.004650357806868658,0.022497952811152973,0.07816840445092293,0.024563742799642126,0.032070432715316816,0.02313399544736835,0.0249662197001374,0.07397952433252901,0.05640309970660316,0.08337315020235231,0.18175225858075422,0.1196039542529302,0.062458672557595345
M11,0.051294358984170264,0.06102401193381757,0.03289702476583738,0.06760934637673854,0.23825407907800691,0.039881430831597495,0.2509449616624242,0.09024823240122597,0.05730968416954252,0.10669945384124077,0.14214550078946048,0.15187347030057166,0.030149177698691985,0.0013062405423253495,0.019277696087095956,0.03750536430607099,0.025066963585627742,0.018863849554213972,0.11096007194798026,0.0672320448022272,0.027353489469957026,0.08657101468839021,0.06627309060407648,0.07181948726008582,0.013139033511575327,0.0010655146723368035,0.020720642649371235,0.019018425697178702,0.05186125581762574,0.005370703376731399,0.02367018648189412,0.028840243745041336,0.06300768911353535
