method,aceticanhydride_IEF-PCM_forward,aceticanhydride_IEF-PCM_reverse,amide11_IEF-PCM_forward,amide11_IEF-PCM_reverse,amide12_IEF-PCM_forward,amide12_IEF-PCM_reverse,amide21_IEF-PCM_forward,amide21_IEF-PCM_reverse,amide22_IEF-PCM_forward,amide22_IEF-PCM_reverse,basicepoxide1_IEF-PCM_forward,basicepoxide1_IEF-PCM_reverse,basicepoxide2_IEF-PCM_forward,basicepoxide2_IEF-PCM_reverse,borohydride_IEF-PCM_forward,borohydride_IEF-PCM_reverse,carbonate_IEF-PCM_forward,carbonate_IEF-PCM_reverse,cl2co_IEF-PCM_forward,cl2co_IEF-PCM_reverse,diazonium_IEF-PCM_forward,diazonium_IEF-PCM_reverse,enamine_IEF-PCM_forward,enamine_IEF-PCM_reverse,epoxide1_IEF-PCM_forward,epoxide1_IEF-PCM_reverse,epoxide2_IEF-PCM_forward,epoxide2_IEF-PCM_reverse,ester_IEF-PCM_forward,ester_IEF-PCM_reverse,furan1_IEF-PCM_forward,furan1_IEF-PCM_reverse,furan2_IEF-PCM_forward,furan2_IEF-PCM_reverse,furan3_IEF-PCM_forward,furan3_IEF-PCM_reverse,imine_IEF-PCM_forward,imine_IEF-PCM_reverse,iminium_IEF-PCM_forward,iminium_IEF-PCM_reverse,lactone_IEF-PCM_forward,lactone_IEF-PCM_reverse,Average
BLYP-D3(BJ),-0.31406845589862503,0.060200000795489116,None,None,None,None,0.16550816685280506,-1.0511927923255624,-0.5386121006653944,-0.01286995477206997,-0.351916618596238,-0.17310531204741947,-0.2993991365840081,-0.16998228569694793,-0.02524771195997829,-0.16293269483927697,-0.5094285364673072,-0.1522960140490455,-0.0038122556123220542,-0.15561231320530816,-0.005044041495272544,-0.1540394570831335,None,None,-0.9080309976568502,-0.37738312122031753,-0.7301697337114051,-0.37552390404103103,-0.04674185029002629,-0.5774538284697514,-0.28083380990746404,-0.42798029519499814,-0.5088625137578076,-1.7273891463958804,-0.4082343820175425,-0.11862458807026964,-0.13224403000595597,-0.22452139582465916,0.02727938558670305,-0.08636276015441195,-0.41846099097477374,0.172622225569724,-0.305632423616287
VV10,-0.31650814944616923,0.07956753278906051,None,None,None,None,0.059456820988415815,-0.9097023263180394,-0.46367775283950324,-0.06594855182938864,-0.30602308050316607,-0.16513887356905807,-0.2802605654595204,-0.16305510162241788,-0.06384470171979006,-0.14332239710643832,-0.523128134625566,-0.15527778592115346,-0.049475325563818305,-0.15484256559262424,0.03514123721143912,-0.1391476737946758,None,None,-0.7838591602934493,-0.33268507551444976,-0.7371919066894559,-0.356420610030494,-0.12471317128888508,-0.40676467572885494,-0.25889883843096706,-0.40585310759945786,-0.7400458643838269,-1.3485590834435384,-0.5380828191380757,-0.12382975563528203,-0.15853272991363443,-0.19747967438137,-0.02489705102879483,-0.09212183408862759,-0.36267205345470016,0.09806717570398926,-0.29499243417395243
rVV10,-0.3177899038990809,0.08062234187489316,None,None,None,None,0.0697375515219049,-0.9199385765127331,-0.4649392852780477,-0.05694535431058316,-0.30253523529127746,-0.16801687719367395,-0.2758525506305832,-0.16508003302394136,-0.06055768092429145,-0.14367785171455094,-0.519999795278824,-0.15412972689358181,-0.04411053317674103,-0.15428739442604475,0.033078029722963316,-0.140339835709429,None,None,-0.7792138416444603,-0.33778850534898747,-0.7256432838102153,-0.36083070110380444,-0.12159895068845025,-0.4203139208217149,-0.25626488545319265,-0.40616683188296937,-0.6868762271021317,-1.4108097260277594,-0.5189348601120437,-0.11617734401383344,-0.15644513129291782,-0.19914099155403236,-0.01862433230733578,-0.09100018896629171,-0.3645377047711903,0.10292586909503522,-0.2936723408041644
BLYP,-0.34236990236334996,0.1792782430748752,None,None,None,None,0.3043883595729378,-0.9503595021054037,-0.5291164563419832,0.06172803487869411,-0.2951581230145913,-0.1994235997333407,-0.23759117424421614,-0.18481027747776552,-0.007541606224232615,-0.15991536836008247,-0.4893152203487913,-0.14914387581341337,0.017196414802422455,-0.1525229198891489,-0.0023703334451002024,-0.1398412818857061,None,None,-0.7513401026775921,-0.40575495512068066,-0.6143570995290101,-0.4209738572777073,0.019920270933676255,-0.563156277589052,-0.19383507140117961,-0.40656452677515487,0.15874024720379276,-2.314633931867729,-0.236038118803316,-0.04463388066034101,-0.11405483254763768,-0.22098161029195423,0.05673091963021183,-0.08665408532354851,-0.38471037038397526,0.17147159763150358,-0.2674365076046636
TPSS-D3(BJ),-0.295529595927753,0.15430288485378507,None,None,None,None,0.07934420379574506,-0.6558915485364178,-0.4643147600758708,-0.07516366544976544,-0.2792880329221824,-0.17901067042197996,-0.23800705377834752,-0.1692572464528001,-0.0960312620792332,-0.10187612172969057,-0.5365195600238895,-0.16811946625796928,-0.10235559323258162,-0.15811191042070086,0.054212986803781615,-0.08652904342517329,None,None,-0.5120006755105128,-0.29141408856128803,-0.6597609390089396,-0.3555894214634983,-0.055014035994690826,-0.22102276695511433,-0.2235793897793571,-0.39450385581522074,-1.362995356252116,-0.6953499324408084,-0.5489854228662219,-0.182896055345705,-0.13040611325501428,-0.13010057537259034,-0.11860097603216757,-0.09565403863180233,-0.2789027378658083,0.058472486320777416,-0.2643458152808645
mPW91-D3(BJ),-0.3108883324477502,0.2448959454320746,None,None,None,None,0.08070353522612429,-0.6325628998430217,-0.5229444599193583,-0.1611976391044883,-0.2674896762466158,-0.07534148251975681,-0.23555749900632847,-0.07339778759616668,-0.11656864705422314,-0.14871717000575838,-0.523639987236127,-0.12610649218206543,-0.13946631350140687,-0.1831954094004854,0.13650016010233557,-0.06440628948745629,None,None,-0.7167631086688468,-0.18892963450234918,-0.7629860287283254,-0.2106587402438583,0.10873076477784352,-0.2068209489087456,-0.2420350522574778,-0.2974502969160311,-1.4638071815874238,-0.15364467419225955,-0.970777426582706,-0.38716976061666836,-0.13915584600213068,-0.1272057682536478,-0.19160087335976456,-0.11735598096621912,-0.290283544781729,0.10561297432027188,-0.2603244881183484
B97-D3,-0.2721025331521952,0.07183800163418218,None,None,None,None,0.10841403163443843,-0.983232637878971,-0.4658443639042592,0.023453617418942023,-0.23874134798525334,-0.13611323709028253,-0.1884802282495575,-0.12406435640131712,-0.03073158658388187,-0.1488766521466191,-0.4471680363727168,-0.10019759084282562,0.00982911708769732,-0.13317845758555955,0.008871246215099313,-0.13703165720591248,None,None,-0.7088874464818069,-0.3207220815494467,-0.5986862710663283,-0.3491991186749189,0.08843752858158821,-0.4953658906006001,-0.23773971472500835,-0.33805264800952395,-0.7133508503217523,-1.2827629826198166,-0.4597153271824745,-0.11787209081389706,-0.08342696750703099,-0.14441287182630153,-0.0006624828533408529,-0.06574369222113349,-0.4067816609654019,0.19075925763592494,-0.25632061062806283
B97-D,-0.2536131516877682,0.0865757431033012,None,None,None,None,0.1765137435749799,-0.9795796009198725,-0.44784063133686214,0.020692502780017857,-0.22846232663221394,-0.14162637161666045,-0.1533522864762973,-0.12038733194713616,-0.03087055368088685,-0.16221775450479625,-0.444984268396417,-0.08514403647276778,0.03238907110625392,-0.13659520756542598,0.01273533684569448,-0.13695487516810512,None,None,-0.6736361380985315,-0.33590363752570535,-0.5876488837854128,-0.35738984381879285,0.1522745483316235,-0.48567343303959903,-0.19417566779963266,-0.28430903265490365,-0.6964531383973424,-1.2550330803875387,-0.43758036608216794,-0.12951919644508367,-0.06551178317088042,-0.1417357313546365,-0.0012691508309840478,-0.07801396989345094,-0.39781655000674865,0.21286277052663674,-0.24303484120633648
TPSS,-0.31414747847193164,0.23332359556064183,None,None,None,None,0.16077548208274017,-0.5940345136594173,-0.45676386078828984,-0.03251724710607949,-0.2445804652603609,-0.1930541160467045,-0.20128467760868232,-0.17684783891607647,-0.08714946247863513,-0.10002167429504928,-0.5254448343340916,-0.1669112950327938,-0.0928843949556413,-0.15624466151973515,0.058956133881784806,-0.0761768375659487,None,None,-0.4212469536970145,-0.30579127159340325,-0.5975112764839858,-0.3806073077464215,-0.012717405314652852,-0.2075329180605184,-0.17089746341891454,-0.38272742915577235,-0.9525172707079367,-1.0441214903205822,-0.4556857431639023,-0.14055184301216433,-0.12021647098381426,-0.12747091310040284,-0.10321567993509173,-0.09567360140991402,-0.2559688698218558,0.056937229545898,-0.24118124513596445
PBE-D3(BJ),-0.31953697835310374,0.19316071256104883,None,None,None,None,0.13631775838310012,-0.5469595314673288,-0.4880588287923381,-0.13726390367515853,-0.21372970220140594,-0.0934570729762621,-0.1868324566374804,-0.08591584045678044,-0.11291568754607226,-0.138741517487828,-0.47833578286870393,-0.12563584665406294,-0.1398577794361728,-0.17995455306846111,0.1480821819329297,-0.07366021038793401,None,None,-0.5732131012863121,-0.2096861920903702,-0.6215151050417139,-0.24273049385359527,0.14023937184434457,-0.18034832609504486,-0.1731257290249622,-0.29209380389917333,-1.131068274384909,-0.43362380236836046,-0.8423606504530864,-0.3270510288181647,-0.13319637452746177,-0.12394619284264721,-0.17221710727999295,-0.12713852667689843,-0.2561575835908977,0.06832214022229875,-0.23539460609163781
mPW91,-0.33762163709799553,0.2611281428951187,None,None,None,None,0.244129401937217,-0.5400644681700244,-0.4943608828042335,-0.0725553261017111,-0.21071489409340383,-0.12058458503418895,-0.17068071163657314,-0.10554392463383547,-0.09106480093396994,-0.1417881590995203,-0.4810660421866266,-0.12637793698015298,-0.10451986124474548,-0.17255640256289653,0.12911906004390236,-0.07103306580930788,None,None,-0.540324166590089,-0.2513866233830862,-0.579861675032325,-0.2917282060606227,0.18610737599766772,-0.21636947907405926,-0.13441123893176354,-0.30055059553147295,-0.6882887199451325,-0.9752322969147124,-0.6964338038158455,-0.27010714074932285,-0.11426938981757304,-0.12855797761123886,-0.12567163026837264,-0.11949786677347429,-0.2614459427091378,0.08695764876590095,-0.22297855060993355
PBE,-0.3340325022552431,0.25114694846473423,None,None,None,None,0.2018271970613829,-0.49839002968933765,-0.4821672461395406,-0.10270765600176698,-0.18600055093476653,-0.10531301011405572,-0.15739083514553104,-0.09254067953521675,-0.10517071058108719,-0.1372788852158844,-0.4688326321317402,-0.12459413075050664,-0.13148781513964786,-0.17841603599828534,0.1513410401810829,-0.0664920158376165,None,None,-0.4999163504627316,-0.22241309123892553,-0.5690439848262403,-0.263800136425779,0.17374576301101036,-0.17129992666303648,-0.1305933833035254,-0.2828420832379687,-0.8027249445717672,-0.7160652500709229,-0.7642705020690236,-0.292282308149241,-0.12472492246910488,-0.12205320788253086,-0.15874173955749488,-0.12725687405840738,-0.23857573539468135,0.06702253767140082,-0.21700932470727768
M11-D3(0),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.194057414409861,None,-0.194057414409861
SCAN-D3(BJ),-0.16290386778630583,0.1559436333739461,None,None,None,None,-0.05331382322025095,-0.3957770470764627,-0.30665042118423663,-0.12189080339934781,-0.2541584720691742,-0.013504166073152744,-0.24048331823222346,-0.020964366811022855,-0.07570423815298997,-0.05873318910668159,-0.4263538022699008,-0.08515327966013761,-0.12304535414804982,-0.07108133758339813,0.11778141188604327,-0.03548084201213711,None,None,-0.5340086130189815,-0.10419033250584489,-0.5908012085732096,-0.1452905128818013,0.12937899868332683,0.06587470835837163,-0.14181771988519326,-0.2272637391765775,-1.4567584917081224,0.03174789810403421,-0.6878767593289686,-0.16359411345165611,-0.10803505056983971,-0.02224291299652759,-0.14832857029805252,-0.05621055590711941,-0.16231181638979017,0.028677123372365075,-0.1795701375471964
TPSSh-D3(BJ),-0.2274340376944209,0.1628753249428931,None,None,None,None,0.08762598540515537,-0.43277970922724374,-0.3438777304968937,-0.04278867901126893,-0.14975774882007675,-0.10800485771389759,-0.12403673388996064,-0.09524794684130218,-0.07131252779422283,-0.061423760108067445,-0.39085368336876936,-0.10660004207503988,-0.08142731554907913,-0.10144766454577386,0.07855440664108888,-0.040433987921113995,None,None,-0.3759432732142082,-0.18826953148823322,-0.4796198655725,-0.23808458886517356,0.025948165202929963,-0.11324702818855885,-0.14463119503103933,-0.26660434044550685,-1.1658659851499868,-0.38365786355400966,-0.4541381128520905,-0.13996572798007645,-0.08267836842044585,-0.05865464933909017,-0.11368653615430922,-0.06463570587243037,-0.18393633859281378,0.058595117451532806,-0.1782624037815001
SCAN,-0.16713685808514805,0.1727776710427932,None,None,None,None,-0.04055392093907006,-0.38358350538555713,-0.3045808470466362,-0.11564902879197776,-0.24831714773394314,-0.015198944356109025,-0.23460364268840303,-0.02175848140860068,-0.07478538040386676,-0.058376563272979805,-0.42441962804333966,-0.08527432404004788,-0.12272608619333722,-0.07076788784857534,0.1206562113755475,-0.03302065828294041,None,None,-0.5194555537026191,-0.10548147445861665,-0.5826467724734739,-0.14858683940462322,0.137167220021075,0.07072278258108146,-0.1310710778290415,-0.22543778995742517,-1.3785251887000318,-0.025523773857816647,-0.6755455866140432,-0.15649661867756945,-0.10664089545877946,-0.021478289201279633,-0.1467687221721759,-0.05616574831362175,-0.15750753651455715,0.027626064951989125,-0.17525374505232558
TPSSh,-0.24523477096293034,0.2397003745195746,None,None,None,None,0.16048167759185983,-0.3758130468870912,-0.3364628243120219,-0.004899616143144867,-0.1182250460241856,-0.11991633901126669,-0.09094660329838213,-0.10148341466709311,-0.06397977244915093,-0.05971834084694506,-0.3812317136200633,-0.10569204807918364,-0.07410963865577626,-0.09978818822302081,0.08412161715428676,-0.02990003823229185,None,None,-0.2948661188938455,-0.19984610095954594,-0.426521663830634,-0.2595275905780959,0.0650501030997575,-0.09858705893701579,-0.09654449864728573,-0.2558294875081367,-0.7902328996277277,-0.6961251086589753,-0.3740325437923664,-0.10232200489119783,-0.0738240297783972,-0.05598035718726913,-0.10107029861092626,-0.06453788573006308,-0.16215400747989372,0.05697052575293802,-0.15702996551126408
M06-L,0.043477183785595855,0.035435334594592846,None,None,None,None,-0.051833997711664144,-0.8675894421898036,-0.19774491293230492,0.15742202556322216,0.14587343549700893,-0.10350429757951322,0.014700801316299519,-0.09621639025462582,0.02338587319721878,-0.013243718587819678,-0.12905238260681573,-0.02861916989508595,0.0688449939890818,-0.05727953621530104,0.0772449143330642,-0.11305462144079748,None,None,-0.3165853793385316,-0.2611683558437053,-0.1034047021814523,-0.26237872423051284,-0.26187983592737946,-0.4763274131311864,-0.11713210661824251,-0.2613137564201921,0.15631357928099393,-1.7675184384232832,-0.29534775600001795,0.2019884844243875,-0.05270879669272861,-0.047920051363086,-0.007873266188407632,-0.03472677567196188,-0.2007987007894592,0.1511831833841175,-0.14025979774634154
M06-L-D3(0),0.04361735955440527,0.032496844592635805,None,None,None,None,-0.04809014143243358,-0.8694631850640405,-0.19762709297678044,0.15912159401160728,0.1482279731688468,-0.10430319623515431,0.016613785340629447,-0.09681751439514846,0.02411021982759826,-0.013299272128183486,-0.1293898708233534,-0.02831589861167437,0.06971554037209281,-0.05720666002960266,0.07547942891704683,-0.11315142309549077,None,None,-0.3149601238128794,-0.26272888552658735,-0.10136056607034373,-0.26401021321826434,-0.2604972982220262,-0.47920833937171775,-0.11884959229910756,-0.2612647487831626,0.16690935947949959,-1.7804479268576028,-0.29136061321911305,0.20272930531153177,-0.052097000102542555,-0.04836035858921309,-0.006231700405075602,-0.034844640041701874,-0.20025852826002066,0.15210981484413277,-0.14008371011531096
B3LYP-D3(BJ),-0.16988525604463772,0.10264662491579771,None,None,None,None,0.1565028405502015,-0.5399625000007505,-0.28460785053289145,0.03677350300724848,-0.09072153367557076,-0.027612879773976154,-0.07491311916217885,-0.020143459665274015,0.008711224805946311,-0.07281670385266081,-0.22163455844998484,-0.03227036679037528,0.018060196002909586,-0.03956946510817643,0.056427851371300616,-0.048502161098472434,None,None,-0.6232299391006975,-0.15380841060392572,-0.40189713305565383,-0.12917052010905244,0.09122976241398567,-0.30783135401790823,-0.12482992974906945,-0.16573694846677184,-0.297568075147492,-0.8974222508378038,-0.25248785077596325,-0.046116045462018196,-0.04565417715428917,-0.07052415802193289,0.013229321723930817,-0.023768673480593017,-0.19965589272878195,0.16251151729324342,-0.13100689918839828
B97M-rV,-0.2254259900930013,0.0579341595595111,None,None,None,None,-0.06348454536943621,-0.46912706849430885,-0.063787471601655,0.07714495672863768,-0.023421542759405268,-0.01155297263428215,-0.05526130959972624,-0.003460326309377578,0.02710750650382758,0.022826032337506803,-0.19233043992067017,-0.03150261110491112,0.02145180264061962,0.0013124712728398618,0.012593846242396482,-0.09349598176495526,None,None,-0.5015082026811483,-0.18527358662995416,-0.25338201293672263,-0.18306072807789164,0.03203710368652643,-0.07666232084293306,-0.058706266418808044,-0.2649206599802847,-0.12595841735480245,-1.0206116317823304,-0.3262201882315487,0.10290994907887657,-0.03439392853421337,-0.019776902915103964,-0.0015802981677491379,-0.011356638744756242,-0.11389465690079789,0.026519573416454126,-0.11189775828843271
B3LYP,-0.19320049588056792,0.20178566583466842,None,None,None,None,0.2677850488653092,-0.4583310425693824,-0.2767350368857637,0.09668197703663528,-0.044846302417295425,-0.048359011927054725,-0.02506613988024622,-0.03170537060816698,0.022733383951806532,-0.07038755760237027,-0.20570111438335723,-0.02971676765561623,0.03433451476911133,-0.03713955359246871,0.059318052079725556,-0.03641339523700871,None,None,-0.4972843653905581,-0.17578329187861502,-0.31044425310200413,-0.1651101801951418,0.14547636108020548,-0.2949488339802212,-0.05441062070565814,-0.14803028757146544,0.24264703471313537,-1.3680088815172629,-0.11606574079676595,0.013214740849185764,-0.0311792525933161,-0.06747460901159873,0.036159188587426665,-0.023915535780044756,-0.17200015170177674,0.16165433853080907,-0.10001298573793635
M08-SO-D3(0),None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.08440814366610949,None,-0.08440814366610949
mPW1PW91-D3(BJ),-0.13632987906561395,0.25673011359534326,None,None,None,None,0.05516977004396914,-0.10195548777963243,-0.21858912509380707,-0.08671233687153598,0.029042085037388088,0.08941005648633125,0.022107354321940678,0.09535571061788586,-0.06232999436420869,-0.04136387606492319,-0.17508972716721447,0.015244261496381766,-0.09247132055224123,-0.039188503165445907,0.18139516712353812,0.0467040974182468,None,None,-0.40366713664891596,0.05577949308185614,-0.36339237848631784,0.06766392002381376,0.2390247959697435,0.06180887580819202,-0.07100798685503544,-0.006559731894921905,-1.153124465167762,0.7039185323614804,-0.7346061059679565,-0.26476823353485357,-0.03063531758405829,0.04802037570004842,-0.18263858394463106,-0.0336295891023046,-0.05513166727930347,0.09991634385479577,-0.060719458156936905
HSE-HJS-D3(BJ),-0.14888668872195684,0.21856412935091218,None,None,None,None,0.15269661829717376,-0.015400209218068468,-0.19456298415767248,-0.04339222935928464,0.07842596598240707,0.05968957832434204,0.07216221780909064,0.07412156972389208,-0.051571135268326844,-0.034534580304998064,-0.14062235093466946,0.013566227250166018,-0.08214412900188398,-0.03660441571928681,0.1930039248007253,0.034873001239354336,None,None,-0.24590620623964554,0.016138501793799446,-0.20865701082395055,0.01281682345213959,0.30138850358938335,0.0762306544487734,0.009740451274015465,-0.006047853391409701,-0.6831549385438407,0.23008342670582602,-0.5618089680021414,-0.19530366647227834,-0.018795121996489125,0.0474968507664038,-0.14790509790863204,-0.04388674828343894,-0.025406970745454525,0.06946614851358722,-0.0340035197714288
PBE0-D3(BJ),-0.1464248370339768,0.21175007099708387,None,None,None,None,0.13264339745285178,-0.006771512123849424,-0.18728607867947422,-0.05308590772823934,0.08384768618216899,0.06671989231006452,0.07515219420707797,0.0801610651217668,-0.05445179536678535,-0.03231659795624715,-0.1298301217418186,0.01681339972254147,-0.08755400600098506,-0.03573148234302509,0.19129865459859746,0.03847598794304344,None,None,-0.24555303777765256,0.02910133831012148,-0.20604259871326838,0.028157522762622865,0.2880859241909918,0.0868508404464321,0.006422531856914867,0.001609531502391879,-0.7649285762273926,0.3521542216927607,-0.5868876559690084,-0.2020866439386787,-0.019776675395598853,0.051981708604649596,-0.15726578857572315,-0.043431747611786475,-0.02266001395911466,0.06526261826194435,-0.032655458082738856
