method,amide21_IEF-PCM_forward,amide21_IEF-PCM_reverse,amide22_IEF-PCM_forward,amide22_IEF-PCM_reverse,basicepoxide1_IEF-PCM_forward,basicepoxide1_IEF-PCM_reverse,basicepoxide2_IEF-PCM_forward,basicepoxide2_IEF-PCM_reverse,borohydride_IEF-PCM_forward,borohydride_IEF-PCM_reverse,carbonate_IEF-PCM_forward,carbonate_IEF-PCM_reverse,cl2co_IEF-PCM_forward,cl2co_IEF-PCM_reverse,diazonium_IEF-PCM_forward,diazonium_IEF-PCM_reverse,epoxide1_IEF-PCM_forward,epoxide1_IEF-PCM_reverse,epoxide2_IEF-PCM_forward,epoxide2_IEF-PCM_reverse,ester_IEF-PCM_forward,ester_IEF-PCM_reverse,furan1_IEF-PCM_forward,furan1_IEF-PCM_reverse,furan2_IEF-PCM_forward,furan2_IEF-PCM_reverse,furan3_IEF-PCM_forward,furan3_IEF-PCM_reverse,imine_IEF-PCM_forward,imine_IEF-PCM_reverse,iminium_IEF-PCM_forward,iminium_IEF-PCM_reverse,Average
wB97M-V,0.007399953073512347,0.026128648535217465,0.0034568396836472974,0.04886891308808484,0.060149595097562666,0.056268772727807156,0.05388886323901966,0.06524254293639739,0.023994986303525652,0.0181128368303981,0.00529802041089738,0.044881747325152994,0.07654276333187918,0.023534442966872304,0.061121229887468785,0.001830617564356726,0.042958531923607324,0.02532050026689789,0.016400290277358842,0.00953320145097755,0.0037869307951467136,0.007199685677295668,0.011000871096800553,0.014807607372836753,0.02388435337363384,0.02640252557701606,0.037894886534626186,0.01732613680559358,0.013154646492010955,0.058834154148262756,0.09845183804566304,0.060914783043643166,0.03264349112134909
CAM-B3LYP-D3(0),0.07567762665890708,0.05208393493676266,0.07465608276187652,0.06055047594536684,0.040406173347497146,0.06583129951183488,0.043756543342645615,0.08835182710685852,0.008307095197199176,0.04438374281750232,0.005002106747153346,0.09543327396479082,0.02690789351496128,0.005181591783242175,0.08064311364033298,0.07752112829975355,0.08586976956525318,0.001151601458969094,0.05422480295774727,0.01564146607415721,0.016339617644026895,0.048639050530756275,0.034551581320390976,0.02122049303315248,0.023657919151945157,0.013795244499194314,0.058226602425900206,0.025651461278614295,0.046366962928778024,0.02502064264617156,0.07071713561262834,0.025809723258145612,0.04411181199882862
CAM-B3LYP,0.17603080450490607,0.023838526227233592,0.08711187525619349,0.08613184505703642,0.04406280590497604,0.0552300809360322,0.06132897973475381,0.08456001103539705,0.010272634483819059,0.04857015956380562,0.003988593664189887,0.08077723841590932,0.026350348256943518,0.008800509344741114,0.09403571028172371,0.09721443209369598,0.06803231046361527,0.0068443379050059094,0.03815363855068998,0.010641907389659661,0.025679424561854854,0.033106979333475305,0.006742455609101103,0.01961226936158639,0.0030676485143434776,0.037673068401561205,0.036173055267650876,0.022523946230749655,0.03595259959352119,0.017716879753073334,0.062153084891163286,0.032732629954277455,0.045159712204458934
wM06-D3,0.0664252173153865,0.05194411187864787,0.025262333161070807,0.10662044555322005,0.15301510180415306,0.05441929822462468,0.1490341056613062,0.07277783946806289,0.007297094374780193,0.042085389060675736,0.057468736917885364,0.12389965557071861,0.02308614773203376,0.012712744023226833,0.01295811946827431,0.062149022038697106,0.00846259486987599,0.011120846066175841,0.04666084212414169,0.03853371756274591,0.02154720748259241,0.07301360765809001,0.013691215954654683,0.0837268176405115,0.0167876472766313,0.024169016588177807,0.00580084216244187,0.05696357635484887,8.827656500337753e-05,0.04048751260865657,0.04037372524156187,0.03251065567982267,0.04797167075277176
wB97XD3,0.09421125949616703,0.020556869483032893,0.025230174729273608,0.13385312758897236,0.10723487374034789,0.08287905113122387,0.12142643148591771,0.11385938257622465,0.009767193613225323,0.027709130241207833,0.057672452343459565,0.13040231756884701,0.006750510181847358,0.022133293171046127,0.06020644337859897,0.06225701047910637,0.030348461675846376,0.008759582362499827,0.007187533572300277,0.018418155426066677,0.024592138651709502,0.028025280315071826,0.04937051237515337,0.05140689906778599,0.005766995090257126,0.01757362902211776,0.06094792474369073,0.020408127180101703,0.0051095607077686,0.10032329681507662,0.07941321060422624,0.0010295802137995395,0.049525950282249084
wB97XV,0.024997844525302994,0.025712897108470304,0.005241319756950793,0.042441289244684474,0.0971022137035242,0.09907263146290739,0.10848544067961327,0.12503779576269247,0.024485890843906715,0.005500282180403162,0.03241493154461647,0.09941594263357735,0.08127671970953784,0.012450464780661514,0.0389115636580321,0.07861183196240838,0.010756177482534952,0.02616752303208001,0.007401831511098329,0.03538438441400614,0.011349642813178809,0.048631070253379656,0.04553035797317939,0.042956510364728015,0.03984014416522745,0.013239988898807462,0.059073298744355775,0.05132249258744207,0.0010270697396634262,0.15275302775552396,0.13987065829129386,0.01871659836903419,0.050161869873525715
wB97XD,0.10143686308655395,0.04663750791945891,0.041631816146939185,0.13282438156389859,0.07729713092195063,0.07685941869376162,0.09329719096344462,0.10563620906243833,0.022448116905818338,0.037506031534391235,0.038867600758975475,0.12080230980100158,0.015148930653583739,0.019526081854241057,0.08921361346113474,0.05789280260778533,0.051974729988561924,0.01661234613466229,0.013822246866059073,0.011679363784255771,0.026825503422581016,0.05060850826007377,0.042253046889386546,0.045978842466933796,0.004042698470527853,0.026978756906265017,0.07650421136682022,0.006408323839237585,0.0071947240298204295,0.0818831269727675,0.0773436611821761,0.004087403826761522,0.050663234385695866
M06-SX-D3(BJ),0.19355863173558902,0.1090178763996772,0.04919721115403224,0.1044829737580823,0.09225655997621146,0.12891120233561157,0.06407037318052484,0.1366287174476788,0.020732396587674135,0.027067371699113434,0.015397983229095871,0.1455107099900305,0.0063179468863466814,0.004688222454685137,0.0032031972004622163,0.09448992988706284,0.05756171749099965,0.014112908294810883,0.00025291236938431897,0.024641598529542716,0.015639358414814557,0.02069245292550064,0.010258114164419407,0.02016179590761426,0.01788839757519211,0.0009923364014605908,0.12155781341479205,0.044566110859485523,0.021830032781555434,0.11652408544726489,0.09826848491176525,0.017319744688417148,0.05618122400309055
M11,0.04939544698673831,0.06439831522978022,0.033457897988356286,0.06317769307698656,0.20750087442637957,0.057797740477392896,0.20941766351356403,0.09350583497851939,0.057653256769209876,0.10582629760863839,0.1073556468822403,0.1476591425378018,0.04000481391389317,0.0015982259234735012,0.020823070332252735,0.028437734003121842,0.014594531476241252,0.016264393874617894,0.09604042274629661,0.06008368783169741,0.019602585597741324,0.07479723329442622,0.04204070545152213,0.07040937072373997,0.017706578977413165,0.0073724942182755515,0.011795728020631361,0.007697194521049096,0.05007133244531139,0.002843967010964241,0.016450959729501807,0.03316570995232607,0.05715457970375326
wB97X,0.07753670950604938,0.02292246261047254,0.011246704250636595,0.16655302887376372,0.1502331960269637,0.09264466475825552,0.1616441922369719,0.1227416189172726,0.015205345644216146,0.01417569555576996,0.08949933027874545,0.14791614604655626,0.013823438868072298,0.04641018857560262,0.03893859818264033,0.04647092630400317,0.016211570655672133,0.0021789133554122714,0.02208005795866093,0.030367962824451752,0.030600796732528877,0.03888140440153047,0.05176382575434465,0.06371086827820546,0.02297391688557009,0.02236773347364566,0.03703147425606954,0.09051259577183275,0.026175611602475266,0.09067556569527961,0.05551369921339485,0.023033798228049216,0.05756381380384737
BMK-D3(BJ),0.025917652431013845,0.04309049104608073,0.011175040361991864,0.14795156889921537,0.028243401370281106,0.10543203904640219,0.0341783019742527,0.1193534050523244,0.039850193607782074,0.0912223914958821,0.05697109755607544,0.1389316166102852,0.029983151795029563,0.045154703563455134,0.1373088921970279,0.058897757706239146,0.026693097168262285,0.03454360284347675,0.007178012117666185,0.04877101903914538,0.025816112866430273,0.04229158603156464,0.09062535672454451,0.08788165555774054,0.014220477543024664,0.010287845882252067,0.0808189842868129,0.07753956081978376,0.011440595088827473,0.11873979273994048,0.068136860866924,0.02748388799755715,0.05894156725897787
