method,aceticanhydride_IEF-PCM_forward,aceticanhydride_IEF-PCM_reverse,amide11_IEF-PCM_forward,amide11_IEF-PCM_reverse,amide12_IEF-PCM_forward,amide12_IEF-PCM_reverse,amide21_IEF-PCM_forward,amide21_IEF-PCM_reverse,amide22_IEF-PCM_forward,amide22_IEF-PCM_reverse,basicepoxide1_IEF-PCM_forward,basicepoxide1_IEF-PCM_reverse,basicepoxide2_IEF-PCM_forward,basicepoxide2_IEF-PCM_reverse,borohydride_IEF-PCM_forward,borohydride_IEF-PCM_reverse,carbonate_IEF-PCM_forward,carbonate_IEF-PCM_reverse,cl2co_IEF-PCM_forward,cl2co_IEF-PCM_reverse,diazonium_IEF-PCM_forward,diazonium_IEF-PCM_reverse,epoxide1_IEF-PCM_forward,epoxide1_IEF-PCM_reverse,epoxide2_IEF-PCM_forward,epoxide2_IEF-PCM_reverse,ester_IEF-PCM_forward,ester_IEF-PCM_reverse,furan1_IEF-PCM_forward,furan1_IEF-PCM_reverse,furan2_IEF-PCM_forward,furan2_IEF-PCM_reverse,furan3_IEF-PCM_forward,furan3_IEF-PCM_reverse,imine_IEF-PCM_forward,imine_IEF-PCM_reverse,iminium_IEF-PCM_forward,iminium_IEF-PCM_reverse,lactone_IEF-PCM_forward,lactone_IEF-PCM_reverse,Average
mPW91-D3(BJ),None,None,None,None,None,None,0.060911482120659846,-0.6756572081964927,-0.6114245763674148,-0.2003142283177456,-0.27834469851359017,-0.02317590073773595,-0.16288562172231558,-0.03999411245197727,-0.11710563052541927,-0.14552963801993907,-0.4626851294368353,0.03369084811256797,-0.14875559011056833,-0.18984486976663179,0.1614134416232331,-0.042919824819196234,-0.6533122849736451,-0.1581254736542171,-0.7005688776030177,-0.18963155043539864,-0.8732416162555524,-0.18160994993429805,-0.20946727028061715,-0.2587285280864311,-1.2327295519072847,-0.4368881083820136,-1.126024503298117,-0.3581271932651912,-0.15373193652273337,-0.1395759900683471,-0.1922438862346387,-0.11855918481796603,None,None,-0.3070370988390272
VV10,None,None,None,None,None,None,0.06336699935455299,-0.9295621336136839,-0.5626973741619445,-0.11213347802987673,-0.2805007876734617,-0.10270009532372706,-0.18736085214169027,-0.11795407744779707,-0.06669465682723713,-0.14343180730541272,-0.4419568115952749,-0.007558366764798194,-0.05349961613755901,-0.15989978853479878,0.052151793802244634,-0.12286994061588392,-0.7579332872185335,-0.3003507300441727,-0.7027098773204249,-0.3253883628068521,-0.8541594901520472,-0.39248291484737635,-0.2344010467541388,-0.3761237001162974,-0.026515655973505914,-1.249148144639272,-0.6256473743130536,-0.11417157831293454,-0.17517298795982478,-0.21322854573034927,-0.020382650538949984,-0.09140551596997026,None,None,-0.30101633924106413
BLYP-D3(BJ),None,None,None,None,None,None,0.1550177930333724,-1.092277105560428,-0.6362391063390068,-0.05887808777430248,-0.3353624923997674,-0.10899132565142931,-0.20324456784625353,-0.12303404232496919,-0.029007278814303834,-0.16428156875745045,-0.4206527619348796,-0.012458079014910379,-0.009583842271964514,-0.16242104449110709,0.006090814194211514,-0.14085308737347818,-0.9093438939370478,-0.34897905536668233,-0.7143033392071487,-0.3412643834796848,-0.8303766121535201,-0.5613629654522097,-0.2583765721436683,-0.4012626584290856,0.6197941666213773,-1.4472791874915687,-0.4557591814126468,-0.10473497840401097,-0.14757245960059825,-0.24019777052118763,0.03598351152198629,-0.08604886627640851,None,None,-0.2977268759080866
rVV10,None,None,None,None,None,None,0.0740813264907265,-0.9394145264878321,-0.5643310546128594,-0.1034066414929519,-0.27525391636906416,-0.10477803551949202,-0.1809968849188771,-0.1192876453614065,-0.06331422646768999,-0.14384487043669228,-0.4371954346098112,-0.007483586290722483,-0.04800855695140568,-0.15936506349694293,0.04899697423751993,-0.1246371733814075,-0.7523741824970205,-0.3051833627389052,-0.6894825634440463,-0.3288006808428333,-0.8497120333124509,-0.40525286312073505,-0.23203737682924094,-0.3766683592828587,0.06910053462485552,-1.2860760155451467,-0.6015618347675434,-0.10795894186591652,-0.17307209460658848,-0.2150081571926565,-0.013702460441135142,-0.09028298766989391,None,None,-0.29707227172503203
TPSS-D3(BJ),None,None,None,None,None,None,0.08069276743884941,-0.674822761535559,-0.5709169353104059,-0.12237146438739606,-0.2764720330960878,-0.11549800217173405,-0.14649830200154676,-0.12608617550348913,-0.09720336611182269,-0.10091527168574964,-0.49025940530212087,-0.023760978534084702,-0.1130055690454372,-0.16546462173695883,0.07938571721693992,-0.06806957127408865,-0.42084827584327295,-0.25491460291899254,-0.5768419577629791,-0.3202623984243693,-0.9073254160615555,-0.21504661920287213,-0.19775868850814896,-0.3649884651103113,-1.0886579118298472,-0.7864792822692283,-0.5811698646040037,-0.15250267976855295,-0.14574485270205711,-0.14509771077739378,-0.11577663741342588,-0.09660368449677624,None,None,-0.29066515689795247
PBE-D3(BJ),None,None,None,None,None,None,0.1261653853900995,-0.5734708578499449,-0.5755549722826061,-0.17623641082896935,-0.20444562861434254,-0.036276373003656756,-0.10061276217505291,-0.04781980614147124,-0.11286074044644608,-0.13558121772553974,-0.4052621584665952,0.028101648955104645,-0.14740239434006108,-0.18595500930603134,0.1667223693054515,-0.055155221337434626,-0.4842590295215011,-0.17479066759834505,-0.5401417687837732,-0.2093618302556533,-0.83814854296198,-0.14801713635040004,-0.1435900930724228,-0.2579041777183564,-0.7921959747551806,-0.5939634204351703,-0.963837806955609,-0.30953157449886715,-0.1470996355532966,-0.1364756562035575,-0.17077641245822875,-0.12823956327591457,None,None,-0.26481179497705476
TPSS,None,None,None,None,None,None,0.18486592773154292,-0.5972390305549979,-0.568264113981416,-0.08135699986461993,-0.2491593794701092,-0.1267871198093821,-0.1016833766939477,-0.13085780537892538,-0.08765030065225217,-0.09904990212193115,-0.4721871324721263,-0.029430125414825467,-0.10047173747909131,-0.16317193114772316,0.07569679507801623,-0.0617011793211592,-0.31539767222350845,-0.2637588986066245,-0.5006399895230448,-0.33722034587525973,-0.8818166850731018,-0.19714876312471147,-0.1480705717246349,-0.35680937505278265,-0.577143793627138,-1.0075432820888033,-0.4472096039087809,-0.1277919144475235,-0.13499329930522658,-0.14283776017394115,-0.09787941184219283,-0.09654957618200766,None,None,-0.2575393235728822
B97-D3,None,None,None,None,None,None,0.08455534186300022,-1.014342149798419,-0.5392107190929776,-0.014574130959019587,-0.15755044547496289,-0.06322191057341638,-0.058683902567773435,-0.07463573263035993,-0.030528640471038006,-0.1486964115539015,-0.35041314000215934,0.031060303864709763,0.0019632712465289586,-0.1413867675149214,0.01353619605659478,-0.1284466985021303,-0.6509778333829538,-0.291365674771936,-0.523163748408795,-0.29717204458941476,-0.8514541768316658,-0.4847946003178074,-0.21037300136644355,-0.3072622879811003,0.21776405964680234,-1.15441145547777,-0.5248686169009831,-0.10140803357409058,-0.09799290602241278,-0.15967067367916168,0.006636270830882773,-0.06732246389448528,None,None,-0.2527628975884869
BLYP,None,None,None,None,None,None,0.3263985192644907,-0.9655127340956032,-0.6351156531630926,0.013024262102146413,-0.2879954552454347,-0.13023081698519925,-0.12670437260261178,-0.132664835753039,-0.010092392311188834,-0.1613165761805677,-0.3888051136883007,-0.021231118470844884,0.01625880548894292,-0.15859690680999933,-0.005703462347639259,-0.1337056906817019,-0.7265647119201967,-0.3679628884844099,-0.5748814315850829,-0.3727154569642953,-0.7834524162853989,-0.5379504895949336,-0.1761178519611757,-0.3852473223506208,1.4668151937487857,-1.8193910217146174,-0.2139337184866299,-0.05939163596154802,-0.12838848511354084,-0.23729922763981898,0.06977438681163177,-0.08622655226123427,None,None,-0.2417164741013353
B97-D,None,None,None,None,None,None,0.16231313757062724,-0.9837298104348757,-0.5180347029636969,-0.01754258660349758,-0.148068981936227,-0.06710036524053571,-0.026127603145741755,-0.06840113193911838,-0.029303712570709434,-0.16187472014326712,-0.3382544344734814,0.043899275405856364,0.02524548385746358,-0.1441172388177211,0.012053727371522554,-0.13076902327331583,-0.6101322596327565,-0.306046502685924,-0.503499106715108,-0.31764851752515877,-0.8102354585735726,-0.4693735137802809,-0.16292965347232508,-0.250289253542941,0.21007898247146015,-1.1576863643148818,-0.5182349001753199,-0.11256593354961802,-0.07846031063377831,-0.15622237714137246,0.007132779156529137,-0.07995129453918333,None,None,-0.2408086366247172
mPW91,None,None,None,None,None,None,0.2584778205949903,-0.5521663589678968,-0.5881654086095426,-0.11405923007040418,-0.21901863908674396,-0.06032091626330947,-0.07790786445311125,-0.0641564140774759,-0.09072411431116009,-0.1392403067664216,-0.4039586327957907,0.01815662401819446,-0.11045999140917966,-0.1783842922833893,0.13902323712680736,-0.05700841554571635,-0.44855928004853635,-0.2123659127744739,-0.49331832866555375,-0.24837860348595733,-0.8227029071816401,-0.1848257812420494,-0.10895035125608027,-0.2713597317345306,-0.1581558761278279,-0.9464338322259833,-0.7571979776939887,-0.2691088404690582,-0.12733467458065775,-0.14174248814331497,-0.12058187959115288,-0.12061162113204217,None,None,-0.23973565591415616
PBE,None,None,None,None,None,None,0.2095824662235264,-0.5123890278306003,-0.5734407028496264,-0.14294897237568877,-0.18200033591547815,-0.045828576681882595,-0.06443515616307631,-0.05207932089927773,-0.10457687338490496,-0.13412828050672448,-0.390062321746248,0.02368346089230478,-0.13672700215441982,-0.18407919012436752,0.16324063013133677,-0.05119952842782075,-0.3990212740592783,-0.183094659867565,-0.4764769753693887,-0.22380934528942328,-0.8173082995651308,-0.13530613554114065,-0.10347532051015272,-0.2515718127671473,-0.3793518901463398,-0.7725562248334624,-0.8528735336399528,-0.288619859025993,-0.1381637921959415,-0.1348822111477298,-0.1552514722637733,-0.1282994818064777,None,None,-0.23804534437005764
