method,aceticanhydride_vacuum_forward,aceticanhydride_vacuum_reverse,amide11_vacuum_forward,amide11_vacuum_reverse,amide12_vacuum_forward,amide12_vacuum_reverse,amide21_vacuum_forward,amide21_vacuum_reverse,amide22_vacuum_forward,amide22_vacuum_reverse,basicepoxide1_vacuum_forward,basicepoxide1_vacuum_reverse,basicepoxide2_vacuum_forward,basicepoxide2_vacuum_reverse,borohydride_vacuum_forward,borohydride_vacuum_reverse,carbonate_vacuum_forward,carbonate_vacuum_reverse,cl2co_vacuum_forward,cl2co_vacuum_reverse,diazonium_vacuum_forward,diazonium_vacuum_reverse,epoxide1_vacuum_forward,epoxide1_vacuum_reverse,epoxide2_vacuum_forward,epoxide2_vacuum_reverse,ester_vacuum_forward,ester_vacuum_reverse,furan1_vacuum_forward,furan1_vacuum_reverse,furan2_vacuum_forward,furan2_vacuum_reverse,furan3_vacuum_forward,furan3_vacuum_reverse,imine_vacuum_forward,imine_vacuum_reverse,iminium_vacuum_forward,iminium_vacuum_reverse,lactone_vacuum_forward,lactone_vacuum_reverse,Average
M06-HF,None,None,None,None,None,None,0.12682271057787053,1.0163610475383347,0.009986102477799817,-0.20410749301685222,0.27154861859368745,0.1277834157315182,0.4928842843204194,0.17249093662255516,-0.21148963887336553,-0.06107491557702682,0.14739851419432284,0.27837893432200084,-0.14824427158583117,0.0449321421525003,0.004538853030947892,0.14272846843899692,0.43851879643416614,0.6734461867213029,0.1785946053736448,0.5348631879157305,-0.9711984135595314,0.3559757818935683,0.027037291709131113,0.6874581903244125,-1.7359120606536913,-14.503158401931135,0.2898749972365443,-0.3736199893300382,0.03208059082587337,0.08951062910889972,-0.1348807957801257,-0.01244838531999495,None,None,-0.38165375250260514
M06-HF-D3(0),None,None,None,None,None,None,0.12796544280015,1.012413508483444,0.007752601769163109,-0.20299309052857908,0.27441511739835045,0.12680085401166172,0.49341547943361413,0.17133445391802313,-0.2100503335830929,-0.061066773418326704,0.1474971450990534,0.2782826415064475,-0.14642016067043376,0.0450357082697135,0.0009852277666144713,0.1417266829476608,0.44570968486686086,0.670224037392036,0.18548437621573424,0.5307307485853551,-0.9691560596150847,0.3524930761188252,0.024661949325364547,0.6872409865748891,-1.7375647638641245,-14.473390685466349,0.30257101622716337,-0.37400328319813075,0.032632979211872096,0.08915671137620686,-0.13161196899744215,-0.012898264611724655,None,None,-0.3803320298329714
SCAN0-D3(BJ),None,None,None,None,None,None,-0.16467514019303875,-0.040028369536457734,-0.09169561295786915,-0.10831417179631397,-0.042852908433864564,0.12842582274314324,-0.004817612879602285,0.12866342148233081,-0.06354533750269062,-0.0015767692914269362,-0.15188133017635452,0.2636997255073076,-0.11528353505906828,0.010793373659227296,0.18123732318383637,0.0680148069891269,-0.3901208528030448,0.2718617458435863,-0.24762017363501015,0.2136592737875301,-1.0012744522696304,0.14010422815800416,-0.05391300370253173,0.06191582939489598,-0.949157281082173,-7.521369720840235,-0.8132947700247884,-0.1547967874177561,-0.05423828975618205,0.07479548507442761,-0.1786842800935149,0.0003163351264347481,None,None,-0.3314266571406782
mPW91-D3(BJ),None,None,None,None,None,None,0.043960304651989884,-0.7621113456685898,-0.44100892337712744,-0.1433646026824363,-0.6191989744439741,-0.10118328519253315,-0.4199498045632525,-0.0966900558948111,-0.10768716284475177,-0.1583276672965511,-0.7236246208514565,0.07163356326035779,-0.13557739042783762,-0.1821536196057956,0.14866534978648613,-0.05698922926331826,-0.823952810869314,-0.26198069974465876,-0.6212697223801452,-0.4358135763742598,-0.9944195728812608,-0.22609890137366928,-0.21551774212345445,-0.5030742702098416,-0.44133626108907315,0.6619555715078203,-1.1061675469316075,-0.34809349872427847,-0.17284349037746685,-0.15241839483155847,-0.17135993073091127,-0.12011399213727435,None,None,-0.3005035094901424
LRC-wPBEh-D3(BJ),None,None,None,None,None,None,-0.0005083213364951201,0.0858683404389827,-0.13140642714286085,-0.09053207108785925,0.2808987705067669,0.10621966037653943,0.2933040618485584,0.12026569039179567,-0.06730274252968443,-0.02694135801625415,0.006629670311119992,0.26862189363562544,-0.13121543008631045,-0.04436045242329672,0.17724295717167188,0.08326328177857112,-0.10988339555271537,0.26711509036993375,-0.06538303484264255,0.20070278811618697,-0.9635669707499478,0.11139594145923182,-0.003803081600021767,0.15120661549281927,-0.645789937655861,-7.283264607890174,-0.8653522559479112,-0.222532501518993,-0.04431111440355767,0.05642606365832791,-0.22097766300946536,-0.04792737666256884,None,None,-0.2736218099031402
mPW1PW91-D3(BJ),None,None,None,None,None,None,0.0330988061828877,-0.11316558699602633,-0.1802055624569231,-0.0756203225181698,-0.004421634179463866,0.07587178193076076,0.08161934941547981,0.08630268443017028,-0.058229575647263374,-0.045686149804595746,-0.179715516658802,0.2352569182912069,-0.09383314625959349,-0.03971059851016754,0.18816587093273754,0.05047375591073051,-0.39252840217965435,0.13763754372629067,-0.24215196537401706,0.06611602926328093,-0.974118324256922,0.026332894240446027,-0.052109479522322845,-0.010693936503110048,-0.4604295063461419,-4.8102800064396485,-0.8085217539188373,-0.2277796435489244,-0.052346349468200694,0.021994850365365273,-0.16248257334813374,-0.03489846553122316,None,None,-0.25050181296183704
SCAN-D3(BJ),None,None,None,None,None,None,-0.068097461093291,-0.44032577530853007,-0.26065309979485274,-0.10946310896228503,-0.5849978750881151,-0.047430131838521565,-0.4117389316595366,-0.04523332432655509,-0.07184123375051003,-0.06674855593290438,-0.5821184717400284,0.10707008250094983,-0.12032347787781605,-0.07493752556380581,0.12618308478185447,-0.03355983256530743,-0.5787232991055863,-0.11915651304022438,-0.46198062866638734,-0.28521308506963183,-1.0097845065877953,-0.026909183210839592,-0.11868180120388,-0.39209591363413,-0.6942226945671659,-0.3605522833430965,-0.752798372007447,-0.14493437155906427,-0.13637757043700424,-0.053191798885721134,-0.1313996082740812,-0.056570230315118125,None,None,-0.25021273431645086
SCAN,None,None,None,None,None,None,-0.05075596624705323,-0.4228549620650419,-0.25934763173583475,-0.10443496780276651,-0.5791518914095387,-0.048697552370248594,-0.40117729044836486,-0.04565455786617008,-0.0708981616213293,-0.06635037781921771,-0.5776960269775027,0.10591044106265964,-0.11957219284019871,-0.07455752415226512,0.12766125144248866,-0.03143569313775053,-0.5603031813707363,-0.11991751836483347,-0.4534853357112034,-0.2887522492568318,-1.0084023631296684,-0.023230781191043656,-0.10924147362150509,-0.3905788660793962,-0.6471348474205698,-0.11494812181222758,-0.7358935291165456,-0.14158341379915076,-0.13506196660297357,-0.052569961437697536,-0.1296439513045644,-0.056506990245542205,None,None,-0.2370708642016445
PBE-D3(BJ),None,None,None,None,None,None,0.10389269651362566,-0.6424361636974052,-0.4113636060319688,-0.12423259562016951,-0.5026797976221279,-0.11148861235423548,-0.3155114717074703,-0.10311580463704197,-0.10348077493664759,-0.1476729957813576,-0.6289444147616275,0.0645607878543395,-0.13439987458597003,-0.17846225600487062,0.15377882786467795,-0.07062066866478088,-0.6416570600328765,-0.2888260850389933,-0.49298867201016044,-0.4695967991829482,-0.9761634269451488,-0.2042514174593788,-0.15397914940290058,-0.5014400009091845,-0.22039822604524031,1.7072887259768361,-0.955953104212164,-0.3059321424311284,-0.16760849294603808,-0.15047437866956864,-0.1522735343678178,-0.13015084973367663,None,None,-0.22676816679948184
rCAM-B3LYP-D3(0),None,None,None,None,None,None,-0.08370174223623572,0.1753343713177548,0.03349568819129667,-0.023772189917352037,0.6299690178610686,0.16350072232858182,0.5127843380506836,0.1712241121092614,-0.014607884488470873,0.01847431853481251,0.4552676743703027,0.337171614112595,-0.06829935788776087,0.04342920115652877,0.05625960125995358,0.08638358349755561,-0.24231118246570282,0.3649826592145612,-0.05138949088442464,0.3765472353535108,-0.9486057937668186,0.0720189138064243,0.011538811048435299,0.3448391796255695,-0.48044054023639593,-8.498345315193946,-0.30203929644066674,0.002569165527506567,-0.030332824137923178,0.07447953439679869,-0.11609492864354601,-0.007752228606348932,None,None,-0.21679446978569972
TPSS-D3(BJ),None,None,None,None,None,None,0.06401700749808345,-0.7573868359137029,-0.4054459335944736,-0.07734479295744377,-0.6185391691734149,-0.18814148443183434,-0.39769909194163205,-0.18299002981963497,-0.0897160642649001,-0.1100527569267789,-0.7604959652267532,0.011385141005487893,-0.09952566533508884,-0.15765057819224598,0.06756902535968737,-0.0853043395560966,-0.5594380688182755,-0.4222055684115281,-0.5136300313114801,-0.6569242698555133,-1.01157646892835,-0.2406417083577446,-0.20402111665570813,-0.6780938465607574,-0.3696038616786707,3.0391495830521795,-0.5921485153658431,-0.16567399400280952,-0.15902709601877144,-0.15153510259236708,-0.1014710789692126,-0.0968503107625729,None,None,-0.2084691558971302
MN15-D3(0),None,None,None,None,None,None,-0.27107218798177285,-0.07331633172232396,0.1479982273294226,0.0008569859210315445,0.49181541363839654,0.09928916806756938,0.3302556704521688,0.09500350271402605,-0.03545199889775804,0.028902733393050873,0.2861567815014137,0.2577946799707176,-0.06924151926014774,0.003662554882005496,0.015074940679647963,-0.025037109681916043,-0.14559957865550222,0.13378860624300834,0.04212784854805946,0.1325260197813916,-0.996935428542437,0.022150400745420164,0.009820417732887868,0.07273356417811119,-0.3232534872669912,-5.893081116646466,-0.18766444994796233,-0.05736979495911701,-0.03663685610524295,0.03915149260199719,-0.12548494374235966,-0.06435484147111488,None,None,-0.19048095739064955
revM11-D3(0),None,None,None,None,None,None,-0.15269390084706724,0.18005453104369332,0.0767264836304123,-0.009320695544886773,1.0226545975496313,0.15671174296376336,0.854049512315054,0.17354284684386367,-0.037415981038460736,0.002428886429256639,0.6614497485609657,0.3564995558145556,-0.07551756065199126,0.007231918797151903,0.05455088725388879,0.03956773126678149,0.5294633114729299,0.3920602996630612,0.4471700178883074,0.4059219172337719,-0.9406121699075677,0.085329920678643,0.12066461416399196,0.6173816199453703,-0.2744536692564423,-10.227762632957688,-0.3705769513012762,-0.04113120509772684,-0.007724468330999543,0.10588963560594183,-0.14784525226718215,-0.03157682781029276,None,None,-0.18835254799657958
TPSSh-D3(BJ),None,None,None,None,None,None,0.07709250089580372,-0.4836487673292841,-0.3015828325039671,-0.04768974699579139,-0.3572508034150761,-0.11304691153411903,-0.1798780683267246,-0.10338333108291979,-0.06657277361122166,-0.0676509209022807,-0.5304076907117566,0.08135421509454664,-0.08048616382982049,-0.10147116154017545,0.08755270206857636,-0.041536038820206664,-0.37445214751827527,-0.25299588079916635,-0.3451719930699657,-0.44307215537256933,-0.997626890918073,-0.13691218395469135,-0.1290799376911945,-0.4620487664406157,-0.32649140823979506,0.9765764290531843,-0.47226431040661904,-0.12540871631196546,-0.1073557773665778,-0.08098543874641179,-0.09633174539126553,-0.06539480978986353,None,None,-0.1771131726721338
r2SCAN3c,-0.22557235173355533,0.14164975977527755,None,None,None,None,0.0016620724101994381,-0.3433689352423072,-0.2694615432701564,-0.10221589557798422,-0.22803571474154283,-0.014924801540433557,-0.19889341449643838,-0.010653521597424484,-0.09262947598788203,-0.07532177916733648,-0.43854771259565933,-0.08582953342994044,None,-0.07953634687915084,0.14092625861894156,-0.03698480586705738,-0.55266387177018,-0.15428706551304505,-0.3846786972501673,-0.18160401554343622,-0.0022163663542214733,-0.013380681379258809,-0.09585648632593766,-0.36070389467253394,-0.6446001838882055,-0.16092563974921698,-0.6962839181139561,-0.17001187970185128,-0.11807438868490297,-0.06132033484651102,-0.11698802295231021,-0.05979163653559144,None,None,-0.17245832801829625
PBE,None,None,None,None,None,None,0.18166180414062638,-0.571396301622706,-0.40957509167973133,-0.09627218285670376,-0.47083403082675507,-0.1205166186379935,-0.2608978718592809,-0.10736508936813477,-0.09579121365684388,-0.14612822810217665,-0.6071919997877961,0.05969069137730521,-0.12404740798248678,-0.17660658117048814,0.15034014398923184,-0.0661454716760091,-0.5476166847330977,-0.30256603759358136,-0.44073969149608644,-0.4943512322485306,-0.9663501295497205,-0.19512138515281247,-0.11642589475231747,-0.4907542042045325,-0.007343900437418535,2.9146956332116845,-0.8541752512394647,-0.2877052628060471,-0.15967698950707962,-0.14908099168834316,-0.1381667987441561,-0.1302151858205108,None,None,-0.16333342051506117
