method,aceticanhydride_IEF-PCM_forward,aceticanhydride_IEF-PCM_reverse,amide11_IEF-PCM_forward,amide11_IEF-PCM_reverse,amide12_IEF-PCM_forward,amide12_IEF-PCM_reverse,amide21_IEF-PCM_forward,amide21_IEF-PCM_reverse,amide22_IEF-PCM_forward,amide22_IEF-PCM_reverse,basicepoxide1_IEF-PCM_forward,basicepoxide1_IEF-PCM_reverse,basicepoxide2_IEF-PCM_forward,basicepoxide2_IEF-PCM_reverse,borohydride_IEF-PCM_forward,borohydride_IEF-PCM_reverse,carbonate_IEF-PCM_forward,carbonate_IEF-PCM_reverse,cl2co_IEF-PCM_forward,cl2co_IEF-PCM_reverse,diazonium_IEF-PCM_forward,diazonium_IEF-PCM_reverse,enamine_IEF-PCM_forward,enamine_IEF-PCM_reverse,epoxide1_IEF-PCM_forward,epoxide1_IEF-PCM_reverse,epoxide2_IEF-PCM_forward,epoxide2_IEF-PCM_reverse,ester_IEF-PCM_forward,ester_IEF-PCM_reverse,furan1_IEF-PCM_forward,furan1_IEF-PCM_reverse,furan2_IEF-PCM_forward,furan2_IEF-PCM_reverse,furan3_IEF-PCM_forward,furan3_IEF-PCM_reverse,imine_IEF-PCM_forward,imine_IEF-PCM_reverse,iminium_IEF-PCM_forward,iminium_IEF-PCM_reverse,lactone_IEF-PCM_forward,lactone_IEF-PCM_reverse,Average
BLYP-D3(BJ),-0.005648555783836492,0.016119204245960986,0.008699829491675337,-0.4723408156375892,-0.2646181629327102,0.11640027000109195,0.1961565696300178,-0.34123549338184794,-0.3067923066097735,0.058542378690358214,-0.05732994827646645,-0.3076152546883454,-0.09625164117976508,-0.34326451029307037,0.031257153956674257,-0.3515911832606152,-0.10355095896939012,-0.3540157042828289,0.10066381132316142,-0.2910791431945657,0.028918878716308372,-0.37761403037045593,0.08634251190399785,-0.5256900171476262,-0.1713556459208246,-0.3056763040682691,-0.11065790088232826,-0.2590716391662205,-0.20636489783027925,-0.5311949738582088,-0.26835911346326596,-0.27126973971775886,0.010830098925204732,-0.287981161968348,-0.052086853325455595,-0.049493792773860755,-0.3196851375324261,-0.6292808448952669,0.15702130520876312,-0.10351416977303511,-0.06672313687058398,0.26312202612165936,-0.16088759523428917
VV10,-0.005732146481470443,0.025847013075083237,-0.014468214976650644,-0.3875696881655376,-0.22327118622598666,0.06803395211409954,0.1061341698609252,-0.3016042906838619,-0.260071279768331,-0.021107865347141284,-0.0392798674572491,-0.2964485532855396,-0.08547310495802056,-0.3324172108637335,-0.010442713792160403,-0.3191060914887909,-0.11001467329052123,-0.3594283184135318,0.013310708393876576,-0.2896229985901146,0.0812464118004254,-0.3438209138119837,0.03842453176688666,-0.46207812601250614,-0.1471291786747396,-0.2687405674129775,-0.11200880811580244,-0.2446202768842725,-0.23449714521313617,-0.44839064012098273,-0.24337465362188765,-0.2568950265063255,-0.003510376905039516,-0.23868849455744373,-0.07962691533474524,-0.05358297502437779,-0.369989489420836,-0.5738921381555939,0.08647088531046357,-0.11353961961545726,-0.058357732090502025,0.17602218785532975,-0.1598407481211943
rVV10,-0.005776062959842148,0.02637681631184088,-0.011514387574924264,-0.39260654824082153,-0.2243539169476851,0.08082315228767566,0.11486103727086386,-0.30447144433583756,-0.2608578361691357,-0.0075975821209988345,-0.03790808636179651,-0.30048270320078363,-0.0829905817231018,-0.335588057343323,-0.006891443775691903,-0.31969491353129975,-0.10853866708922223,-0.35734432246010484,0.023573515123261814,-0.2885727718853603,0.07855979218281443,-0.34652622222008095,0.047680720772874864,-0.46370964808522985,-0.14622285673824445,-0.27295773032089626,-0.10978711431347143,-0.24795644622562485,-0.23337352664141153,-0.4549636190979171,-0.2403745178584199,-0.25709883444999065,-0.00021222461043743124,-0.24678843308160758,-0.07556574994359963,-0.04757123661533708,-0.36599479603595636,-0.5772949618209124,0.09495254807643738,-0.11158704928150698,-0.05863748160957679,0.18169841514386226,-0.15841156613096474
TPSS-D3(BJ),-0.005013362794182831,0.06338464140604985,0.013204140694639046,-0.3254609166704064,-0.22072996528402022,0.05343341149094574,0.12301570880651944,-0.2305123884163118,-0.26046844919799855,-0.03493615187671325,-0.02876488452950606,-0.3158929027018701,-0.06167660504227164,-0.3421291690498358,-0.04521680676238919,-0.2504489972642934,-0.1163329862167527,-0.38273897510836496,-0.08784883846760759,-0.2958076736096247,0.10608081981956442,-0.2244163082801554,-0.018159141837154107,-0.40543274512023203,-0.09408840214270654,-0.23463674292729433,-0.09711284148816873,-0.24399149490040922,-0.2093495230958171,-0.35828394759766125,-0.20314495250733214,-0.24952209495511302,-0.04215239895121837,-0.15369412748107109,-0.08193929112758704,-0.09998548971057049,-0.31616821918706633,-0.43588165079784985,-0.04023096870505398,-0.11968851436577216,-0.045796743044970084,0.12976521334194646,-0.1473516841822783
mPW91-D3(BJ),-0.005539595894965078,0.10888718529461602,0.039642306997279934,-0.31193169158981526,-0.20820988313412753,-0.000749789411699544,0.12416958645368076,-0.22397807956055515,-0.29702364530723646,-0.16403954527866105,-0.024124551698856897,-0.17057792046483894,-0.060297055092297984,-0.19202253955007834,-0.06740522722453876,-0.32804270709300465,-0.11025617446529819,-0.3064755898094317,-0.158841361985321,-0.3432585537400777,0.2132316203553684,-0.17421434200583302,-0.05691130474715876,-0.43987537602583426,-0.13403844625473144,-0.14994984562329486,-0.1169710137111846,-0.1343535560758646,-0.15026998995494628,-0.35139439391306376,-0.22416639575491998,-0.18647218997731138,-0.04840583173826388,-0.0832084407816421,-0.17139880404102828,-0.26046301505597863,-0.3329111405405839,-0.42995230850670596,-0.13893785141051215,-0.15746745883533386,-0.04750326517655534,0.18483765830638732,-0.1450207267624814
PBE-D3(BJ),-0.005835922597777915,0.0829019200958024,0.06799558985961883,-0.2801023210875696,-0.1682416971777564,0.0425326198919933,0.17137809464448472,-0.2000007435643116,-0.275272705243633,-0.1281243558546366,-0.0029805755166947396,-0.19597087239847655,-0.03285589291448556,-0.21162459807637163,-0.06345860005672921,-0.3115177163996639,-0.08888084424069367,-0.3056212579743079,-0.15959023331896632,-0.3371277708913674,0.228313228596651,-0.19521376306611046,-0.02100944346728038,-0.42426990479917737,-0.10603121348865435,-0.16710179785821988,-0.08975520818604524,-0.15861536821025557,-0.13890160581923292,-0.3385520553158778,-0.14567701997232174,-0.1829923961443213,-0.027765788916847535,-0.11963880731492245,-0.1441623886010804,-0.21323370919338241,-0.32150748226978737,-0.42327582280610476,-0.11272807311123852,-0.17449700602884013,-0.04238616684916824,0.14127219058019952,-0.13286017821579907
BLYP,-0.006618242184170527,0.07592911585402055,0.09028027337141269,-0.4461858873582085,-0.20540544631626062,0.3357569763905349,0.31404595733328633,-0.3129922860748094,-0.3008718406794942,0.17048482649043534,-0.03500664362411561,-0.34450607620414414,-0.06144238836050578,-0.3664837094729603,0.05038668380141514,-0.3465928844628335,-0.09406113832364255,-0.3482938353109918,0.1408532368500902,-0.2852348854999338,0.03240046577891834,-0.34539488105365407,0.17234474025252447,-0.4951262162083262,-0.1407845686493723,-0.32912105582022144,-0.08837816984555082,-0.2934538634862002,-0.1823130379758253,-0.5242589784786573,-0.1692654588036354,-0.25735719308667393,0.05224199658932937,-0.36439236775666284,-0.01556507553705086,0.008633344088669719,-0.28487946845315154,-0.6220304136235926,0.19684422582579578,-0.1040213113559312,-0.06166231988120487,0.2617777911234372,-0.13166000024137883
B97-D3,-0.0042106863584909435,0.021964670118925528,-0.01152643950522313,-0.41657277654256936,-0.3020483524948498,0.07794707873659186,0.14769182811065254,-0.32219998708762104,-0.26142214618204324,0.11304987417302026,-0.012817738798909295,-0.25576279182949424,-0.03378389145159739,-0.27136147972741903,0.025332421276975117,-0.3283068944119535,-0.0741753465278248,-0.2594448673012683,0.12675965277287723,-0.24864063831394698,0.047038764940162674,-0.3390191520727323,0.11083447533636827,-0.46325354148546793,-0.1325018701995897,-0.25885507940735336,-0.08536345693674885,-0.23915732438310647,-0.15759184026552595,-0.49137266005578467,-0.21927390304299024,-0.2128491142998819,-0.0018544652534929014,-0.23012722756199397,-0.06300564798775092,-0.04890263055172502,-0.2262719714675974,-0.4651970770627189,0.1192396804168047,-0.06762030320284819,-0.06497185198451855,0.2843108330829887,-0.13084033035213502
TPSS,-0.005651263317345434,0.10307469419918985,0.06194023974068503,-0.30836864719964086,-0.18131278840906956,0.1921209157609938,0.19213919826259848,-0.2131863539725744,-0.25576051780835346,0.02905946625787568,-0.015114282998984607,-0.33557785531699325,-0.0409951519119059,-0.3540153017712061,-0.0356209841083067,-0.24737704517457743,-0.11110773345993431,-0.38054586144099695,-0.06973050873576872,-0.2922753672178868,0.11225714094100016,-0.2009246086991372,0.033520313662645185,-0.38715745459329737,-0.07638195504761777,-0.24651716941872423,-0.08513741455847919,-0.26291715965768525,-0.19408879309267174,-0.35173978276939893,-0.1431389718782144,-0.2418716533816359,-0.01669013686075482,-0.19907563778405205,-0.06215099778013921,-0.06671985525716226,-0.2966699803153241,-0.43049539634936607,-0.019427725511057026,-0.11972256943312802,-0.04235786971472214,0.1279716310557016,-0.12947002845393862
B97-D,-0.003577188640309305,0.02936705528768138,0.03271907104158572,-0.40406686608903575,-0.3063053338430911,0.08479241389978132,0.20549872761300028,-0.32117677858266375,-0.2501969484331829,0.10890651946889478,-0.008774965592176944,-0.2634906525563148,-0.014000398194153286,-0.26560361551674394,0.025182282377475218,-0.3504068614979684,-0.0731450059164159,-0.23211914132509642,0.16991667194736956,-0.2551041621572925,0.052070416749478717,-0.3388449147565586,0.11169541410131215,-0.4565622146869488,-0.12562418612836423,-0.2714001906018467,-0.08324011329895319,-0.24535348805732385,-0.13455928407966114,-0.4866706770783817,-0.16965340628961165,-0.17793509486869313,-0.0008062875677631496,-0.2265190639505318,-0.05831095766421787,-0.05805260257896215,-0.1919906361350647,-0.45971357451289274,0.11841937371634931,-0.08898051749451709,-0.06362755712246819,0.31013352921646087,-0.12231217166185278
