method,aceticanhydride_vacuum_forward,aceticanhydride_vacuum_reverse,amide11_vacuum_forward,amide11_vacuum_reverse,amide12_vacuum_forward,amide12_vacuum_reverse,amide21_vacuum_forward,amide21_vacuum_reverse,amide22_vacuum_forward,amide22_vacuum_reverse,basicepoxide1_vacuum_forward,basicepoxide1_vacuum_reverse,basicepoxide2_vacuum_forward,basicepoxide2_vacuum_reverse,borohydride_vacuum_forward,borohydride_vacuum_reverse,carbonate_vacuum_forward,carbonate_vacuum_reverse,cl2co_vacuum_forward,cl2co_vacuum_reverse,diazonium_vacuum_forward,diazonium_vacuum_reverse,enamine_vacuum_forward,enamine_vacuum_reverse,epoxide1_vacuum_forward,epoxide1_vacuum_reverse,epoxide2_vacuum_forward,epoxide2_vacuum_reverse,ester_vacuum_forward,ester_vacuum_reverse,furan1_vacuum_forward,furan1_vacuum_reverse,furan2_vacuum_forward,furan2_vacuum_reverse,furan3_vacuum_forward,furan3_vacuum_reverse,imine_vacuum_forward,imine_vacuum_reverse,iminium_vacuum_forward,iminium_vacuum_reverse,lactone_vacuum_forward,lactone_vacuum_reverse,Average
BLYP-D3(BJ),-0.0057572603689949806,0.01259884517672814,-0.033618521669536744,-0.49471075976507034,-0.23006984594501415,0.13399465624801618,0.21415627411592938,-0.31386555268627536,-0.31380407442799685,0.022926536694947108,-0.043765719775163955,-0.33684819062813304,-0.06654888508729268,-0.36417530201681575,0.015196469984820413,-0.35406092241431325,-0.07302250456417955,-0.36853622171632966,0.08892082544962354,-0.3047029352397181,0.02752312441443197,-0.3614320251497045,0.06998597340446393,-0.5313210629086629,-0.1760986795942005,-0.2925776911078396,-0.1213556949900906,-0.24365688763523033,-0.2704417416267493,-0.5671988698298321,-0.2709108814583182,-0.281181741475068,0.015398147773416963,-0.2784615168685796,-0.058481204048200515,-0.06544109116170509,-0.42006865921944625,-0.7321092753864866,0.16255125243652574,-0.09186380744199932,-0.06328149455908696,0.19936173795166334,-0.17063702802655875
VV10,-0.005924390067480658,0.025822627736008987,-0.05892415766684401,-0.4159485135105269,-0.191522704606345,0.08157861264241795,0.1260045764626438,-0.27624516904593543,-0.269113668378767,-0.05570065938501341,-0.0349946093473197,-0.3272111481467537,-0.06412249081000956,-0.3514049783907096,-0.025303355976171872,-0.3228191059039082,-0.08165574571094722,-0.37460625238653644,0.0006712783212173691,-0.3041721850448087,0.07897193880540417,-0.32852411176109864,0.01846528554421716,-0.4707973663450574,-0.1538648242559835,-0.25602602159556004,-0.12463918578212634,-0.2289957853221862,-0.2958893531024943,-0.48436017081516797,-0.24743473319344506,-0.26591696241758783,-0.0018623888333184368,-0.2280211868938215,-0.08498432940101541,-0.07017414956028589,-0.47073986431828724,-0.6781089133227683,0.0907464278151228,-0.09910463853057264,-0.05638681152724353,0.11918073555530202,-0.17057282020175626
rVV10,-0.005965901058473378,0.026263664664974328,-0.05591005701425434,-0.4208109403456074,-0.19254169534250318,0.09434788862987574,0.134678773488765,-0.2790695572610329,-0.2698425937552387,-0.042269237518177204,-0.03325734649649609,-0.331029718466202,-0.0612794464571418,-0.35449668867752193,-0.021820035546223405,-0.32333359728602074,-0.08007771036623537,-0.3724618688946468,0.010987775854222219,-0.3031004885497684,0.07627514212509129,-0.33119886448768615,0.027840282244536503,-0.4723241816727734,-0.1529412666197191,-0.2602356006851396,-0.12241197350838548,-0.2323700615075779,-0.29488899945230623,-0.49091628960784733,-0.2444329212087587,-0.2661500933663857,0.0014823466580427408,-0.23617060662913256,-0.08092457355847626,-0.06413216295746918,-0.4666282435482772,-0.6814011226482788,0.09923881731460736,-0.09720924206901088,-0.05663007872207495,0.12458558083303062,-0.1691079260350404
TPSS-D3(BJ),-0.00509686418331304,0.06427429515656922,-0.02791537686479728,-0.3502767085084288,-0.19072754395966493,0.06597901363317667,0.14224072902952448,-0.20437145604381307,-0.2689140373856858,-0.06827719158428479,-0.028634181337835584,-0.344575520732078,-0.04514844962480776,-0.36174909549651635,-0.0593394512873549,-0.2569078024870122,-0.0907427451162177,-0.3941174057887238,-0.09664232900355155,-0.31216409159573344,0.10614002369939383,-0.2125754547118692,-0.03612565641811209,-0.41297632780216015,-0.10094420510460664,-0.22389763046254874,-0.10963600079536531,-0.2285029161169191,-0.2626590363262798,-0.38500003219443185,-0.20578839570931903,-0.25804496834885604,-0.03985922858721903,-0.14457064499208386,-0.0866028471452315,-0.11457949170391962,-0.4056462634719563,-0.5288705506161159,-0.03620970312770706,-0.10588223362986732,-0.043718658544808726,0.07643648883268526,-0.1569671415823297
mPW91-D3(BJ),-0.005851632226231129,0.11007814815642554,-0.0059255832945507795,-0.3418324097147778,-0.1756533671532556,0.014614791320214681,0.1419740573098884,-0.19880024026722007,-0.3051465008469794,-0.19713291498642022,-0.024774306833084986,-0.20131425360198182,-0.043961556384986514,-0.21190952411666347,-0.08113382346627335,-0.3357125937679608,-0.08567973216749863,-0.3251197064723102,-0.16996529667669444,-0.35985212995826377,0.21364834121511164,-0.16221291668671373,-0.07805352032612158,-0.4498751902882426,-0.1418878353926748,-0.13848575615436906,-0.13100528736883488,-0.11888257490674223,-0.21262073029341746,-0.385189837150015,-0.22753763506139357,-0.19686344435516775,-0.04618191438651737,-0.07323052033388405,-0.17907436543551256,-0.27809700118812575,-0.43557638709926993,-0.5349054214372921,-0.13536895630947654,-0.14332534588485765,-0.04490445244455906,0.12841718541290056,-0.1565312414529476
PBE-D3(BJ),-0.0061594013239324,0.08421988400259911,0.021416989257226397,-0.3105541707470513,-0.13476037455788512,0.057721502057704745,0.18872237174454198,-0.17461539829972722,-0.28350451795144543,-0.16270239043179452,-0.0009514717254273364,-0.2245429223479218,-0.013603797444558075,-0.23024419536317445,-0.07694195627711417,-0.31902791025261146,-0.06156826574061812,-0.32558226761842635,-0.1705968759898089,-0.3539461350512184,0.22847026290134761,-0.18295802544538764,-0.04213565602285094,-0.4340442998227358,-0.11451580377556339,-0.1550916925995584,-0.10450836349377136,-0.14286931243970846,-0.20457946771143312,-0.37443806878336017,-0.14918464281798574,-0.19332212554777756,-0.026075536097662985,-0.10920714765427461,-0.1517003773205611,-0.23117783725634705,-0.42541866536203604,-0.5298835847783997,-0.10974880823218033,-0.15976943164379143,-0.03966925664029457,0.08392268783731058,-0.1444077727801825
BLYP,-0.006726946772422594,0.07240875406398584,0.047961922210200604,-0.46855583420803837,-0.17085712660621594,0.3533513653629014,0.3320456618191979,-0.28562234537923675,-0.30788360849771756,0.13486898721427928,-0.0214424151243599,-0.3737390121454786,-0.031739632268033384,-0.38739450119670565,0.0343259998287879,-0.34906262633888013,-0.06353268663768706,-0.3628143554652944,0.12911025096417802,-0.29885867755746054,0.03100471147704194,-0.32921287311210085,0.15598820175608413,-0.5007572619662692,-0.14552760504355006,-0.3160224455805938,-0.09907596123096452,-0.2780391092313146,-0.24638988449309718,-0.5602628771710826,-0.17181722680023442,-0.2672691948455299,0.056810048159890256,-0.3548727253792431,-0.02195942353744713,-0.007313951579919535,-0.3852629874201432,-0.7248588413947838,0.2023741730535584,-0.092370949024122,-0.058220677571254646,0.1980175002326393,-0.14140943303420087
B97-D3,-0.004361726441242127,0.02178855129169607,-0.051686964742800046,-0.43915044977489504,-0.2703895814172568,0.09122003616081652,0.16541305113047775,-0.2957125393060571,-0.26832484798774814,0.07891850384378005,-0.007018903709667677,-0.28301765219317343,-0.012420915164751979,-0.28865248857413106,0.00899136736665522,-0.3351306181136784,-0.049315941046423076,-0.27290357685876326,0.11636716050596492,-0.2656642798314446,0.04782194716459789,-0.32610977757497317,0.093132583454475,-0.4692414538681525,-0.13818219238309612,-0.24578987116220086,-0.09721745254416804,-0.22354078399246805,-0.21193276351555435,-0.5182357596840433,-0.22217846684048742,-0.2227372979210057,0.0009356369787580547,-0.22156265634216077,-0.07026243682133526,-0.06543192908338874,-0.31929644213916175,-0.5611283210734747,0.12322170987735387,-0.05402026582990157,-0.062291747913979886,0.22648663563034813,-0.14044316477253957
TPSS,-0.005734759263325123,0.10396435066896431,0.02082072217815512,-0.3331844363153146,-0.15131036708780782,0.2046665179032247,0.21136421848560352,-0.18704542160007567,-0.26420610599449396,-0.004281573448149072,-0.014983577084965475,-0.3642604733472012,-0.024466996495988803,-0.3736352254970848,-0.049743628633272405,-0.2538358476749476,-0.08551749508020119,-0.3919242948437044,-0.07852400199406134,-0.3086317906425057,0.11231634209848092,-0.18908376057245474,0.015553799078593625,-0.3947010372721319,-0.08323775800797109,-0.2357780542300832,-0.09766057386567577,-0.24742858087419514,-0.24739830632313442,-0.37845587008851816,-0.14578241236094625,-0.25039452405612384,-0.014396966493661898,-0.18995215529506482,-0.06681455652013234,-0.08131385997286004,-0.3861480245986673,-0.523484296167632,-0.015406459933710114,-0.10591628325484605,-0.04027978793690944,0.07464290382563854,-0.13908548591878944
B97-D,-0.003728228723060488,0.029190936461998707,-0.007441454199084774,-0.42664454204680363,-0.2746465627685917,0.09806536859856374,0.2232199506312787,-0.2946893308010999,-0.2570996475196327,0.07477514913965458,-0.0029761332206436125,-0.2907455129184472,0.007362578092692127,-0.2828946243619092,0.008841228466381927,-0.35723058520046663,-0.04828559771111874,-0.24557784816024272,0.15952417968045726,-0.27212780366860295,0.05285359897546072,-0.32593554025879945,0.09399351949707023,-0.46255012979198207,-0.13130450831032386,-0.2583349796343456,-0.09509410890637238,-0.2297369503874873,-0.18890020460734092,-0.5135337739842918,-0.17255797008710883,-0.1878232812106188,0.0019838119436859417,-0.21795449545150045,-0.065567746499349,-0.07458190111217267,-0.28501510408428044,-0.555644821243677,0.12240140317612506,-0.075380477401542,-0.06094745033112767,0.2523093344861689,-0.13191500608220205
