method,aceticanhydride_IEF-PCM_forward,aceticanhydride_IEF-PCM_reverse,amide11_IEF-PCM_forward,amide11_IEF-PCM_reverse,amide12_IEF-PCM_forward,amide12_IEF-PCM_reverse,amide21_IEF-PCM_forward,amide21_IEF-PCM_reverse,amide22_IEF-PCM_forward,amide22_IEF-PCM_reverse,basicepoxide1_IEF-PCM_forward,basicepoxide1_IEF-PCM_reverse,basicepoxide2_IEF-PCM_forward,basicepoxide2_IEF-PCM_reverse,borohydride_IEF-PCM_forward,borohydride_IEF-PCM_reverse,carbonate_IEF-PCM_forward,carbonate_IEF-PCM_reverse,cl2co_IEF-PCM_forward,cl2co_IEF-PCM_reverse,diazonium_IEF-PCM_forward,diazonium_IEF-PCM_reverse,enamine_IEF-PCM_forward,enamine_IEF-PCM_reverse,epoxide1_IEF-PCM_forward,epoxide1_IEF-PCM_reverse,epoxide2_IEF-PCM_forward,epoxide2_IEF-PCM_reverse,ester_IEF-PCM_forward,ester_IEF-PCM_reverse,furan1_IEF-PCM_forward,furan1_IEF-PCM_reverse,furan2_IEF-PCM_forward,furan2_IEF-PCM_reverse,furan3_IEF-PCM_forward,furan3_IEF-PCM_reverse,imine_IEF-PCM_forward,imine_IEF-PCM_reverse,iminium_IEF-PCM_forward,iminium_IEF-PCM_reverse,lactone_IEF-PCM_forward,lactone_IEF-PCM_reverse,Average
wB97XV,0.0025970897467056035,0.04187515668741179,0.02956308786329694,0.03018687728710663,0.0998966180726339,0.1378862747595722,0.0735968676631032,0.012931984109131099,0.022529167267007585,0.014620963255842799,0.12853388896219367,0.05128677624394301,0.14871181342131534,0.033216636980415014,0.018714450875234212,0.048444157114974455,0.13703172144591755,0.06351782547714235,0.07985565558063931,0.04062701271888154,0.029981711513272297,0.03592414764018989,7.702947388224857e-05,0.02219206621909277,0.019424339183886422,0.03339939177224104,0.01781338320543864,0.05688050994134917,0.23116302150798082,0.11920539663890595,0.09599585887021313,0.02942965073442915,0.0014471452823677396,0.00332445415939485,0.037926883145997736,0.09424114043582886,0.20324836784283742,0.04118458236589499,0.09172987327568564,0.001414263915417564,0.00807692330604425,0.03001415074450564,0.05761234087398392
MN15,0.00023411979863634542,0.027654378365077368,0.09826356250091338,0.04155884788360659,0.03522140882621793,0.015430914818738348,0.009744006854657948,0.010290312280635396,0.05719346181548226,0.01313164523830252,0.12892133031869826,0.041270774198835784,0.1320541589889705,0.03552935563605512,0.03865252393225226,0.009366192793372113,0.14772635675839899,0.09541019309166499,0.12609156574961822,0.02368243039655108,0.06458204064562986,0.017972005646360197,None,0.0037406716723398406,0.026966416798346438,0.026753208685320114,0.020288148469043803,0.07242190376591157,0.09578708747396998,0.11788044908182622,0.1172301959465027,0.014134046600478463,0.004918122620641634,0.013422034610069659,0.01666931297707605,0.05666719949740245,0.22704967057016534,0.0866869112855918,0.1360385714125571,0.10077312555973952,0.01437423719485006,0.06580232823724184,0.058233786073115856
wB97M-V,0.0018584281315717362,0.026940068229806366,0.067294488577032,0.0898955352761858,0.04102756510758666,0.08941541339733906,0.03985790723342822,0.0377832191029651,0.023523199708694337,0.012227236263724002,0.09960968915867396,0.08306195796467544,0.10110266634691173,0.0854301842328067,0.020375032002827136,0.06012879486042086,0.11399047937929399,0.11222785599925136,0.07519959727932392,0.006461812915275141,0.07270652010810823,0.04661828453703644,0.02206356695427244,0.029475190408545474,0.046589735591526994,0.0167998805756753,0.0015194566151279106,0.01413594484624448,0.19036824029768906,0.17010201553344634,0.04201149710985858,0.02765071527172296,0.006878875422040517,0.04838033243113506,0.020074520361038503,0.058073486363592046,0.2162969416398026,0.1350199060898704,0.049780966793553684,0.04102581921976453,0.0022997090680498787,0.03496101727567723,0.0590534227067041
M06-2X-D3(0),0.001507053331705879,0.013813223564105739,0.012828985724524001,0.029647604482752173,0.041458076667901265,0.008554258059806853,0.07271616253865743,0.04281993823019425,0.010631374460304256,0.07085779218893587,0.16873480041529396,0.015033942327794057,0.19060552974078446,0.005914907268650666,0.0501018374919095,0.04169116112022154,0.18362845477588183,0.03568838913770234,0.0781398516353474,0.05422825277209931,0.04678814155400926,0.03630353442085465,None,0.020055085368599,0.019406576239428774,0.1036881250786369,0.07539221035765199,0.14254118079897757,0.10554972961568242,0.10575922074831887,0.1137388699244287,0.15359344304950984,0.02246691502799206,0.07548184600572366,0.015601358045543362,0.05308798065011648,0.12209850627354392,0.005280919691670932,0.08755435741664092,0.019626907596579094,0.005512210759692403,0.022638264687076855,0.06050651168890855
SCAN0,0.0006979680449006765,0.10135393548963377,0.0016099790450718047,0.01466349196594406,0.052130148288536,0.07601873504580396,0.06248254548737956,0.0010929434378870269,0.06853462680958534,0.110834125237691,0.07416357159031432,0.015088043440399873,0.06945168561956662,0.019074367519639805,0.03762779431034416,0.02662934917344851,0.05906863863102333,0.08730660007738719,0.14985583648034714,0.07510401162117705,0.21669585103927755,0.08940543047831269,0.015344524227276998,0.04358080192110658,0.055101564914846544,0.06521094696967432,0.02786003738981809,0.07233959200292667,0.10894451503383931,0.057084445318773526,0.07990120558266585,0.004997016315572091,0.027235226808387893,0.03764411674953353,0.09449902999791795,0.044485697911485,0.2252060274700503,0.012886610970826717,0.13411777855173923,0.015824517937639747,0.007821400096025458,0.00880327870959386,0.06066138127888979
M06-2X,0.0015044900177104638,0.015009107448523993,0.013899359748991789,0.028741614525847854,0.04114003526705849,0.008737192139946797,0.06972861749076975,0.0432611710816425,0.010787118908474612,0.0734616428931642,0.16786878400452676,0.01403779011695351,0.18954876413863095,0.006687128704876181,0.05079991874707107,0.04162279247762346,0.18375811709919945,0.03541085190741909,0.07939174202739628,0.05412766854771717,0.0485231866759844,0.03623120379808876,None,0.019573438148520656,0.019145316866008715,0.1048141382514395,0.07511255335821496,0.14365714208297872,0.10619715957027002,0.10463898999718961,0.11522899611911741,0.15349071184950203,0.02176752762474903,0.07706624065480333,0.01627730554891713,0.05359789235347175,0.12319573794961705,0.004482384832271788,0.08942805550653071,0.019533803790784537,0.005431099018821738,0.021785119268511198,0.06070004659900823
mPWB1K-D3(BJ),0.0005805677460456991,0.0637486677799093,0.023548124903427788,0.04500123420525681,0.0666645026205554,0.11554142956371263,0.09542348263105098,0.02287002005011449,0.04142639568810753,0.05770412972696886,0.1685082246933468,0.009877356942614678,0.18291915007304252,0.03429371986655174,0.012181350204770808,0.053538066568560215,0.16890085868706314,0.009014125986399495,0.03863219414015971,0.11394771912261217,0.18322249836423235,0.10086622997032858,0.11248411304619206,0.028368175090140835,0.0008561886857223613,0.07128414504768323,0.04328389579422493,0.10136900468401934,0.10161640610093517,0.11099051171776206,0.19242483174231104,0.03606844320314514,0.01776470347384344,0.0016459230202284403,0.0296624598722271,0.0160894336372123,0.1361650558222817,0.0446747425962955,0.07990667780199079,0.022132583051040083,0.02143053961617492,0.009147317231499415,0.0663279809707086
CAM-B3LYP-D3(0),0.0020618768829870193,0.06955604585599433,0.009824770974807325,0.15006076246012193,0.04872094899326503,0.19668263790960372,0.13400379466510107,0.05629737674209886,0.09008054802110844,0.004234455271209732,0.09182378923929013,0.06250735077348232,0.09898994059740453,0.054658286830913214,0.019318005880414796,0.08322624479412132,0.10350009011526237,0.0864008795108033,0.027826664208928514,0.02904080676821359,0.07254899705830162,0.027105713866218697,0.028955368302726107,0.11062869014004817,0.08288732137740187,0.010905049865781348,0.032744402058070464,0.043431566653424965,0.19397136435764764,0.2164653730130559,0.016825493313482435,0.007950307652819129,0.004156162604350163,0.036707700354621876,0.037928556649508054,0.014823181071018736,0.24481117449083747,0.16813714045194758,0.017781378099875254,0.0048717028197127945,0.005732048574366605,0.10011810569091724,0.06900719226098252
wB97XD3,0.0035175262365335245,0.06730939648154055,0.0059139299934343175,0.09032993806267203,0.07118121406286036,0.22766932577575758,0.14588692324843616,0.03336701841101761,0.04007822362462149,0.08145668323088519,0.13592075547216081,0.06795501591031357,0.15754670736907653,0.0459033535809824,0.01513339052923057,0.06875175009926429,0.15563824818153496,0.036980840979454505,0.002761237874807739,0.05468655805200306,0.05636097329544123,0.017721399983315234,0.07915916046247792,0.017450720372493404,0.0390925785566168,0.0006718246563757248,0.01774087843124513,0.037930148119063326,0.2057047649328351,0.20439836883767318,0.09986703970965065,0.03432968916573801,0.01751747157726894,0.048295522659586664,0.03774469738072481,0.0684283247620792,0.20497314338401973,0.0916836835240456,0.028696863856430197,0.021148986181488392,0.00355460903819087,0.0663235387656234,0.06920910535307073
BMK-D3(BJ),0.00036338755463951884,0.023474326365519004,0.03628236077105824,0.0953865971517206,0.025055240672818765,0.13032772336731288,0.07279294766782687,0.05453753114762834,0.025522658004788753,0.08711748982187047,0.07476937626785657,0.023641659182150058,0.07332698354575992,0.0324151632907328,0.04194512581270469,0.05075839756815255,0.1570409876897641,0.017069299035281302,0.02579050045499562,0.08557899923172768,0.1586072672879767,0.015323803529892951,0.1561808921027103,0.015250398403847249,0.03609015159491629,0.036684428171537956,0.0074517936591646395,0.0704894834740234,0.2401875925197164,0.21363771398885795,0.14183313835330824,0.0729226844350059,0.036953777304060624,0.014614459925310087,0.05360033933810625,0.11371628227127349,0.18355798111198976,0.06924345692894142,0.01844618253446207,0.05243001976153129,0.0012480098603764645,0.06943385348723664,0.06931191582496558
