method,aceticanhydride_vacuum_forward,aceticanhydride_vacuum_reverse,amide11_vacuum_forward,amide11_vacuum_reverse,amide12_vacuum_forward,amide12_vacuum_reverse,amide21_vacuum_forward,amide21_vacuum_reverse,amide22_vacuum_forward,amide22_vacuum_reverse,basicepoxide1_vacuum_forward,basicepoxide1_vacuum_reverse,basicepoxide2_vacuum_forward,basicepoxide2_vacuum_reverse,borohydride_vacuum_forward,borohydride_vacuum_reverse,carbonate_vacuum_forward,carbonate_vacuum_reverse,cl2co_vacuum_forward,cl2co_vacuum_reverse,diazonium_vacuum_forward,diazonium_vacuum_reverse,epoxide1_vacuum_forward,epoxide1_vacuum_reverse,epoxide2_vacuum_forward,epoxide2_vacuum_reverse,ester_vacuum_forward,ester_vacuum_reverse,furan1_vacuum_forward,furan1_vacuum_reverse,furan2_vacuum_forward,furan2_vacuum_reverse,furan3_vacuum_forward,furan3_vacuum_reverse,imine_vacuum_forward,imine_vacuum_reverse,iminium_vacuum_forward,iminium_vacuum_reverse,lactone_vacuum_forward,lactone_vacuum_reverse,Average
wB97M-V,0.002007237,0.027654387,0.064049986,0.086136148,0.04821448,0.089906308,0.049831226,0.024547281,0.021550726,0.014809753,0.15096635,0.118517607,0.164012453,0.102131184,0.036174905,0.053046972,0.146677145,0.098841631,0.081740516,0.003490278,0.067031239,0.039760669,0.04147139,0.004481683,0.004224671,0.022585395,0.185655308,0.17280768,0.054012925,0.027465612,0.000831474,0.037929986,0.025015906,0.040764482,0.19472119,0.11396687,0.051909947,0.03908565,0.006077696,0.0460404,0.064003669
wB97XV,0.002713964,0.042327179,0.025132713,0.02752461,0.105203623,0.137987111,0.081604876,0.022561566,0.016593672,0.010246276,0.180627032,0.092562481,0.210519021,0.05527717,0.035379453,0.038409193,0.169328293,0.050734472,0.083833089,0.038881256,0.035216274,0.04154838,0.014077703,0.04313914,0.024133707,0.062758543,0.222924444,0.121238359,0.1092238,0.027964132,0.00431359,0.012256992,0.045245533,0.076336639,0.178153763,0.015704227,0.093670227,0.001115009,0.012204787,0.038495587,0.065179197
MN15,0.000407912,0.031890396,0.100530651,0.039662691,0.037038807,0.015405408,0.002289982,0.023675404,0.057052246,0.012902919,0.180333345,0.074842515,0.192387796,0.048248149,0.047919528,0.010270051,0.181667251,0.08342984,0.131149072,0.022496924,0.073309148,0.008371388,0.021576137,0.03759641,0.028606924,0.079624117,0.087598808,0.126997892,0.128917869,0.012580251,0.000742515,0.004439226,0.01854134,0.068152771,0.22414897,0.083524592,0.132720507,0.098321471,0.018323814,0.073499415,0.065529861
M06-2X-D3(0),0.001440526,0.017301434,0.001524029,0.018370551,0.046080551,0.009424494,0.079568437,0.055055458,0.008081361,0.069267244,0.215261734,0.040531786,0.247201066,0.001189884,0.06761666,0.025566742,0.208105197,0.049003007,0.083496297,0.052644994,0.057218579,0.043159651,0.025510372,0.114543432,0.081574752,0.147801327,0.087048631,0.100504421,0.128377679,0.155011864,0.014948024,0.084638715,0.02064292,0.069934397,0.083637967,0.034727137,0.090238771,0.017837149,0.008854201,0.020673305,0.067090369
M06-2X,0.001437965,0.018497324,0.002594406,0.017464561,0.04576251,0.009607425,0.076580895,0.05549669,0.008237108,0.071871098,0.214395721,0.039535631,0.2461443,0.000417659,0.068314744,0.025498374,0.208234862,0.048725467,0.08474819,0.05254441,0.058953627,0.04308732,0.025249115,0.115669443,0.081295095,0.148917288,0.087696064,0.099384193,0.1298678,0.154909131,0.014248637,0.086223112,0.021318867,0.070444308,0.084735199,0.035525672,0.092112469,0.017744045,0.008773089,0.01982016,0.067302099
SCAN0,0.000960869,0.105362243,0.007169031,0.016987303,0.061856578,0.074325891,0.066418963,0.015446737,0.060531193,0.111392132,0.109704597,0.014249612,0.11581444,0.006479203,0.053311943,0.021142335,0.086916911,0.082977627,0.156088328,0.068464557,0.230067623,0.096694146,0.04965669,0.075875704,0.022271161,0.08104767,0.105831458,0.059555661,0.094612712,0.000322242,0.033877127,0.049904701,0.101480841,0.065903743,0.228601353,0.012827479,0.134158504,0.016605849,0.011209913,0.008799357,0.067872611
BMK-D3(BJ),0.00062978,0.025518221,0.030351552,0.089978235,0.029197829,0.132166638,0.078547786,0.045403178,0.013655028,0.100417938,0.125779437,0.063573562,0.134442151,0.04933066,0.026970468,0.056510168,0.185735943,0.007787663,0.02918142,0.084844489,0.171512375,0.022747732,0.029555578,0.042640576,0.015358169,0.073270889,0.225264668,0.216826152,0.157097099,0.068638562,0.030467581,0.004609709,0.058876556,0.096363185,0.163704134,0.048021726,0.018536476,0.048688718,0.002736776,0.063311702,0.071706263
MN12-L,0.000490406,0.044035184,0.127772824,0.102603834,0.068060232,0.000246721,0.008791147,0.036079181,0.081681693,0.113714893,0.151521441,0.064890709,0.113983575,0.053021087,0.057430564,0.099195948,0.188859425,0.083260696,0.029182364,0.183045014,0.052736165,0.107813626,0.101603694,0.009823948,0.007869215,0.056237173,0.012074694,0.203064501,0.129284556,0.074618484,0.034714149,0.084820023,0.012630874,0.042326374,0.167702934,0.084275823,0.023382527,0.019800313,0.024481686,0.018911371,0.071900977
mPWB1K-D3(BJ),0.000410251,0.067115576,0.019365183,0.037875326,0.072469471,0.113665172,0.102514099,0.03845086,0.048184318,0.060607728,0.214738016,0.015393674,0.240122986,0.02561706,0.027638237,0.062161886,0.201873356,0.00477443,0.044485522,0.110988304,0.196094081,0.10689909,0.006376371,0.084428508,0.051967772,0.112034519,0.089580502,0.108920102,0.207506163,0.035862363,0.010691903,0.008919174,0.034117379,0.001578162,0.112569857,0.069191064,0.080911577,0.021615634,0.025458809,0.020452187,0.072340667
MN12-L-D3(BJ),0.000395278,0.036534215,0.131929474,0.10644431,0.074107234,0.020679425,0.013063607,0.038392994,0.080882624,0.110734066,0.150700364,0.0654717,0.112748344,0.053162578,0.057315326,0.098742862,0.188332063,0.083096617,0.030519529,0.182631422,0.04956042,0.113551517,0.103046342,0.010256832,0.008431683,0.056719819,0.012877639,0.205387407,0.121102741,0.0758706,0.032211184,0.082319736,0.013447107,0.045699567,0.168376354,0.085880726,0.022954767,0.019926557,0.024192967,0.01732046,0.072625461
