method,aceticanhydride_vacuum_forward,aceticanhydride_vacuum_reverse,amide11_vacuum_forward,amide11_vacuum_reverse,amide12_vacuum_forward,amide12_vacuum_reverse,amide21_vacuum_forward,amide21_vacuum_reverse,amide22_vacuum_forward,amide22_vacuum_reverse,basicepoxide1_vacuum_forward,basicepoxide1_vacuum_reverse,basicepoxide2_vacuum_forward,basicepoxide2_vacuum_reverse,borohydride_vacuum_forward,borohydride_vacuum_reverse,carbonate_vacuum_forward,carbonate_vacuum_reverse,cl2co_vacuum_forward,cl2co_vacuum_reverse,diazonium_vacuum_forward,diazonium_vacuum_reverse,enamine_vacuum_forward,enamine_vacuum_reverse,epoxide1_vacuum_forward,epoxide1_vacuum_reverse,epoxide2_vacuum_forward,epoxide2_vacuum_reverse,ester_vacuum_forward,ester_vacuum_reverse,furan1_vacuum_forward,furan1_vacuum_reverse,furan2_vacuum_forward,furan2_vacuum_reverse,furan3_vacuum_forward,furan3_vacuum_reverse,imine_vacuum_forward,imine_vacuum_reverse,iminium_vacuum_forward,iminium_vacuum_reverse,lactone_vacuum_forward,lactone_vacuum_reverse,Average
VV10,-0.010446387747840617,0.039154493301738674,-0.0748858136039339,-0.3508778315985668,-0.14679294565697387,0.05754948287563821,0.1019288009593318,-0.25212342737392074,-0.30419431885769466,-0.1710695543966703,-0.044352790667674474,-0.3901191563390084,-0.06987430323034592,-0.42077704816441486,-0.07780617853637521,-0.270518415520134,-0.10399496796217376,-0.44171366850048166,-0.10860565399989396,-0.27820040169147126,0.06428478913313704,-0.33075101533442325,None,None,-0.16407692943658045,-0.2605488075397067,-0.13705291195571415,-0.23592241509847037,-0.29547774828761153,-0.390755085782751,-0.24373147323197722,-0.2861956717629361,-0.022557535253670984,-0.1884245007059285,-0.11631094471468793,-0.0936165949369117,-0.5809725966648474,-0.6737497139813239,0.012773319751000822,-0.13379127013768874,-0.04835646717975649,0.02794844446359723,-0.18537513038420292
BLYP-D3(BJ),-0.01027925804935494,0.025930710742457827,-0.04958017760662663,-0.4296400778531102,-0.18534008699564306,0.10996552648123643,0.19008049861261736,-0.28974381101426067,-0.3488847249069245,-0.09244235831670979,-0.053123901095518726,-0.3997561988203877,-0.07230069750762903,-0.43354737179052094,-0.03730635257538292,-0.30176023203053903,-0.0953617268154061,-0.4356436378302749,-0.020356106871487784,-0.2787311518863807,0.012835974742164854,-0.36365892872302913,None,None,-0.18631078477479748,-0.2971004770519863,-0.1337694211636784,-0.2505835174115145,-0.2700301368118665,-0.47359378479741515,-0.2672076214968504,-0.3014604508204163,-0.005296998646935583,-0.23886483068068662,-0.08980781936187304,-0.08888353653833089,-0.5303013915660063,-0.7277500760450423,0.08457814437240375,-0.12655043904911542,-0.05525115021159993,0.10812944685995855,-0.18521747338266156
rVV10,-0.010487898738833337,0.039595530230704015,-0.07187171295134422,-0.35574025843364726,-0.14781193639313206,0.07031875886309599,0.11060299798545299,-0.2549478155890182,-0.30492324423416634,-0.1576381325298341,-0.042615527816850865,-0.3939377266584566,-0.06703125887747817,-0.4238687584512271,-0.07432285810642673,-0.2710329069022465,-0.10241693261746192,-0.439569285008592,-0.09828915646688911,-0.277128705196431,0.06158799245282417,-0.33342576806101076,None,None,-0.16315337180031608,-0.2647583866292863,-0.13482569968197328,-0.23929669128386208,-0.29447739463742345,-0.39731120457543034,-0.24072966124729087,-0.28642880271173393,-0.019212799762309805,-0.19657392044123959,-0.1122511888721488,-0.08757460833409499,-0.5768609758948373,-0.6770419233068344,0.021265709250485397,-0.13189587367612698,-0.048599734374587915,0.03335328974132582,-0.18403319604346635
TPSS-D3(BJ),-0.009618861863672999,0.07760616072229891,-0.043877032801887164,-0.28520602659646865,-0.1459977850102938,0.041949883866396934,0.11816495352621248,-0.18024971437179838,-0.3039946878646135,-0.18364608659594167,-0.03799236265819036,-0.40748352892433265,-0.05090026204514412,-0.43112116527022154,-0.11184227384755824,-0.20460711210323804,-0.11308196736744425,-0.461224821902669,-0.20591926132466287,-0.286192308242396,0.09145287402712672,-0.21480235828519378,None,None,-0.1111563102852036,-0.22842041640669541,-0.12204972696895311,-0.23542954589320328,-0.262247431511397,-0.2913949471620148,-0.2020851357478512,-0.27832367769420424,-0.060554375007571576,-0.10497395880419086,-0.11792946245890404,-0.13802193708054541,-0.5158789958185164,-0.5245113512746714,-0.11418281119182903,-0.14056886523698342,-0.03568831419732169,-0.014795802259019525,-0.1711699202483192
mPW91-D3(BJ),-0.01037362990659109,0.12341001372215522,-0.02188723923164066,-0.2767617278028177,-0.13092360820388452,-0.009414338446565057,0.1178982818065764,-0.17467849859520537,-0.34022715132590703,-0.3125018099980771,-0.03413248815343976,-0.2642222617942365,-0.04971336880532288,-0.28128159389036866,-0.13363664602647668,-0.2834119033841866,-0.10801895441872518,-0.3922271225862554,-0.27924222899780576,-0.3338803466049264,0.19896119154284453,-0.1644398202600383,None,None,-0.15209994057327175,-0.14300854209851577,-0.14341901354242267,-0.1258092046830264,-0.21220912547853465,-0.291584752117598,-0.22383437509992574,-0.21714215370051598,-0.06687706080686992,-0.03363383414599106,-0.2104009807491851,-0.30153944656475157,-0.54580911944583,-0.5305462220958478,-0.2133420643735985,-0.17801197749197376,-0.03687410809707202,0.03718489432119576,-0.16874155695261572
BLYP,-0.011248944452782553,0.08574061962971553,0.03200026627311072,-0.40348515229607823,-0.12612736765684485,0.32932223559612167,0.3079698863158859,-0.26150060370722206,-0.3429642589766452,0.019500092202622398,-0.030800596444714678,-0.4366470203377333,-0.03749144468836975,-0.45676657097041085,-0.018176822731415434,-0.2967619359551059,-0.0858719088889136,-0.4299217715792396,0.019833318643066696,-0.2728868942041231,0.016317561804774824,-0.3314397766854254,None,None,-0.15573971022414704,-0.32054523152474046,-0.11148968740455233,-0.28496573900759875,-0.2459782796782144,-0.46665779213866565,-0.1681139668387666,-0.28754790419087817,0.03611490173953771,-0.3152760391913501,-0.05328603885111966,-0.030756396956545338,-0.49549571976670326,-0.7204996420533395,0.12440106498943643,-0.12705758063123812,-0.05019033322376761,0.10678520914093452,-0.15744264937303612
PBE-D3(BJ),-0.01068139900429236,0.0975517495683288,0.005455333320136515,-0.24548348883509113,-0.09003061560851403,0.033692372290925005,0.16464659624122996,-0.15049365662771252,-0.31858516843037304,-0.2780712854434514,-0.010309653045782114,-0.28745093054017645,-0.01935560986489444,-0.29961626513687967,-0.1294447788373175,-0.26672721986883724,-0.08390748799184466,-0.39268968373237156,-0.27987380831092024,-0.32797435169788103,0.2137831132290805,-0.18518492901871222,None,None,-0.12472790895616036,-0.15961447854370509,-0.11692208966735916,-0.14979594221599263,-0.2041678628965503,-0.2808329837509432,-0.1454813828565179,-0.2136008348931258,-0.046770682518015534,-0.06961046146638163,-0.18302699263423364,-0.25462028263297287,-0.5356513977085962,-0.5255243854369553,-0.1877219162963023,-0.19445606325090753,-0.031638912292807526,-0.007309603254394221,-0.1573056337154318
B97-D3,-0.008883724121602087,0.03512041685742576,-0.06764862067988993,-0.3740797678629349,-0.22565982246788566,0.06719090639403678,0.14133727562716575,-0.2715907976340424,-0.30340549846667575,-0.03645039116787684,-0.016377085030022453,-0.34592566038542805,-0.018172727585088342,-0.35802455834783625,-0.04351145519354811,-0.2828299277299042,-0.07165516329764962,-0.3400109929727085,0.007090228184853596,-0.23969249647810717,0.03313479749233077,-0.3283366811482978,None,None,-0.14839429756369307,-0.25031265710634754,-0.10963117871775584,-0.2304674137687522,-0.21152115870067156,-0.4246306746516264,-0.21847520687901958,-0.24301600726635395,-0.01975950944159449,-0.18196597015426777,-0.1015890521350078,-0.08887437446001455,-0.4295291744857218,-0.5567691217320303,0.0452486018132319,-0.08870689743701768,-0.054261403566492845,0.13525434453864332,-0.15564457244320443
TPSS,-0.010256756943685082,0.117296216234694,0.0048590662410652385,-0.26811375440335444,-0.10658060813843673,0.18063738813644498,0.18728844298229153,-0.16292367992806098,-0.29928675647342157,-0.11965046845980597,-0.02434175840532025,-0.4271684815394558,-0.03021880891632517,-0.44300729527078997,-0.10224645119347574,-0.20153515729117338,-0.10785671733142774,-0.45903171095764966,-0.18780093431517267,-0.28266000728916824,0.0976291924262138,-0.19131066414577932,None,None,-0.09344986318856804,-0.24030084017422987,-0.11007430003926358,-0.2543552106504793,-0.24698670150825164,-0.2848507850561012,-0.1420791523994784,-0.2706732334014721,-0.03509211291401445,-0.15035546910717182,-0.09814117183380486,-0.10475630534948585,-0.4963807569452274,-0.5191250968261877,-0.09337956799783208,-0.14060291486196216,-0.0322494435894224,-0.016589387266066253,-0.1541430504522703
B97-D,-0.008250226403420447,0.042522802027728394,-0.023403110136174656,-0.3615738601348435,-0.22991680381922056,0.07403623883178401,0.19914417512796667,-0.2705675891290852,-0.2921802979985603,-0.04059374587200232,-0.01233431454099839,-0.35365352111070186,0.0016107656723557625,-0.3522666941356144,-0.04366159409382141,-0.3049298948166924,-0.07062481996234528,-0.31268526427418797,0.05024724735934592,-0.2461560203152655,0.0381664493031936,-0.32816244383212406,None,None,-0.14151661349092082,-0.2628577655784923,-0.10750783507996017,-0.23666358016377145,-0.1884885997924581,-0.41992868895187474,-0.168854710125641,-0.20810199055596704,-0.018711334476666605,-0.17835780926360745,-0.09689436181302152,-0.09802434648879846,-0.3952478364308405,-0.5512856219022326,0.0444282951120031,-0.1100671090086581,-0.052917105983640626,0.1610770433944641,-0.1468788123213192
